TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,social_left,Left_Exp,Right_Exp,leftmoney,rightmoney,greenText,left_more_than_right,matching_prices,social_worthmore,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,startWTPloop.thisRepN,startWTPloop.thisTrialN,startWTPloop.thisN,startWTPloop.thisIndex,WTPTaskLoop.thisRepN,WTPTaskLoop.thisTrialN,WTPTaskLoop.thisN,WTPTaskLoop.thisIndex,Welcome.started,endwelcomescreen_keys.started,endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,FirstInstructions.started,endinstructionscreen_keys.started,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,Match_text.started,syncing_text.started,text_0.started,Transparent.started,Match_text.stopped,text_0.stopped,Loading_25.started,text_25.started,Loading_25.stopped,text_25.stopped,Loading_50.started,text_50.started,Loading_50.stopped,text_50.stopped,Loading_75.started,text_75.started,Loading_75.stopped,text_75.stopped,Loading_100.started,text_100.started,Loading_100.stopped,text_100.stopped,syncing_text.stopped,Transparent.stopped,Youhavematched.started,partneremoji_image.started,endpartnermatch_keys.started,PressToContinue.started,endpartnermatch_keys.keys,endpartnermatch_keys.rt,photobeingshared_text.started,waitforfeedback_text.started,participantimage_image.started,waiting_text.started,displayfeedback_text.started,fdbkimage_image.started,presstosharenextphoto_text.started,sharenextphoto_key.started,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,stresslevel_keypress.keys,waiting_text.stopped,displayfeedback_text.stopped,fdbkimage_image.stopped,WTP_ins_text1.started,WTP_ins_keys1.started,WTP_ins_keys1.keys,WTP_ins_keys1.rt,WTP_ins_text2.started,WTP_ins_keys2.started,WTP_ins_keys2.keys,WTP_ins_keys2.rt,Left_Experience.started,Right_Experience.started,Left_Price.started,Right_Price.started,responses.started,responses.keys,responses.rt,Resume_keys.started,Resume_Text.started,Resume_keys.keys,Resume_keys.rt,participant,session,date,expName,psychopyVersion,frameRate,
5,Alex,Neutral,Participant_Images/101/101_Images/101_Image_3.jpg,liked,2.455989137,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,None,5,None,,,,,,,,,,,,,,,,,,,339.21702487487346,339.21702487487346,space,134.6765382080339,101,001,2023-12-22_21h34.11.185,RejectionTask_OneLoop,2022.2.1,78.23721109553603,
6,Alex,Neutral,Participant_Images/101/101_Images/101_Image_13.jpg,liked,3.79605092,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,474.06254933285527,474.06254933285527,474.06254933285527,476.9256827919744,481.9192802920006,481.9192802920006,484.9120075418614,484.9120075418614,space,32.917500250041485,3,None,5,None,,484.9120075418614,484.9120075418614,,,,,,,,,,,,,,,,,,,,101,001,2023-12-22_21h34.11.185,RejectionTask_OneLoop,2022.2.1,78.23721109553603,
7,Alex,Neutral,Participant_Images/101/101_Images/101_Image_2.jpg,did not like,3.562416326,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,517.9972223748919,517.9972223748919,517.9972223748919,520.8712821248919,525.8670540829189,525.8670540829189,528.8545412078965,528.8545412078965,space,9.920877707889304,3,None,5,None,,,,,,,,,,,,,,,,,,,,,,,101,001,2023-12-22_21h34.11.185,RejectionTask_OneLoop,2022.2.1,78.23721109553603,
8,Alex,Neutral,Participant_Images/101/101_Images/101_Image_25.jpg,liked,2.843822497,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,538.9535443328787,538.9535443328787,538.9535443328787,541.8158680000342,546.8111163328867,546.8111163328867,549.8144385828637,549.8144385828637,space,1.9323306670412421,3,None,5,None,,,,,,,,,,,,,,,,,,,,,,,101,001,2023-12-22_21h34.11.185,RejectionTask_OneLoop,2022.2.1,78.23721109553603,
9,Alex,Neutral,Participant_Images/101/101_Images/101_Image_8.jpg,did not like,3.546495948,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,551.9399303328246,551.9399303328246,551.9399303328246,554.7774193750229,559.7796349998098,559.7796349998098,562.7815750418231,562.7815750418231,space,0.8076409169007093,3,None,5,None,559.7796349998098,,,,,,,,,,,,,,,,,,,,,,101,001,2023-12-22_21h34.11.185,RejectionTask_OneLoop,2022.2.1,78.23721109553603,
10,Alex,Neutral,Participant_Images/101/101_Images/101_Image_7.jpg,did not like,1.672012706,0,Rearranging furniture in your house,Going to a carnival with friends,0.01,0.01,green,0,1,1,0,9,9,9,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,563.7654238329269,563.7654238329269,563.7654238329269,566.6233365419321,571.6169149579946,571.6169149579946,,,None,,,,,,571.6169149579946,574.6170537918806,574.6170537918806,574.6170537918806,574.6170537918806,space,6.98566983290948,581.6117367499974,581.6117367499974,space,0.4858053750358522,582.1338697499596,582.1338697499596,582.1338697499596,582.1338697499596,582.1338697499596,1,1.1476763330865651,,,,,101,001,2023-12-22_21h34.11.185,RejectionTask_OneLoop,2022.2.1,78.23721109553603,
10,Alex,Neutral,Participant_Images/101/101_Images/101_Image_7.jpg,did not like,1.672012706,0,Watching a new episode of a television show,Having a picnic with family,0.02,0.01,green,1,0,0,0,9,9,9,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,592.1195539168548,592.1195539168548,592.1195539168548,592.1195539168548,592.1195539168548,2,1.7563428750727326,,,,,101,001,2023-12-22_21h34.11.185,RejectionTask_OneLoop,2022.2.1,78.23721109553603,
10,Alex,Neutral,Participant_Images/101/101_Images/101_Image_7.jpg,did not like,1.672012706,0,"Painting your bedroom
a new color",Having a romantic dinner with a significant other,0.03,0.01,green,1,0,0,0,9,9,9,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,602.1189486668445,602.1189486668445,602.1189486668445,602.1189486668445,602.1189486668445,None,,,,,,101,001,2023-12-22_21h34.11.185,RejectionTask_OneLoop,2022.2.1,78.23721109553603,
10,Alex,Neutral,Participant_Images/101/101_Images/101_Image_7.jpg,did not like,1.672012706,0,Playing with a pet,Studying abroad with friends,0.04,0.01,green,1,0,0,0,9,9,9,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,612.1253761670087,612.1253761670087,612.1253761670087,612.1253761670087,612.1253761670087,None,,,,,,101,001,2023-12-22_21h34.11.185,RejectionTask_OneLoop,2022.2.1,78.23721109553603,
10,Alex,Neutral,Participant_Images/101/101_Images/101_Image_7.jpg,did not like,1.672012706,,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,None,5,None,,,,,,,,,,,,,,,,,,,622.1159961249214,622.1159961249214,space,1.5149572079535574,101,001,2023-12-22_21h34.11.185,RejectionTask_OneLoop,2022.2.1,78.23721109553603,
11,Alex,Neutral,Participant_Images/101/101_Images/101_Image_27.jpg,liked,4.942172136,,,,,,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,623.7981371248607,623.7981371248607,623.7981371248607,626.6710760418791,631.6724281669594,631.6724281669594,634.6667027079966,634.6667027079966,space,3.9197403751313686,3,None,5,None,,,,,,,,,,,,,,,,,,,,,,,101,001,2023-12-22_21h34.11.185,RejectionTask_OneLoop,2022.2.1,78.23721109553603,
12,Alex,Neutral,Participant_Images/101/101_Images/101_Image_10.jpg,liked,2.50187214,,,,,,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,638.7527804998681,638.7527804998681,638.7527804998681,641.6296144998632,646.6275400000159,646.6275400000159,649.623864374822,649.623864374822,space,8.490806125104427,3,None,5,None,,,,,,,,,,,,,,,,,,,,,,,101,001,2023-12-22_21h34.11.185,RejectionTask_OneLoop,2022.2.1,78.23721109553603,
13,Alex,Neutral,Participant_Images/101/101_Images/101_Image_20.jpg,liked,2.071164779,,,,,,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,658.2841184579302,658.2841184579302,658.2841184579302,661.1561835419852,666.1474911668338,666.1474911668338,669.1491652498953,669.1491652498953,space,13.453447334002703,3,None,5,None,666.1474911668338,669.1491652498953,669.1491652498953,,,,,,,,,,,,,,,,,,,,101,001,2023-12-22_21h34.11.185,RejectionTask_OneLoop,2022.2.1,78.23721109553603,
14,Alex,Neutral,Participant_Images/101/101_Images/101_Image_14.jpg,liked,5.336503566,,,,,,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,682.778621791862,682.778621791862,682.778621791862,685.6447641248815,690.6365699169692,690.6365699169692,693.6293756668456,693.6293756668456,space,1.3065990000031888,3,None,5,None,,693.6293756668456,693.6293756668456,,,,,,,,,,,,,,,,,,,,101,001,2023-12-22_21h34.11.185,RejectionTask_OneLoop,2022.2.1,78.23721109553603,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,695.1094023329206,695.1094023329206,695.1094023329206,697.9828266669065,702.9858849998564,702.9858849998564,,,None,,,,,,,,,705.9747092500329,705.9747092500329,space,2.110152417095378,708.0983207079116,708.0983207079116,space,0.3553955419920385,708.4882366249803,708.4882366249803,708.4882366249803,708.4882366249803,708.4882366249803,,,,,,,,,,,,,
