endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,participant,STUDY_ID,SESSION_ID,date,expName,psychopyVersion,OS,frameRate,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,subtract_bonus,TOTAL_TASK_BONUS,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,WTP_ins_keys1.keys,WTP_ins_keys1.rt,WTP_ins_keys2.keys,WTP_ins_keys2.rt,decision_price,responses.keys,responses.rt,WTPTaskLoop.thisRepN,WTPTaskLoop.thisTrialN,WTPTaskLoop.thisN,WTPTaskLoop.thisIndex,WTPTaskLoop.ran,right,left,leftmoney,rightmoney,WTP_ITI,social_left,Resume_keys.keys,Resume_keys.rt
,,6700d6aca79c6b2534f6292c,6685aa9113c938e83b4f1ea0,672ea90a6e308631ecb9f882,2024-11-08_16h21.21.576,WTP_SM_Choice,2022.2.1,Win32,29.94011976,,,,,,,,,,,,,,,,,,6,,,,,,space,3.3963,space,1.4129,0.02,2,5.0038,0,0,0,0,1,Scroll through social media,Celebrate the new year with my cousin,0.01,0.02,3.3,1,,
,,6700d6aca79c6b2534f6292c,6685aa9113c938e83b4f1ea0,672ea90a6e308631ecb9f882,2024-11-08_16h21.21.576,WTP_SM_Choice,2022.2.1,Win32,29.94011976,,,,,,,,,,,,,,,,,,7,,,,,,,,,,0.02,1,2.0501,0,1,1,1,1,Jog with my kids,Listen to music in bed,0.02,0.02,1.1,0,,
,,6700d6aca79c6b2534f6292c,6685aa9113c938e83b4f1ea0,672ea90a6e308631ecb9f882,2024-11-08_16h21.21.576,WTP_SM_Choice,2022.2.1,Win32,29.94011976,,,,,,,,,,,,,,,,,,8,,,,,,,,,,0.03,1,3.3326,0,2,2,2,1,Work out,Travel to Orlando with my family,0.03,0.02,1.1,1,,
,,6700d6aca79c6b2534f6292c,6685aa9113c938e83b4f1ea0,672ea90a6e308631ecb9f882,2024-11-08_16h21.21.576,WTP_SM_Choice,2022.2.1,Win32,29.94011976,,,,,,,,,,,,,,,,,,9,,,,,,,,,,0.02,2,2.4038,0,3,3,3,1,Watch a comedy show with my kids,Listen to music in bed,0.04,0.02,4.4,0,,
,,6700d6aca79c6b2534f6292c,6685aa9113c938e83b4f1ea0,672ea90a6e308631ecb9f882,2024-11-08_16h21.21.576,WTP_SM_Choice,2022.2.1,Win32,29.94011976,,,,,,,,,,,,,,,,,,10,,,,,,,,,,0.05,1,4.3141,0,4,4,4,1,Watch comedy shows,Go to the movies with my partner,0.05,0.02,1.1,1,,
,,6700d6aca79c6b2534f6292c,6685aa9113c938e83b4f1ea0,672ea90a6e308631ecb9f882,2024-11-08_16h21.21.576,WTP_SM_Choice,2022.2.1,Win32,29.94011976,,,,,,,NAN,,NAN,0.26,5.74,,0,9,9,9,1,10,Sam,Acc,Participant_Images/6700d6aca79c6b2534f6292c/6700d6aca79c6b2534f6292c_Images/6700d6aca79c6b2534f6292c_Image_10.jpeg,liked,1.672012706,,,,,,,,,,,,,,,,,,,,
,,6700d6aca79c6b2534f6292c,6685aa9113c938e83b4f1ea0,672ea90a6e308631ecb9f882,2024-11-08_16h21.21.576,WTP_SM_Choice,2022.2.1,Win32,29.94011976,,,,,space,8.7964,NAN,,NAN,0.26,5.74,,0,10,10,10,1,11,Sam,Acc,Participant_Images/6700d6aca79c6b2534f6292c/6700d6aca79c6b2534f6292c_Images/6700d6aca79c6b2534f6292c_Image_11.jpeg,liked,4.942172136,,,,,,,,,,,,,,,,,,,,
,,6700d6aca79c6b2534f6292c,6685aa9113c938e83b4f1ea0,672ea90a6e308631ecb9f882,2024-11-08_16h21.21.576,WTP_SM_Choice,2022.2.1,Win32,29.94011976,,,,,space,0.008,NAN,,NAN,0.26,5.74,,0,11,11,11,1,12,Sam,Acc,Participant_Images/6700d6aca79c6b2534f6292c/6700d6aca79c6b2534f6292c_Images/6700d6aca79c6b2534f6292c_Image_9.jpeg,liked,2.50187214,,,,,,,,,,,,,,,,,,,,
,,6700d6aca79c6b2534f6292c,6685aa9113c938e83b4f1ea0,672ea90a6e308631ecb9f882,2024-11-08_16h21.21.576,WTP_SM_Choice,2022.2.1,Win32,29.94011976,,,,,space,0.7239,NAN,,NAN,0.26,5.74,,0,12,12,12,1,13,Sam,Acc,Participant_Images/6700d6aca79c6b2534f6292c/6700d6aca79c6b2534f6292c_Images/6700d6aca79c6b2534f6292c_Image_7.jpeg,liked,2.071164779,,,,,,,,,,,,,,,,,,,,
,,6700d6aca79c6b2534f6292c,6685aa9113c938e83b4f1ea0,672ea90a6e308631ecb9f882,2024-11-08_16h21.21.576,WTP_SM_Choice,2022.2.1,Win32,29.94011976,,,,,space,0.4466,NAN,,NAN,0.26,5.74,,0,13,13,13,1,14,Sam,Acc,Participant_Images/6700d6aca79c6b2534f6292c/6700d6aca79c6b2534f6292c_Images/6700d6aca79c6b2534f6292c_Image_17.jpeg,did not like,5.336503566,,,,,,,,,,,,,,,,,,,,
,,6700d6aca79c6b2534f6292c,6685aa9113c938e83b4f1ea0,672ea90a6e308631ecb9f882,2024-11-08_16h21.21.576,WTP_SM_Choice,2022.2.1,Win32,29.94011976,,,,,,,,,,,,,,,,,,11,,,,,,space,1.6461,space,1.8972,0.01,1,2.7425,0,0,0,0,1,Cook with my family,Take a solo drive when I am overwhelmed,0.01,0.03,3.3,0,,
,,6700d6aca79c6b2534f6292c,6685aa9113c938e83b4f1ea0,672ea90a6e308631ecb9f882,2024-11-08_16h21.21.576,WTP_SM_Choice,2022.2.1,Win32,29.94011976,,,,,,,,,,,,,,,,,,12,,,,,,,,,,0.02,1,2.6669,0,1,1,1,1,Watch a comedy show with my kids,Meditate in the early morning,0.02,0.03,4.4,0,,
,,6700d6aca79c6b2534f6292c,6685aa9113c938e83b4f1ea0,672ea90a6e308631ecb9f882,2024-11-08_16h21.21.576,WTP_SM_Choice,2022.2.1,Win32,29.94011976,,,,,,,,,,,,,,,,,,13,,,,,,,,,,0.03,1,2.4338,0,2,2,2,1,Play basket ball with my friends,Meditate in the early morning,0.03,0.03,1.1,0,,
,,6700d6aca79c6b2534f6292c,6685aa9113c938e83b4f1ea0,672ea90a6e308631ecb9f882,2024-11-08_16h21.21.576,WTP_SM_Choice,2022.2.1,Win32,29.94011976,,,,,,,,,,,,,,,,,,14,,,,,,,,,,0.04,1,4.2965,0,3,3,3,1,Go for a morning jog,Go on a road trip with my family,0.04,0.03,3.3,1,,
,,6700d6aca79c6b2534f6292c,6685aa9113c938e83b4f1ea0,672ea90a6e308631ecb9f882,2024-11-08_16h21.21.576,WTP_SM_Choice,2022.2.1,Win32,29.94011976,,,,,,,,,,,,,,,,,,15,,,,,,,,,,0.05,1,7.9852,0,4,4,4,1,Celebrate the new year with my cousin,Meditate in the early morning,0.05,0.03,4.4,0,,
,,6700d6aca79c6b2534f6292c,6685aa9113c938e83b4f1ea0,672ea90a6e308631ecb9f882,2024-11-08_16h21.21.576,WTP_SM_Choice,2022.2.1,Win32,29.94011976,,,,,,,NAN,,NAN,0.41,5.59,,0,14,14,14,1,15,Sam,Acc,Participant_Images/6700d6aca79c6b2534f6292c/6700d6aca79c6b2534f6292c_Images/6700d6aca79c6b2534f6292c_Image_23.jpeg,liked,2.642157193,,,,,,,,,,,,,,,,,,,,
,,6700d6aca79c6b2534f6292c,6685aa9113c938e83b4f1ea0,672ea90a6e308631ecb9f882,2024-11-08_16h21.21.576,WTP_SM_Choice,2022.2.1,Win32,29.94011976,,,,,space,0.519,NAN,,NAN,0.41,5.59,,0,15,15,15,1,16,Sam,Acc,Participant_Images/6700d6aca79c6b2534f6292c/6700d6aca79c6b2534f6292c_Images/6700d6aca79c6b2534f6292c_Image_1.jpeg,liked,4.456234322,,,,,,,,,,,,,,,,,,,,
,,6700d6aca79c6b2534f6292c,6685aa9113c938e83b4f1ea0,672ea90a6e308631ecb9f882,2024-11-08_16h21.21.576,WTP_SM_Choice,2022.2.1,Win32,29.94011976,,,,,space,1.7745,NAN,,NAN,0.41,5.59,,0,16,16,16,1,17,Sam,Acc,Participant_Images/6700d6aca79c6b2534f6292c/6700d6aca79c6b2534f6292c_Images/6700d6aca79c6b2534f6292c_Image_19.jpeg,did not like,4.438512181,,,,,,,,,,,,,,,,,,,,
,,6700d6aca79c6b2534f6292c,6685aa9113c938e83b4f1ea0,672ea90a6e308631ecb9f882,2024-11-08_16h21.21.576,WTP_SM_Choice,2022.2.1,Win32,29.94011976,,,,,space,1.1588,NAN,,NAN,0.41,5.59,,0,17,17,17,1,18,Sam,Acc,Participant_Images/6700d6aca79c6b2534f6292c/6700d6aca79c6b2534f6292c_Images/6700d6aca79c6b2534f6292c_Image_6.jpeg,liked,2.682944783,,,,,,,,,,,,,,,,,,,,
,,6700d6aca79c6b2534f6292c,6685aa9113c938e83b4f1ea0,672ea90a6e308631ecb9f882,2024-11-08_16h21.21.576,WTP_SM_Choice,2022.2.1,Win32,29.94011976,,,,,space,1.9422,NAN,,NAN,0.41,5.59,,0,18,18,18,1,19,Sam,Acc,Participant_Images/6700d6aca79c6b2534f6292c/6700d6aca79c6b2534f6292c_Images/6700d6aca79c6b2534f6292c_Image_2.jpeg,did not like,4.51984296,,,,,,,,,,,,,,,,,,,,
,,6700d6aca79c6b2534f6292c,6685aa9113c938e83b4f1ea0,672ea90a6e308631ecb9f882,2024-11-08_16h21.21.576,WTP_SM_Choice,2022.2.1,Win32,29.94011976,,,,,,,,,,,,,,,,,,16,,,,,,space,4.6729,space,1.4848,0.04,2,2.9806,0,0,0,0,1,Work out,Sing with my partner,0.01,0.04,1.1,1,,
,,6700d6aca79c6b2534f6292c,6685aa9113c938e83b4f1ea0,672ea90a6e308631ecb9f882,2024-11-08_16h21.21.576,WTP_SM_Choice,2022.2.1,Win32,29.94011976,,,,,,,,,,,,,,,,,,17,,,,,,,,,,0.04,2,4.5323,0,1,1,1,1,Cook with my family,Watch instagram reels,0.02,0.04,8.8,0,,
,,6700d6aca79c6b2534f6292c,6685aa9113c938e83b4f1ea0,672ea90a6e308631ecb9f882,2024-11-08_16h21.21.576,WTP_SM_Choice,2022.2.1,Win32,29.94011976,,,,,,,,,,,,,,,,,,18,,,,,,,,,,0.04,2,2.6524,0,2,2,2,1,Bake with my partner,Meditate in the early morning,0.03,0.04,3.3,0,,
,,6700d6aca79c6b2534f6292c,6685aa9113c938e83b4f1ea0,672ea90a6e308631ecb9f882,2024-11-08_16h21.21.576,WTP_SM_Choice,2022.2.1,Win32,29.94011976,,,,,,,,,,,,,,,,,,19,,,,,,,,,,0.04,2,0.8358,0,3,3,3,1,Take a solo drive when I am overwhelmed,Jog with my kids,0.04,0.04,3.3,1,,
,,6700d6aca79c6b2534f6292c,6685aa9113c938e83b4f1ea0,672ea90a6e308631ecb9f882,2024-11-08_16h21.21.576,WTP_SM_Choice,2022.2.1,Win32,29.94011976,,,,,,,,,,,,,,,,,,20,,,,,,,,,,0.05,1,0.3506,0,4,4,4,1,Sing with my partner,Take a solo drive when I am overwhelmed,0.05,0.04,1.1,0,,
,,6700d6aca79c6b2534f6292c,6685aa9113c938e83b4f1ea0,672ea90a6e308631ecb9f882,2024-11-08_16h21.21.576,WTP_SM_Choice,2022.2.1,Win32,29.94011976,,,,,,,NAN,,NAN,0.62,5.38,,0,19,19,19,1,20,Sam,Acc,Participant_Images/6700d6aca79c6b2534f6292c/6700d6aca79c6b2534f6292c_Images/6700d6aca79c6b2534f6292c_Image_13.jpeg,liked,3.195382774,,,,,,,,,,,,,,,,,,,,
,,6700d6aca79c6b2534f6292c,6685aa9113c938e83b4f1ea0,672ea90a6e308631ecb9f882,2024-11-08_16h21.21.576,WTP_SM_Choice,2022.2.1,Win32,29.94011976,,,,,space,1.2027,NAN,,NAN,0.62,5.38,,0,20,20,20,1,21,Sam,Acc,Participant_Images/6700d6aca79c6b2534f6292c/6700d6aca79c6b2534f6292c_Images/6700d6aca79c6b2534f6292c_Image_12.jpeg,liked,1.779333479,,,,,,,,,,,,,,,,,,,,
,,6700d6aca79c6b2534f6292c,6685aa9113c938e83b4f1ea0,672ea90a6e308631ecb9f882,2024-11-08_16h21.21.576,WTP_SM_Choice,2022.2.1,Win32,29.94011976,,,,,space,1.454,NAN,,NAN,0.62,5.38,,0,21,21,21,1,22,Sam,Acc,Participant_Images/6700d6aca79c6b2534f6292c/6700d6aca79c6b2534f6292c_Images/6700d6aca79c6b2534f6292c_Image_5.jpeg,did not like,4.312468682,,,,,,,,,,,,,,,,,,,,
,,6700d6aca79c6b2534f6292c,6685aa9113c938e83b4f1ea0,672ea90a6e308631ecb9f882,2024-11-08_16h21.21.576,WTP_SM_Choice,2022.2.1,Win32,29.94011976,,,,,space,0.9659,NAN,,NAN,0.62,5.38,,0,22,22,22,1,23,Sam,Acc,Participant_Images/6700d6aca79c6b2534f6292c/6700d6aca79c6b2534f6292c_Images/6700d6aca79c6b2534f6292c_Image_14.jpeg,liked,4.940433059,,,,,,,,,,,,,,,,,,,,
,,6700d6aca79c6b2534f6292c,6685aa9113c938e83b4f1ea0,672ea90a6e308631ecb9f882,2024-11-08_16h21.21.576,WTP_SM_Choice,2022.2.1,Win32,29.94011976,,,,,space,3.2397,NAN,,NAN,0.62,5.38,,0,23,23,23,1,24,Sam,Acc,Participant_Images/6700d6aca79c6b2534f6292c/6700d6aca79c6b2534f6292c_Images/6700d6aca79c6b2534f6292c_Image_4.jpeg,liked,2.7105123,,,,,,,,,,,,,,,,,,,,
,,6700d6aca79c6b2534f6292c,6685aa9113c938e83b4f1ea0,672ea90a6e308631ecb9f882,2024-11-08_16h21.21.576,WTP_SM_Choice,2022.2.1,Win32,29.94011976,,,,,,,,,,,,,,,,,,21,,,,,,space,1.6846,space,0.6036,0.01,1,3.5747,0,0,0,0,1,Go to the movies with my partner,Meditate in the early morning,0.01,0.05,8.8,0,,
,,6700d6aca79c6b2534f6292c,6685aa9113c938e83b4f1ea0,672ea90a6e308631ecb9f882,2024-11-08_16h21.21.576,WTP_SM_Choice,2022.2.1,Win32,29.94011976,,,,,,,,,,,,,,,,,,22,,,,,,,,,,0.05,2,1.1201,0,1,1,1,1,Listen to music in bed,Go on a road trip with my family,0.02,0.05,4.4,1,,
,,6700d6aca79c6b2534f6292c,6685aa9113c938e83b4f1ea0,672ea90a6e308631ecb9f882,2024-11-08_16h21.21.576,WTP_SM_Choice,2022.2.1,Win32,29.94011976,,,,,,,,,,,,,,,,,,23,,,,,,,,,,0.05,2,1.0249,0,2,2,2,1,Take a solo drive when I am overwhelmed,Play basket ball with my friends,0.03,0.05,1.1,1,,
,,6700d6aca79c6b2534f6292c,6685aa9113c938e83b4f1ea0,672ea90a6e308631ecb9f882,2024-11-08_16h21.21.576,WTP_SM_Choice,2022.2.1,Win32,29.94011976,,,,,,,,,,,,,,,,,,24,,,,,,,,,,0.05,2,2.4202,0,3,3,3,1,Go for a morning jog,Jog with my kids,0.04,0.05,4.4,1,,
,,6700d6aca79c6b2534f6292c,6685aa9113c938e83b4f1ea0,672ea90a6e308631ecb9f882,2024-11-08_16h21.21.576,WTP_SM_Choice,2022.2.1,Win32,29.94011976,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,0,4,4,4,1,Bake with my partner,Scroll through social media,0.05,0.05,3.3,0,,
,,6700d6aca79c6b2534f6292c,6685aa9113c938e83b4f1ea0,672ea90a6e308631ecb9f882,2024-11-08_16h21.21.576,WTP_SM_Choice,2022.2.1,Win32,29.94011976,,,,,,,4,,8,0.78,5.22,,0,24,24,24,1,25,Sam,Acc,Participant_Images/6700d6aca79c6b2534f6292c/6700d6aca79c6b2534f6292c_Images/6700d6aca79c6b2534f6292c_Image_15.jpeg,liked,3.602308302,,,,,,,,,,,,,,,,,,,space,8.2412
,,6700d6aca79c6b2534f6292c,6685aa9113c938e83b4f1ea0,672ea90a6e308631ecb9f882,2024-11-08_16h21.21.576,WTP_SM_Choice,2022.2.1,Win32,29.94011976,,,space,4.1622,space,2.4751,NAN,,NAN,0.78,5.22,,0,25,25,25,1,26,Riley,Rej,Participant_Images/6700d6aca79c6b2534f6292c/6700d6aca79c6b2534f6292c_Images/6700d6aca79c6b2534f6292c_Image_1.jpeg,did not like,4.106391878,,,,,,,,,,,,,,,,,,,,
,,6700d6aca79c6b2534f6292c,6685aa9113c938e83b4f1ea0,672ea90a6e308631ecb9f882,2024-11-08_16h21.21.576,WTP_SM_Choice,2022.2.1,Win32,29.94011976,,,,,space,4.5271,NAN,,NAN,0.78,5.22,,0,26,26,26,1,27,Riley,Rej,Participant_Images/6700d6aca79c6b2534f6292c/6700d6aca79c6b2534f6292c_Images/6700d6aca79c6b2534f6292c_Image_13.jpeg,liked,3.799433026,,,,,,,,,,,,,,,,,,,,
,,6700d6aca79c6b2534f6292c,6685aa9113c938e83b4f1ea0,672ea90a6e308631ecb9f882,2024-11-08_16h21.21.576,WTP_SM_Choice,2022.2.1,Win32,29.94011976,,,,,space,4.1844,NAN,,NAN,0.78,5.22,,0,27,27,27,1,28,Riley,Rej,Participant_Images/6700d6aca79c6b2534f6292c/6700d6aca79c6b2534f6292c_Images/6700d6aca79c6b2534f6292c_Image_18.jpeg,liked,5.246980764,,,,,,,,,,,,,,,,,,,,
,,6700d6aca79c6b2534f6292c,6685aa9113c938e83b4f1ea0,672ea90a6e308631ecb9f882,2024-11-08_16h21.21.576,WTP_SM_Choice,2022.2.1,Win32,29.94011976,,,,,space,0.7844,NAN,,NAN,0.78,5.22,,0,28,28,28,1,29,Riley,Rej,Participant_Images/6700d6aca79c6b2534f6292c/6700d6aca79c6b2534f6292c_Images/6700d6aca79c6b2534f6292c_Image_25.jpeg,liked,3.30081769,,,,,,,,,,,,,,,,,,,,
,,6700d6aca79c6b2534f6292c,6685aa9113c938e83b4f1ea0,672ea90a6e308631ecb9f882,2024-11-08_16h21.21.576,WTP_SM_Choice,2022.2.1,Win32,29.94011976,,,,,,,,,,,,,,,,,,26,,,,,,space,2.9176,space,0.7949,,,,0,0,0,0,1,Take a solo drive when I am overwhelmed,Watch a comedy show with my kids,0.01,0.01,4.4,1,,
,,6700d6aca79c6b2534f6292c,6685aa9113c938e83b4f1ea0,672ea90a6e308631ecb9f882,2024-11-08_16h21.21.576,WTP_SM_Choice,2022.2.1,Win32,29.94011976,,,,,,,,,,,,,,,,,,27,,,,,,,,,,0.02,1,3.0845,0,1,1,1,1,Read in bed,Go to the movies with my partner,0.02,0.01,3.3,1,,
,,6700d6aca79c6b2534f6292c,6685aa9113c938e83b4f1ea0,672ea90a6e308631ecb9f882,2024-11-08_16h21.21.576,WTP_SM_Choice,2022.2.1,Win32,29.94011976,,,,,,,,,,,,,,,,,,28,,,,,,,,,,0.01,2,2.0063,0,2,2,2,1,Travel to Orlando with my family,Take a solo drive when I am overwhelmed,0.03,0.01,3.3,0,,
,,6700d6aca79c6b2534f6292c,6685aa9113c938e83b4f1ea0,672ea90a6e308631ecb9f882,2024-11-08_16h21.21.576,WTP_SM_Choice,2022.2.1,Win32,29.94011976,,,,,,,,,,,,,,,,,,29,,,,,,,,,,0.04,1,2.5328,0,3,3,3,1,Cook with my family,Meditate in the early morning,0.04,0.01,4.4,0,,
,,6700d6aca79c6b2534f6292c,6685aa9113c938e83b4f1ea0,672ea90a6e308631ecb9f882,2024-11-08_16h21.21.576,WTP_SM_Choice,2022.2.1,Win32,29.94011976,,,,,,,,,,,,,,,,,,30,,,,,,,,,,0.01,2,2.1196,0,4,4,4,1,Watch a comedy show with my kids,Scroll through social media,0.05,0.01,8.8,0,,
