endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,participant,date,expName,psychopyVersion,OS,frameRate,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,subtract_bonus,TOTAL_TASK_BONUS,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,WTP_ins_keys1.keys,WTP_ins_keys1.rt,WTP_ins_keys2.keys,WTP_ins_keys2.rt,decision_price,responses.keys,responses.rt,WTPTaskLoop.thisRepN,WTPTaskLoop.thisTrialN,WTPTaskLoop.thisN,WTPTaskLoop.thisIndex,WTPTaskLoop.ran,right,left,leftmoney,rightmoney,WTP_ITI,Resume_keys.keys,Resume_keys.rt,end_screen_keys.keys,end_screen_keys.rt
,,65412ca42e0e2fbb27b8a7b2,2024-07-05_10h42.04.662,WTP_SM_Choice,2022.2.1,Win32,58.82352941,,,,,space,6.74,NAN,,NAN,0.34,5.66,,0,18,18,18,1,19,Sam,Acc,Participant_Images/65412ca42e0e2fbb27b8a7b2/65412ca42e0e2fbb27b8a7b2_Images/65412ca42e0e2fbb27b8a7b2_Image_6.jpeg,liked,4.51984296,,,,,,,,,,,,,,,,,,,,,
,,65412ca42e0e2fbb27b8a7b2,2024-07-05_10h42.04.662,WTP_SM_Choice,2022.2.1,Win32,58.82352941,,,,,,,,,,,,,,,,,,16,,,,,,space,5.175,space,1.992,0.01,1,2.233,0,0,0,0,1,practice basketball,watch videos with others,0.01,0.04,1.1,,,,
,,65412ca42e0e2fbb27b8a7b2,2024-07-05_10h42.04.662,WTP_SM_Choice,2022.2.1,Win32,58.82352941,,,,,,,,,,,,,,,,,,17,,,,,,,,,,0.02,1,1.992,0,1,1,1,1,participate in a fantasy league of basketball,watch basketball with others,0.02,0.04,8.8,,,,
,,65412ca42e0e2fbb27b8a7b2,2024-07-05_10h42.04.662,WTP_SM_Choice,2022.2.1,Win32,58.82352941,,,,,,,,,,,,,,,,,,18,,,,,,,,,,0.03,1,1.757,0,2,2,2,1,invest in clothes,run with others,0.03,0.04,3.3,,,,
,,65412ca42e0e2fbb27b8a7b2,2024-07-05_10h42.04.662,WTP_SM_Choice,2022.2.1,Win32,58.82352941,,,,,,,,,,,,,,,,,,19,,,,,,,,,,0.04,2,7.495,0,3,3,3,1,read online,watch videos with others,0.04,0.04,3.3,,,,
,,65412ca42e0e2fbb27b8a7b2,2024-07-05_10h42.04.662,WTP_SM_Choice,2022.2.1,Win32,58.82352941,,,,,,,,,,,,,,,,,,20,,,,,,,,,,0.04,2,2.221,0,4,4,4,1,play video games by myself,play basketball with othersq,0.05,0.04,1.1,,,,
,,65412ca42e0e2fbb27b8a7b2,2024-07-05_10h42.04.662,WTP_SM_Choice,2022.2.1,Win32,58.82352941,,,,,,,NAN,,NAN,0.48,5.52,,0,19,19,19,1,20,Sam,Acc,Participant_Images/65412ca42e0e2fbb27b8a7b2/65412ca42e0e2fbb27b8a7b2_Images/65412ca42e0e2fbb27b8a7b2_Image_9.jpeg,liked,3.195382774,,,,,,,,,,,,,,,,,,,,,
,,65412ca42e0e2fbb27b8a7b2,2024-07-05_10h42.04.662,WTP_SM_Choice,2022.2.1,Win32,58.82352941,,,,,space,1.739,NAN,,NAN,0.48,5.52,,0,20,20,20,1,21,Sam,Acc,Participant_Images/65412ca42e0e2fbb27b8a7b2/65412ca42e0e2fbb27b8a7b2_Images/65412ca42e0e2fbb27b8a7b2_Image_2.jpeg,did not like,1.779333479,,,,,,,,,,,,,,,,,,,,,
,,65412ca42e0e2fbb27b8a7b2,2024-07-05_10h42.04.662,WTP_SM_Choice,2022.2.1,Win32,58.82352941,,,,,space,1.12,NAN,,NAN,0.48,5.52,,0,21,21,21,1,22,Sam,Acc,Participant_Images/65412ca42e0e2fbb27b8a7b2/65412ca42e0e2fbb27b8a7b2_Images/65412ca42e0e2fbb27b8a7b2_Image_4.jpeg,liked,4.312468682,,,,,,,,,,,,,,,,,,,,,
,,65412ca42e0e2fbb27b8a7b2,2024-07-05_10h42.04.662,WTP_SM_Choice,2022.2.1,Win32,58.82352941,,,,,space,5.92,NAN,,NAN,0.48,5.52,,0,22,22,22,1,23,Sam,Acc,Participant_Images/65412ca42e0e2fbb27b8a7b2/65412ca42e0e2fbb27b8a7b2_Images/65412ca42e0e2fbb27b8a7b2_Image_8.jpeg,liked,4.940433059,,,,,,,,,,,,,,,,,,,,,
,,65412ca42e0e2fbb27b8a7b2,2024-07-05_10h42.04.662,WTP_SM_Choice,2022.2.1,Win32,58.82352941,,,,,space,4.253,NAN,,NAN,0.48,5.52,,0,23,23,23,1,24,Sam,Acc,Participant_Images/65412ca42e0e2fbb27b8a7b2/65412ca42e0e2fbb27b8a7b2_Images/65412ca42e0e2fbb27b8a7b2_Image_14.jpeg,liked,2.7105123,,,,,,,,,,,,,,,,,,,,,
,,65412ca42e0e2fbb27b8a7b2,2024-07-05_10h42.04.662,WTP_SM_Choice,2022.2.1,Win32,58.82352941,,,,,,,,,,,,,,,,,,21,,,,,,space,4.117,space,0.901,0.01,1,1.988,0,0,0,0,1,read online,wrestle with others,0.01,0.05,8.8,,,,
,,65412ca42e0e2fbb27b8a7b2,2024-07-05_10h42.04.662,WTP_SM_Choice,2022.2.1,Win32,58.82352941,,,,,,,,,,,,,,,,,,22,,,,,,,,,,0.02,1,1.082,0,1,1,1,1,trade stocks and crypto,discuss current events with others,0.02,0.05,4.4,,,,
,,65412ca42e0e2fbb27b8a7b2,2024-07-05_10h42.04.662,WTP_SM_Choice,2022.2.1,Win32,58.82352941,,,,,,,,,,,,,,,,,,23,,,,,,,,,,0.03,1,1.541,0,2,2,2,1,participate in a fantasy league of basketball,discuss business ideas with others,0.03,0.05,1.1,,,,
,,65412ca42e0e2fbb27b8a7b2,2024-07-05_10h42.04.662,WTP_SM_Choice,2022.2.1,Win32,58.82352941,,,,,,,,,,,,,,,,,,24,,,,,,,,,,0.04,1,2.631,0,3,3,3,1,participate in a fantasy league of basketball,run with others,0.04,0.05,4.4,,,,
,,65412ca42e0e2fbb27b8a7b2,2024-07-05_10h42.04.662,WTP_SM_Choice,2022.2.1,Win32,58.82352941,,,,,,,,,,,,,,,,,,25,,,,,,,,,,0.05,1,3.043,0,4,4,4,1,trade stocks and crypto,run with others,0.05,0.05,3.3,,,,
,,65412ca42e0e2fbb27b8a7b2,2024-07-05_10h42.04.662,WTP_SM_Choice,2022.2.1,Win32,58.82352941,,,,,,,3,,9,0.63,5.37,,0,24,24,24,1,25,Sam,Acc,Participant_Images/65412ca42e0e2fbb27b8a7b2/65412ca42e0e2fbb27b8a7b2_Images/65412ca42e0e2fbb27b8a7b2_Image_1.jpeg,liked,3.602308302,,,,,,,,,,,,,,,,,,space,2.68,,
,,65412ca42e0e2fbb27b8a7b2,2024-07-05_10h42.04.662,WTP_SM_Choice,2022.2.1,Win32,58.82352941,,,space,1.114,space,3.202,NAN,,NAN,0.63,5.37,,0,25,25,25,1,26,Riley,Acc,Participant_Images/65412ca42e0e2fbb27b8a7b2/65412ca42e0e2fbb27b8a7b2_Images/65412ca42e0e2fbb27b8a7b2_Image_10.jpeg,liked,4.106391878,,,,,,,,,,,,,,,,,,,,,
,,65412ca42e0e2fbb27b8a7b2,2024-07-05_10h42.04.662,WTP_SM_Choice,2022.2.1,Win32,58.82352941,,,,,space,0.655,NAN,,NAN,0.63,5.37,,0,26,26,26,1,27,Riley,Acc,Participant_Images/65412ca42e0e2fbb27b8a7b2/65412ca42e0e2fbb27b8a7b2_Images/65412ca42e0e2fbb27b8a7b2_Image_23.jpeg,did not like,3.799433026,,,,,,,,,,,,,,,,,,,,,
,,65412ca42e0e2fbb27b8a7b2,2024-07-05_10h42.04.662,WTP_SM_Choice,2022.2.1,Win32,58.82352941,,,,,space,2.567,NAN,,NAN,0.63,5.37,,0,27,27,27,1,28,Riley,Acc,Participant_Images/65412ca42e0e2fbb27b8a7b2/65412ca42e0e2fbb27b8a7b2_Images/65412ca42e0e2fbb27b8a7b2_Image_25.jpeg,liked,5.246980764,,,,,,,,,,,,,,,,,,,,,
,,65412ca42e0e2fbb27b8a7b2,2024-07-05_10h42.04.662,WTP_SM_Choice,2022.2.1,Win32,58.82352941,,,,,space,2.962,NAN,,NAN,0.63,5.37,,0,28,28,28,1,29,Riley,Acc,Participant_Images/65412ca42e0e2fbb27b8a7b2/65412ca42e0e2fbb27b8a7b2_Images/65412ca42e0e2fbb27b8a7b2_Image_9.jpeg,did not like,3.30081769,,,,,,,,,,,,,,,,,,,,,
,,65412ca42e0e2fbb27b8a7b2,2024-07-05_10h42.04.662,WTP_SM_Choice,2022.2.1,Win32,58.82352941,,,,,,,,,,,,,,,,,,26,,,,,,space,1.335,space,0.623,0.01,1,1.991,0,0,0,0,1,play video games by myself,play with my little brothers,0.01,0.01,4.4,,,,
,,65412ca42e0e2fbb27b8a7b2,2024-07-05_10h42.04.662,WTP_SM_Choice,2022.2.1,Win32,58.82352941,,,,,,,,,,,,,,,,,,27,,,,,,,,,,0.01,2,1.625,0,1,1,1,1,watch basketball,discuss current events with others,0.02,0.01,3.3,,,,
,,65412ca42e0e2fbb27b8a7b2,2024-07-05_10h42.04.662,WTP_SM_Choice,2022.2.1,Win32,58.82352941,,,,,,,,,,,,,,,,,,28,,,,,,,,,,0.01,2,1.48,0,2,2,2,1,read online,eat with others,0.03,0.01,3.3,,,,
,,65412ca42e0e2fbb27b8a7b2,2024-07-05_10h42.04.662,WTP_SM_Choice,2022.2.1,Win32,58.82352941,,,,,,,,,,,,,,,,,,29,,,,,,,,,,0.01,2,1.362,0,3,3,3,1,participate in a fantasy league of basketball,play basketball with othersq,0.04,0.01,4.4,,,,
,,65412ca42e0e2fbb27b8a7b2,2024-07-05_10h42.04.662,WTP_SM_Choice,2022.2.1,Win32,58.82352941,,,,,,,,,,,,,,,,,,30,,,,,,,,,,0.01,2,1.792,0,4,4,4,1,participate in a fantasy league of football,eat with others,0.05,0.01,8.8,,,,
,,65412ca42e0e2fbb27b8a7b2,2024-07-05_10h42.04.662,WTP_SM_Choice,2022.2.1,Win32,58.82352941,,,,,,,NAN,,NAN,0.68,5.32,,0,29,29,29,1,30,Riley,Acc,Participant_Images/65412ca42e0e2fbb27b8a7b2/65412ca42e0e2fbb27b8a7b2_Images/65412ca42e0e2fbb27b8a7b2_Image_18.jpeg,liked,1.661473164,,,,,,,,,,,,,,,,,,,,,
,,65412ca42e0e2fbb27b8a7b2,2024-07-05_10h42.04.662,WTP_SM_Choice,2022.2.1,Win32,58.82352941,,,,,space,1.422,NAN,,NAN,0.68,5.32,,0,30,30,30,1,31,Riley,Acc,Participant_Images/65412ca42e0e2fbb27b8a7b2/65412ca42e0e2fbb27b8a7b2_Images/65412ca42e0e2fbb27b8a7b2_Image_17.jpeg,liked,3.613205605,,,,,,,,,,,,,,,,,,,,,
