endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,participant,date,expName,psychopyVersion,OS,frameRate,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,subtract_bonus,TOTAL_TASK_BONUS,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,WTP_ins_keys1.keys,WTP_ins_keys1.rt,WTP_ins_keys2.keys,WTP_ins_keys2.rt,decision_price,responses.keys,responses.rt,WTPTaskLoop.thisRepN,WTPTaskLoop.thisTrialN,WTPTaskLoop.thisN,WTPTaskLoop.thisIndex,WTPTaskLoop.ran,right,left,leftmoney,rightmoney,WTP_ITI,Resume_keys.keys,Resume_keys.rt
,,63d432e27555fb4b5785cfcd,2024-04-13_08h54.22.699,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,5,,,,,,,,,,0.05,1,1.6725,0,4,4,4,1,Taking time to learn new crochet stitches or make something,Going to the zoo with my toddler and watching the animals,0.05,0.01,1.1,,
,,63d432e27555fb4b5785cfcd,2024-04-13_08h54.22.699,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,NAN,,NAN,0.14,5.86,,0,4,4,4,1,5,Alex,Rej,Participant_Images/63d432e27555fb4b5785cfcd/63d432e27555fb4b5785cfcd_Images/63d432e27555fb4b5785cfcd_Image_16.jpeg,did not like,2.455989137,,,,,,,,,,,,,,,,,,,
,,63d432e27555fb4b5785cfcd,2024-04-13_08h54.22.699,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,space,0.7486,NAN,,NAN,0.14,5.86,,0,5,5,5,1,6,Alex,Rej,Participant_Images/63d432e27555fb4b5785cfcd/63d432e27555fb4b5785cfcd_Images/63d432e27555fb4b5785cfcd_Image_7.jpeg,liked,3.79605092,,,,,,,,,,,,,,,,,,,
,,63d432e27555fb4b5785cfcd,2024-04-13_08h54.22.699,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,space,0.5869,NAN,,NAN,0.14,5.86,,0,6,6,6,1,7,Alex,Rej,Participant_Images/63d432e27555fb4b5785cfcd/63d432e27555fb4b5785cfcd_Images/63d432e27555fb4b5785cfcd_Image_21.jpeg,liked,3.562416326,,,,,,,,,,,,,,,,,,,
,,63d432e27555fb4b5785cfcd,2024-04-13_08h54.22.699,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,space,0.7344,NAN,,NAN,0.14,5.86,,0,7,7,7,1,8,Alex,Rej,Participant_Images/63d432e27555fb4b5785cfcd/63d432e27555fb4b5785cfcd_Images/63d432e27555fb4b5785cfcd_Image_13.jpeg,did not like,2.843822497,,,,,,,,,,,,,,,,,,,
,,63d432e27555fb4b5785cfcd,2024-04-13_08h54.22.699,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,space,1.2103,NAN,,NAN,0.14,5.86,,0,8,8,8,1,9,Alex,Rej,Participant_Images/63d432e27555fb4b5785cfcd/63d432e27555fb4b5785cfcd_Images/63d432e27555fb4b5785cfcd_Image_8.jpeg,did not like,3.546495948,,,,,,,,,,,,,,,,,,,
,,63d432e27555fb4b5785cfcd,2024-04-13_08h54.22.699,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,6,,,,,,space,2.833,space,2.2068,0.01,1,1.1415,0,0,0,0,1,Staying away at night and enjoying the quiet,Going to the beach with my family,0.01,0.02,3.3,,
,,63d432e27555fb4b5785cfcd,2024-04-13_08h54.22.699,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,7,,,,,,,,,,0.02,1,1.0517,0,1,1,1,1,Playing fetch with the dogs or playing in the dirt in our backyard,Going to the zoo with my toddler and watching the animals,0.02,0.02,1.1,,
,,63d432e27555fb4b5785cfcd,2024-04-13_08h54.22.699,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,8,,,,,,,,,,0.03,1,0.9236,0,2,2,2,1,Combing through the rocks and shells on the beach for hours,Fishing with my family,0.03,0.02,1.1,,
,,63d432e27555fb4b5785cfcd,2024-04-13_08h54.22.699,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,9,,,,,,,,,,0.04,1,1.0512,0,3,3,3,1,Combing through the rocks and shells on the beach for hours,Going to the beach with my family,0.04,0.02,4.4,,
,,63d432e27555fb4b5785cfcd,2024-04-13_08h54.22.699,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,10,,,,,,,,,,0.05,1,1.2225,0,4,4,4,1,Lounging around and reading a good book on the beach,Going to the beach with my family,0.05,0.02,1.1,,
,,63d432e27555fb4b5785cfcd,2024-04-13_08h54.22.699,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,NAN,,NAN,0.29,5.71,,0,9,9,9,1,10,Alex,Rej,Participant_Images/63d432e27555fb4b5785cfcd/63d432e27555fb4b5785cfcd_Images/63d432e27555fb4b5785cfcd_Image_24.jpeg,liked,1.672012706,,,,,,,,,,,,,,,,,,,
,,63d432e27555fb4b5785cfcd,2024-04-13_08h54.22.699,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,space,0.5698,NAN,,NAN,0.29,5.71,,0,10,10,10,1,11,Alex,Rej,Participant_Images/63d432e27555fb4b5785cfcd/63d432e27555fb4b5785cfcd_Images/63d432e27555fb4b5785cfcd_Image_11.jpeg,did not like,4.942172136,,,,,,,,,,,,,,,,,,,
,,63d432e27555fb4b5785cfcd,2024-04-13_08h54.22.699,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,space,0.7449,NAN,,NAN,0.29,5.71,,0,11,11,11,1,12,Alex,Rej,Participant_Images/63d432e27555fb4b5785cfcd/63d432e27555fb4b5785cfcd_Images/63d432e27555fb4b5785cfcd_Image_1.jpeg,did not like,2.50187214,,,,,,,,,,,,,,,,,,,
,,63d432e27555fb4b5785cfcd,2024-04-13_08h54.22.699,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,space,0.324,NAN,,NAN,0.29,5.71,,0,12,12,12,1,13,Alex,Rej,Participant_Images/63d432e27555fb4b5785cfcd/63d432e27555fb4b5785cfcd_Images/63d432e27555fb4b5785cfcd_Image_6.jpeg,did not like,2.071164779,,,,,,,,,,,,,,,,,,,
,,63d432e27555fb4b5785cfcd,2024-04-13_08h54.22.699,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,space,0.341,NAN,,NAN,0.29,5.71,,0,13,13,13,1,14,Alex,Rej,Participant_Images/63d432e27555fb4b5785cfcd/63d432e27555fb4b5785cfcd_Images/63d432e27555fb4b5785cfcd_Image_17.jpeg,did not like,5.336503566,,,,,,,,,,,,,,,,,,,
,,63d432e27555fb4b5785cfcd,2024-04-13_08h54.22.699,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,11,,,,,,space,0.2969,space,1.4355,0.01,1,0.0474,0,0,0,0,1,Trying new coffee places around town and see what the atmosphere is like,Taking the dogs for a walk with my husband,0.01,0.03,3.3,,
,,63d432e27555fb4b5785cfcd,2024-04-13_08h54.22.699,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,12,,,,,,,,,,0.02,1,1.8148,0,1,1,1,1,Lounging around and reading a good book on the beach,Monthly lunches with my best friends,0.02,0.03,4.4,,
,,63d432e27555fb4b5785cfcd,2024-04-13_08h54.22.699,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,13,,,,,,,,,,0.03,1,1.6496,0,2,2,2,1,Taking time to learn new crochet stitches or make something,Taking a day off work and heading downtown to spend a day with my husband,0.03,0.03,1.1,,
,,63d432e27555fb4b5785cfcd,2024-04-13_08h54.22.699,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,14,,,,,,,,,,0.04,1,1.4616,0,3,3,3,1,Going to  my favorite farmer's market in my favorite town on summer saturday morning,Fishing with my family,0.04,0.03,3.3,,
,,63d432e27555fb4b5785cfcd,2024-04-13_08h54.22.699,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,15,,,,,,,,,,0.05,1,0.9633,0,4,4,4,1,Listening to storms by a window,Fishing with my family,0.05,0.03,4.4,,
,,63d432e27555fb4b5785cfcd,2024-04-13_08h54.22.699,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,NAN,,NAN,0.44,5.56,,0,14,14,14,1,15,Alex,Rej,Participant_Images/63d432e27555fb4b5785cfcd/63d432e27555fb4b5785cfcd_Images/63d432e27555fb4b5785cfcd_Image_10.jpeg,did not like,2.642157193,,,,,,,,,,,,,,,,,,,
,,63d432e27555fb4b5785cfcd,2024-04-13_08h54.22.699,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,space,0.5344,NAN,,NAN,0.44,5.56,,0,15,15,15,1,16,Alex,Rej,Participant_Images/63d432e27555fb4b5785cfcd/63d432e27555fb4b5785cfcd_Images/63d432e27555fb4b5785cfcd_Image_15.jpeg,did not like,4.456234322,,,,,,,,,,,,,,,,,,,
,,63d432e27555fb4b5785cfcd,2024-04-13_08h54.22.699,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,space,0.2884,NAN,,NAN,0.44,5.56,,0,16,16,16,1,17,Alex,Rej,Participant_Images/63d432e27555fb4b5785cfcd/63d432e27555fb4b5785cfcd_Images/63d432e27555fb4b5785cfcd_Image_25.jpeg,did not like,4.438512181,,,,,,,,,,,,,,,,,,,
,,63d432e27555fb4b5785cfcd,2024-04-13_08h54.22.699,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,space,0.7115,NAN,,NAN,0.44,5.56,,0,17,17,17,1,18,Alex,Rej,Participant_Images/63d432e27555fb4b5785cfcd/63d432e27555fb4b5785cfcd_Images/63d432e27555fb4b5785cfcd_Image_19.jpeg,liked,2.682944783,,,,,,,,,,,,,,,,,,,
,,63d432e27555fb4b5785cfcd,2024-04-13_08h54.22.699,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,space,0.5553,NAN,,NAN,0.44,5.56,,0,18,18,18,1,19,Alex,Rej,Participant_Images/63d432e27555fb4b5785cfcd/63d432e27555fb4b5785cfcd_Images/63d432e27555fb4b5785cfcd_Image_20.jpeg,liked,4.51984296,,,,,,,,,,,,,,,,,,,
,,63d432e27555fb4b5785cfcd,2024-04-13_08h54.22.699,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,16,,,,,,space,2.2679,space,1.5161,0.04,2,2.2928,0,0,0,0,1,Going to  my favorite farmer's market in my favorite town on summer saturday morning,Going to my sister's house and spending time with my niece,0.01,0.04,1.1,,
,,63d432e27555fb4b5785cfcd,2024-04-13_08h54.22.699,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,17,,,,,,,,,,0.02,1,1.7406,0,1,1,1,1,Going to  my favorite farmer's market in my favorite town on summer saturday morning,Monthly lunches with my best friends,0.02,0.04,8.8,,
,,63d432e27555fb4b5785cfcd,2024-04-13_08h54.22.699,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,18,,,,,,,,,,0.03,1,2.2812,0,2,2,2,1,Staying away at night and enjoying the quiet,Getting tattoos with others such as my husband or my besties,0.03,0.04,3.3,,
,,63d432e27555fb4b5785cfcd,2024-04-13_08h54.22.699,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,19,,,,,,,,,,0.04,1,1.507,0,3,3,3,1,Taking time to learn new crochet stitches or make something,Fishing with my family,0.04,0.04,3.3,,
,,63d432e27555fb4b5785cfcd,2024-04-13_08h54.22.699,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,20,,,,,,,,,,0.05,1,1.5472,0,4,4,4,1,Playing fetch with the dogs or playing in the dirt in our backyard,Taking a day off work and heading downtown to spend a day with my husband,0.05,0.04,1.1,,
,,63d432e27555fb4b5785cfcd,2024-04-13_08h54.22.699,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,NAN,,NAN,0.62,5.38,,0,19,19,19,1,20,Alex,Rej,Participant_Images/63d432e27555fb4b5785cfcd/63d432e27555fb4b5785cfcd_Images/63d432e27555fb4b5785cfcd_Image_23.jpeg,did not like,3.195382774,,,,,,,,,,,,,,,,,,,
,,63d432e27555fb4b5785cfcd,2024-04-13_08h54.22.699,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,space,0.5003,NAN,,NAN,0.62,5.38,,0,20,20,20,1,21,Alex,Rej,Participant_Images/63d432e27555fb4b5785cfcd/63d432e27555fb4b5785cfcd_Images/63d432e27555fb4b5785cfcd_Image_4.jpeg,liked,1.779333479,,,,,,,,,,,,,,,,,,,
,,63d432e27555fb4b5785cfcd,2024-04-13_08h54.22.699,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,space,0.3231,NAN,,NAN,0.62,5.38,,0,21,21,21,1,22,Alex,Rej,Participant_Images/63d432e27555fb4b5785cfcd/63d432e27555fb4b5785cfcd_Images/63d432e27555fb4b5785cfcd_Image_9.jpeg,did not like,4.312468682,,,,,,,,,,,,,,,,,,,
,,63d432e27555fb4b5785cfcd,2024-04-13_08h54.22.699,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,space,0.6757,NAN,,NAN,0.62,5.38,,0,22,22,22,1,23,Alex,Rej,Participant_Images/63d432e27555fb4b5785cfcd/63d432e27555fb4b5785cfcd_Images/63d432e27555fb4b5785cfcd_Image_2.jpeg,did not like,4.940433059,,,,,,,,,,,,,,,,,,,
,,63d432e27555fb4b5785cfcd,2024-04-13_08h54.22.699,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,space,0.3188,NAN,,NAN,0.62,5.38,,0,23,23,23,1,24,Alex,Rej,Participant_Images/63d432e27555fb4b5785cfcd/63d432e27555fb4b5785cfcd_Images/63d432e27555fb4b5785cfcd_Image_12.jpeg,liked,2.7105123,,,,,,,,,,,,,,,,,,,
,,63d432e27555fb4b5785cfcd,2024-04-13_08h54.22.699,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,21,,,,,,space,0.6077,space,0.7668,0.05,2,1.9636,0,0,0,0,1,Going to  my favorite farmer's market in my favorite town on summer saturday morning,Taking the dogs for a walk with my husband,0.01,0.05,8.8,,
,,63d432e27555fb4b5785cfcd,2024-04-13_08h54.22.699,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,22,,,,,,,,,,0.02,1,3.0016,0,1,1,1,1,Trying new coffee places around town and see what the atmosphere is like,Looking through the MLS at houses for fun with my husband,0.02,0.05,4.4,,
,,63d432e27555fb4b5785cfcd,2024-04-13_08h54.22.699,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,23,,,,,,,,,,0.05,2,2.2183,0,2,2,2,1,Lounging around and reading a good book on the beach,Looking through the MLS at houses for fun with my husband,0.03,0.05,1.1,,
,,63d432e27555fb4b5785cfcd,2024-04-13_08h54.22.699,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,24,,,,,,,,,,0.04,1,2.232,0,3,3,3,1,Trying new coffee places around town and see what the atmosphere is like,Getting tattoos with others such as my husband or my besties,0.04,0.05,4.4,,
,,63d432e27555fb4b5785cfcd,2024-04-13_08h54.22.699,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,25,,,,,,,,,,0.05,1,1.3108,0,4,4,4,1,Sitting on the couch and watching every single dateline episode,Snuggling up with my husband kiddo and dogs and watching movies,0.05,0.05,3.3,,
,,63d432e27555fb4b5785cfcd,2024-04-13_08h54.22.699,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,1,,8,0.83,5.17,,0,24,24,24,1,25,Alex,Rej,Participant_Images/63d432e27555fb4b5785cfcd/63d432e27555fb4b5785cfcd_Images/63d432e27555fb4b5785cfcd_Image_5.jpeg,did not like,3.602308302,,,,,,,,,,,,,,,,,,space,533.5065
,,63d432e27555fb4b5785cfcd,2024-04-13_08h54.22.699,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,space,1.977,space,0.7055,NAN,,NAN,0.83,5.17,,0,25,25,25,1,26,Charlie,Acc,Participant_Images/63d432e27555fb4b5785cfcd/63d432e27555fb4b5785cfcd_Images/63d432e27555fb4b5785cfcd_Image_23.jpeg,liked,4.106391878,,,,,,,,,,,,,,,,,,,
,,63d432e27555fb4b5785cfcd,2024-04-13_08h54.22.699,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,space,0.5896,NAN,,NAN,0.83,5.17,,0,26,26,26,1,27,Charlie,Acc,Participant_Images/63d432e27555fb4b5785cfcd/63d432e27555fb4b5785cfcd_Images/63d432e27555fb4b5785cfcd_Image_17.jpeg,liked,3.799433026,,,,,,,,,,,,,,,,,,,
,,63d432e27555fb4b5785cfcd,2024-04-13_08h54.22.699,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,space,0.981,NAN,,NAN,0.83,5.17,,0,27,27,27,1,28,Charlie,Acc,Participant_Images/63d432e27555fb4b5785cfcd/63d432e27555fb4b5785cfcd_Images/63d432e27555fb4b5785cfcd_Image_6.jpeg,did not like,5.246980764,,,,,,,,,,,,,,,,,,,
,,63d432e27555fb4b5785cfcd,2024-04-13_08h54.22.699,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,space,2.5353,NAN,,NAN,0.83,5.17,,0,28,28,28,1,29,Charlie,Acc,Participant_Images/63d432e27555fb4b5785cfcd/63d432e27555fb4b5785cfcd_Images/63d432e27555fb4b5785cfcd_Image_10.jpeg,liked,3.30081769,,,,,,,,,,,,,,,,,,,
,,63d432e27555fb4b5785cfcd,2024-04-13_08h54.22.699,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,26,,,,,,space,1.195,space,1.1345,0.01,2,2.7616,0,0,0,0,1,Taking time to learn new crochet stitches or make something,Taking the dogs for a walk with my husband,0.01,0.01,4.4,,
,,63d432e27555fb4b5785cfcd,2024-04-13_08h54.22.699,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,27,,,,,,,,,,0.02,1,2.4675,0,1,1,1,1,Playing fetch with the dogs or playing in the dirt in our backyard,Looking through the MLS at houses for fun with my husband,0.02,0.01,3.3,,
,,63d432e27555fb4b5785cfcd,2024-04-13_08h54.22.699,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,28,,,,,,,,,,0.03,1,1.0954,0,2,2,2,1,Trying new coffee places around town and see what the atmosphere is like,Snuggling up with my husband kiddo and dogs and watching movies,0.03,0.01,3.3,,
,,63d432e27555fb4b5785cfcd,2024-04-13_08h54.22.699,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,29,,,,,,,,,,0.04,1,2.0184,0,3,3,3,1,Staying away at night and enjoying the quiet,Going to my sister's house and spending time with my niece,0.04,0.01,4.4,,
,,63d432e27555fb4b5785cfcd,2024-04-13_08h54.22.699,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,30,,,,,,,,,,0.05,1,4.3549,0,4,4,4,1,Listening to storms by a window,Looking through the MLS at houses for fun with my husband,0.05,0.01,8.8,,
,,63d432e27555fb4b5785cfcd,2024-04-13_08h54.22.699,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,NAN,,NAN,0.98,5.02,,0,29,29,29,1,30,Charlie,Acc,Participant_Images/63d432e27555fb4b5785cfcd/63d432e27555fb4b5785cfcd_Images/63d432e27555fb4b5785cfcd_Image_24.jpeg,liked,1.661473164,,,,,,,,,,,,,,,,,,,
,,63d432e27555fb4b5785cfcd,2024-04-13_08h54.22.699,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,space,0.8375,NAN,,NAN,0.98,5.02,,0,30,30,30,1,31,Charlie,Acc,Participant_Images/63d432e27555fb4b5785cfcd/63d432e27555fb4b5785cfcd_Images/63d432e27555fb4b5785cfcd_Image_9.jpeg,liked,3.613205605,,,,,,,,,,,,,,,,,,,
,,63d432e27555fb4b5785cfcd,2024-04-13_08h54.22.699,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,space,0.6522,NAN,,NAN,0.98,5.02,,0,31,31,31,1,32,Charlie,Acc,Participant_Images/63d432e27555fb4b5785cfcd/63d432e27555fb4b5785cfcd_Images/63d432e27555fb4b5785cfcd_Image_19.jpeg,liked,4.988446431,,,,,,,,,,,,,,,,,,,
,,63d432e27555fb4b5785cfcd,2024-04-13_08h54.22.699,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,space,2.3045,NAN,,NAN,0.98,5.02,,0,32,32,32,1,33,Charlie,Acc,Participant_Images/63d432e27555fb4b5785cfcd/63d432e27555fb4b5785cfcd_Images/63d432e27555fb4b5785cfcd_Image_21.jpeg,liked,3.470791822,,,,,,,,,,,,,,,,,,,
,,63d432e27555fb4b5785cfcd,2024-04-13_08h54.22.699,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,space,1.0159,NAN,,NAN,0.98,5.02,,0,33,33,33,1,34,Charlie,Acc,Participant_Images/63d432e27555fb4b5785cfcd/63d432e27555fb4b5785cfcd_Images/63d432e27555fb4b5785cfcd_Image_13.jpeg,liked,3.820572462,,,,,,,,,,,,,,,,,,,
,,63d432e27555fb4b5785cfcd,2024-04-13_08h54.22.699,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,31,,,,,,space,2.223,space,0.8841,0.02,2,2.5494,0,0,0,0,1,Playing fetch with the dogs or playing in the dirt in our backyard,Taking the dogs for a walk with my husband,0.01,0.02,8.8,,
,,63d432e27555fb4b5785cfcd,2024-04-13_08h54.22.699,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,32,,,,,,,,,,0.02,1,1.5875,0,1,1,1,1,Taking time to learn new crochet stitches or make something,Snuggling up with my husband kiddo and dogs and watching movies,0.02,0.02,1.1,,
,,63d432e27555fb4b5785cfcd,2024-04-13_08h54.22.699,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,33,,,,,,,,,,0.03,1,1.3155,0,2,2,2,1,Going to  my favorite farmer's market in my favorite town on summer saturday morning,Going to the beach with my family,0.03,0.02,4.4,,
,,63d432e27555fb4b5785cfcd,2024-04-13_08h54.22.699,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,34,,,,,,,,,,0.04,1,2.1996,0,3,3,3,1,Staying away at night and enjoying the quiet,Looking through the MLS at houses for fun with my husband,0.04,0.02,3.3,,
