endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,participant,STUDY_ID,SESSION_ID,date,expName,psychopyVersion,OS,frameRate,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,subtract_bonus,TOTAL_TASK_BONUS,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,WTP_ins_keys1.keys,WTP_ins_keys1.rt,WTP_ins_keys2.keys,WTP_ins_keys2.rt,decision_price,responses.keys,responses.rt,WTPTaskLoop.thisRepN,WTPTaskLoop.thisTrialN,WTPTaskLoop.thisN,WTPTaskLoop.thisIndex,WTPTaskLoop.ran,right,left,leftmoney,rightmoney,WTP_ITI,social_left,Resume_keys.keys,Resume_keys.rt,key_resp.rt,end_screen_keys.keys,end_screen_keys.rt
,,670d326c55fa3d6f10ebe253,6685aa9113c938e83b4f1ea0,671c534eec458c9e4d982071,2024-10-25_21h27.36.825,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,space,1.7617,NAN,,NAN,0.46,5.54,,0,21,21,21,1,22,Charlie,Acc,Participant_Images/670d326c55fa3d6f10ebe253/670d326c55fa3d6f10ebe253_Images/670d326c55fa3d6f10ebe253_Image_17.jpeg,liked,4.312468682,,,,,,,,,,,,,,,,,,,,,,,
,,670d326c55fa3d6f10ebe253,6685aa9113c938e83b4f1ea0,671c534eec458c9e4d982071,2024-10-25_21h27.36.825,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,space,15.0713,NAN,,NAN,0.46,5.54,,0,22,22,22,1,23,Charlie,Acc,Participant_Images/670d326c55fa3d6f10ebe253/670d326c55fa3d6f10ebe253_Images/670d326c55fa3d6f10ebe253_Image_10.jpeg,did not like,4.940433059,,,,,,,,,,,,,,,,,,,,,,,
,,670d326c55fa3d6f10ebe253,6685aa9113c938e83b4f1ea0,671c534eec458c9e4d982071,2024-10-25_21h27.36.825,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,space,1.1174,NAN,,NAN,0.46,5.54,,0,23,23,23,1,24,Charlie,Acc,Participant_Images/670d326c55fa3d6f10ebe253/670d326c55fa3d6f10ebe253_Images/670d326c55fa3d6f10ebe253_Image_20.jpeg,liked,2.7105123,,,,,,,,,,,,,,,,,,,,,,,
,,670d326c55fa3d6f10ebe253,6685aa9113c938e83b4f1ea0,671c534eec458c9e4d982071,2024-10-25_21h27.36.825,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,21,,,,,,space,3.2696,space,5.4065,0.01,1,2.0847,0,0,0,0,1,Watch football with nick my husband every weekend,Paint on rocks during the summer ,0.01,0.05,8.8,0,,,,,
,,670d326c55fa3d6f10ebe253,6685aa9113c938e83b4f1ea0,671c534eec458c9e4d982071,2024-10-25_21h27.36.825,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,22,,,,,,,,,,0.02,1,3.5194,0,1,1,1,1,Go out to eat after at our favorite chinese spot church every sunday ,Walk around the block during sunrise on a sunday for 30 mintues  ,0.02,0.05,4.4,0,,,,,
,,670d326c55fa3d6f10ebe253,6685aa9113c938e83b4f1ea0,671c534eec458c9e4d982071,2024-10-25_21h27.36.825,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,23,,,,,,,,,,0.05,2,2.2818,0,2,2,2,1,Roast smores with all my family on holidays allows us to catch up ,Star gaze on my roof for the best view of the sky,0.03,0.05,1.1,0,,,,,
,,670d326c55fa3d6f10ebe253,6685aa9113c938e83b4f1ea0,671c534eec458c9e4d982071,2024-10-25_21h27.36.825,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,24,,,,,,,,,,0.05,2,2.9447,0,3,3,3,1,Go to a cafe to see my bestfriends every 6 weeks ,Drive to go get coffee on a foggy day ,0.04,0.05,4.4,0,,,,,
,,670d326c55fa3d6f10ebe253,6685aa9113c938e83b4f1ea0,671c534eec458c9e4d982071,2024-10-25_21h27.36.825,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,25,,,,,,,,,,0.05,1,2.6694,0,4,4,4,1,Crochet new plushies with zero destractions in my room ,Meet up with old co workers every few months at a new restaurant,0.05,0.05,3.3,1,,,,,
,,670d326c55fa3d6f10ebe253,6685aa9113c938e83b4f1ea0,671c534eec458c9e4d982071,2024-10-25_21h27.36.825,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,5,space,7,0.64,5.36,,0,24,24,24,1,25,Charlie,Acc,Participant_Images/670d326c55fa3d6f10ebe253/670d326c55fa3d6f10ebe253_Images/670d326c55fa3d6f10ebe253_Image_7.jpeg,did not like,3.602308302,,,,,,,,,,,,,,,,,,,space,0.7211,11.3398,,
,,670d326c55fa3d6f10ebe253,6685aa9113c938e83b4f1ea0,671c534eec458c9e4d982071,2024-10-25_21h27.36.825,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,space,2.4463,space,2.4495,NAN,,NAN,0.64,5.36,,0,25,25,25,1,26,Riley,Rej,Participant_Images/670d326c55fa3d6f10ebe253/670d326c55fa3d6f10ebe253_Images/670d326c55fa3d6f10ebe253_Image_15.jpeg,did not like,4.106391878,,,,,,,,,,,,,,,,,,,,,,,
