endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,participant,date,expName,psychopyVersion,OS,frameRate,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,subtract_bonus,TOTAL_TASK_BONUS,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,WTP_ins_keys1.keys,WTP_ins_keys1.rt,WTP_ins_keys2.keys,WTP_ins_keys2.rt,decision_price,responses.keys,responses.rt,WTPTaskLoop.thisRepN,WTPTaskLoop.thisTrialN,WTPTaskLoop.thisN,WTPTaskLoop.thisIndex,WTPTaskLoop.ran,right,left,leftmoney,rightmoney,WTP_ITI,social_left,Resume_keys.keys,Resume_keys.rt,key_resp.rt,end_screen_keys.keys,end_screen_keys.rt
,,60fdc3ada5f9d93d7976cc0c,2024-09-13_12h44.36.877,WTP_SM_Choice,2022.2.1,MacIntel,60.24096386,,,,,space,0.65,NAN,,NAN,0.23,5.77,,0,12,12,12,1,13,Charlie,Rej,Participant_Images/60fdc3ada5f9d93d7976cc0c/60fdc3ada5f9d93d7976cc0c_Images/60fdc3ada5f9d93d7976cc0c_Image_1.jpeg,did not like,2.071164779,,,,,,,,,,,,,,,,,,,,,,,
,,60fdc3ada5f9d93d7976cc0c,2024-09-13_12h44.36.877,WTP_SM_Choice,2022.2.1,MacIntel,60.24096386,,,,,space,1.1839,NAN,,NAN,0.23,5.77,,0,13,13,13,1,14,Charlie,Rej,Participant_Images/60fdc3ada5f9d93d7976cc0c/60fdc3ada5f9d93d7976cc0c_Images/60fdc3ada5f9d93d7976cc0c_Image_7.jpeg,did not like,5.336503566,,,,,,,,,,,,,,,,,,,,,,,
,,60fdc3ada5f9d93d7976cc0c,2024-09-13_12h44.36.877,WTP_SM_Choice,2022.2.1,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,11,,,,,,space,0.3939,space,0.4697,0.01,1,0.436,0,0,0,0,1,Scroll on my phone in bed,Watch our favorite tv show with my boyfiend,0.01,0.03,3.3,1,,,,,
,,60fdc3ada5f9d93d7976cc0c,2024-09-13_12h44.36.877,WTP_SM_Choice,2022.2.1,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,12,,,,,,,,,,0.03,2,0.5392,0,1,1,1,1,Shop online on my laptop,Cook a new recipe with my mom,0.02,0.03,4.4,1,,,,,
,,60fdc3ada5f9d93d7976cc0c,2024-09-13_12h44.36.877,WTP_SM_Choice,2022.2.1,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,13,,,,,,,,,,0.03,2,0.6224,0,2,2,2,1,Listen to my favorite music on my record player,Travel to a new place with my boyfriend,0.03,0.03,1.1,1,,,,,
,,60fdc3ada5f9d93d7976cc0c,2024-09-13_12h44.36.877,WTP_SM_Choice,2022.2.1,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,14,,,,,,,,,,0.04,1,3.6021,0,3,3,3,1,Go on a walk with my best friend,Needlepoint a canvas on a rainy day,0.04,0.03,3.3,0,,,,,
,,60fdc3ada5f9d93d7976cc0c,2024-09-13_12h44.36.877,WTP_SM_Choice,2022.2.1,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,15,,,,,,,,,,0.05,1,2.2515,0,4,4,4,1,Needlepoint a canvas on a rainy day,Talk on the phone and catch up with friends,0.05,0.03,4.4,1,,,,,
,,60fdc3ada5f9d93d7976cc0c,2024-09-13_12h44.36.877,WTP_SM_Choice,2022.2.1,MacIntel,60.24096386,,,,,,,NAN,,NAN,0.39,5.61,,0,14,14,14,1,15,Charlie,Rej,Participant_Images/60fdc3ada5f9d93d7976cc0c/60fdc3ada5f9d93d7976cc0c_Images/60fdc3ada5f9d93d7976cc0c_Image_2.jpeg,did not like,2.642157193,,,,,,,,,,,,,,,,,,,,,,,
,,60fdc3ada5f9d93d7976cc0c,2024-09-13_12h44.36.877,WTP_SM_Choice,2022.2.1,MacIntel,60.24096386,,,,,space,0.7085,NAN,,NAN,0.39,5.61,,0,15,15,15,1,16,Charlie,Rej,Participant_Images/60fdc3ada5f9d93d7976cc0c/60fdc3ada5f9d93d7976cc0c_Images/60fdc3ada5f9d93d7976cc0c_Image_18.jpeg,did not like,4.456234322,,,,,,,,,,,,,,,,,,,,,,,
,,60fdc3ada5f9d93d7976cc0c,2024-09-13_12h44.36.877,WTP_SM_Choice,2022.2.1,MacIntel,60.24096386,,,,,space,1.5628,NAN,,NAN,0.39,5.61,,0,16,16,16,1,17,Charlie,Rej,Participant_Images/60fdc3ada5f9d93d7976cc0c/60fdc3ada5f9d93d7976cc0c_Images/60fdc3ada5f9d93d7976cc0c_Image_13.jpeg,did not like,4.438512181,,,,,,,,,,,,,,,,,,,,,,,
