endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,participant,STUDY_ID,SESSION_ID,date,expName,psychopyVersion,OS,frameRate,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,subtract_bonus,TOTAL_TASK_BONUS,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,WTP_ins_keys1.keys,WTP_ins_keys1.rt,WTP_ins_keys2.keys,WTP_ins_keys2.rt,responses.keys,WTPTaskLoop.thisRepN,WTPTaskLoop.thisTrialN,WTPTaskLoop.thisN,WTPTaskLoop.thisIndex,WTPTaskLoop.ran,right,left,leftmoney,rightmoney,WTP_ITI,social_left,decision_price,responses.rt,Resume_keys.keys,Resume_keys.rt,key_resp.rt,end_screen_keys.keys,end_screen_keys.rt
,,6627722f249e56fcefd07b8c,6685aa9113c938e83b4f1ea0,66c900e693efe7a572effc53,2024-08-23_15h38.49.267,WTP_SM_Choice,2022.2.1,Win32,60.97560976,,,,,,,NAN,,NAN,0.14,5.86,,0,9,9,9,1,10,Riley,Acc,Participant_Images/6627722f249e56fcefd07b8c/6627722f249e56fcefd07b8c_Images/6627722f249e56fcefd07b8c_Image_17.jpeg,liked,1.672012706,,,,,,,,,,,,,,,,,,,,,,,
,,6627722f249e56fcefd07b8c,6685aa9113c938e83b4f1ea0,66c900e693efe7a572effc53,2024-08-23_15h38.49.267,WTP_SM_Choice,2022.2.1,Win32,60.97560976,,,,,space,0.3502,NAN,,NAN,0.14,5.86,,0,10,10,10,1,11,Riley,Acc,Participant_Images/6627722f249e56fcefd07b8c/6627722f249e56fcefd07b8c_Images/6627722f249e56fcefd07b8c_Image_22.jpeg,liked,4.942172136,,,,,,,,,,,,,,,,,,,,,,,
,,6627722f249e56fcefd07b8c,6685aa9113c938e83b4f1ea0,66c900e693efe7a572effc53,2024-08-23_15h38.49.267,WTP_SM_Choice,2022.2.1,Win32,60.97560976,,,,,space,2.2306,NAN,,NAN,0.14,5.86,,0,11,11,11,1,12,Riley,Acc,Participant_Images/6627722f249e56fcefd07b8c/6627722f249e56fcefd07b8c_Images/6627722f249e56fcefd07b8c_Image_25.jpeg,liked,2.50187214,,,,,,,,,,,,,,,,,,,,,,,
,,6627722f249e56fcefd07b8c,6685aa9113c938e83b4f1ea0,66c900e693efe7a572effc53,2024-08-23_15h38.49.267,WTP_SM_Choice,2022.2.1,Win32,60.97560976,,,,,space,0.386,NAN,,NAN,0.14,5.86,,0,12,12,12,1,13,Riley,Acc,Participant_Images/6627722f249e56fcefd07b8c/6627722f249e56fcefd07b8c_Images/6627722f249e56fcefd07b8c_Image_2.jpeg,liked,2.071164779,,,,,,,,,,,,,,,,,,,,,,,
,,6627722f249e56fcefd07b8c,6685aa9113c938e83b4f1ea0,66c900e693efe7a572effc53,2024-08-23_15h38.49.267,WTP_SM_Choice,2022.2.1,Win32,60.97560976,,,,,space,0.3385,NAN,,NAN,0.14,5.86,,0,13,13,13,1,14,Riley,Acc,Participant_Images/6627722f249e56fcefd07b8c/6627722f249e56fcefd07b8c_Images/6627722f249e56fcefd07b8c_Image_12.jpeg,liked,5.336503566,,,,,,,,,,,,,,,,,,,,,,,
,,6627722f249e56fcefd07b8c,6685aa9113c938e83b4f1ea0,66c900e693efe7a572effc53,2024-08-23_15h38.49.267,WTP_SM_Choice,2022.2.1,Win32,60.97560976,,,,,,,,,,,,,,,,,,11,,,,,,space,1.3519,space,0.6821,1,0,0,0,0,1,Swim in the ocean,Play outside with the cats with my boyfriend,0.01,0.03,3.3,1,0.01,1.4441,,,,,
,,6627722f249e56fcefd07b8c,6685aa9113c938e83b4f1ea0,66c900e693efe7a572effc53,2024-08-23_15h38.49.267,WTP_SM_Choice,2022.2.1,Win32,60.97560976,,,,,,,,,,,,,,,,,,12,,,,,,,,,,1,0,1,1,1,1,Play with my cats in my cool apartment,Go to a concert with friends,0.02,0.03,4.4,1,0.02,1.0613,,,,,
,,6627722f249e56fcefd07b8c,6685aa9113c938e83b4f1ea0,66c900e693efe7a572effc53,2024-08-23_15h38.49.267,WTP_SM_Choice,2022.2.1,Win32,60.97560976,,,,,,,,,,,,,,,,,,13,,,,,,,,,,1,0,2,2,2,1,Read a book at the park,Play outside with the cats with my boyfriend,0.03,0.03,1.1,1,0.03,2.13,,,,,
,,6627722f249e56fcefd07b8c,6685aa9113c938e83b4f1ea0,66c900e693efe7a572effc53,2024-08-23_15h38.49.267,WTP_SM_Choice,2022.2.1,Win32,60.97560976,,,,,,,,,,,,,,,,,,14,,,,,,,,,,2,0,3,3,3,1,Do yoga early in the morning outside,Go camping with my boyfriend,0.04,0.03,3.3,1,0.03,2.2108,,,,,
,,6627722f249e56fcefd07b8c,6685aa9113c938e83b4f1ea0,66c900e693efe7a572effc53,2024-08-23_15h38.49.267,WTP_SM_Choice,2022.2.1,Win32,60.97560976,,,,,,,,,,,,,,,,,,15,,,,,,,,,,2,0,4,4,4,1,Swim in the ocean,Swim at the pool with my siblings,0.05,0.03,4.4,1,0.03,1.4029,,,,,
