endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,participant,date,expName,psychopyVersion,OS,frameRate,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,subtract_bonus,TOTAL_TASK_BONUS,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,WTP_ins_keys1.keys,WTP_ins_keys1.rt,WTP_ins_keys2.keys,WTP_ins_keys2.rt,decision_price,responses.keys,responses.rt,WTPTaskLoop.thisRepN,WTPTaskLoop.thisTrialN,WTPTaskLoop.thisN,WTPTaskLoop.thisIndex,WTPTaskLoop.ran,right,left,leftmoney,rightmoney,WTP_ITI,Resume_keys.keys,Resume_keys.rt,key_resp.rt
,,660482648009855d3c92ce84,2024-04-13_09h30.17.105,WTP_SM_Choice,2022.2.1,Win32,166.6666667,,,,,,,,,,,,,,,,,,11,,,,,,space,19.1455,space,1.4502,0.01,1,3.1412,0,0,0,0,1,Eating fancier foods,Playing Magic the gathering,0.01,0.03,3.3,,,
,,660482648009855d3c92ce84,2024-04-13_09h30.17.105,WTP_SM_Choice,2022.2.1,Win32,166.6666667,,,,,,,,,,,,,,,,,,12,,,,,,,,,,0.02,1,2.0242,0,1,1,1,1,Working on prolific,Playing Magic the gathering,0.02,0.03,4.4,,,
,,660482648009855d3c92ce84,2024-04-13_09h30.17.105,WTP_SM_Choice,2022.2.1,Win32,166.6666667,,,,,,,,,,,,,,,,,,13,,,,,,,,,,0.03,1,2.5064,0,2,2,2,1,Eating fancier foods,Having parties,0.03,0.03,1.1,,,
,,660482648009855d3c92ce84,2024-04-13_09h30.17.105,WTP_SM_Choice,2022.2.1,Win32,166.6666667,,,,,,,,,,,,,,,,,,14,,,,,,,,,,0.03,2,3.5037,0,3,3,3,1,Eating fancier foods,Playing competitive video games,0.04,0.03,3.3,,,
,,660482648009855d3c92ce84,2024-04-13_09h30.17.105,WTP_SM_Choice,2022.2.1,Win32,166.6666667,,,,,,,,,,,,,,,,,,15,,,,,,,,,,0.05,1,2.014,0,4,4,4,1,Playing with dogs,Having parties,0.05,0.03,4.4,,,
,,660482648009855d3c92ce84,2024-04-13_09h30.17.105,WTP_SM_Choice,2022.2.1,Win32,166.6666667,,,,,,,NAN,,NAN,0.36,5.64,,0,14,14,14,1,15,Alex,Acc,Participant_Images/660482648009855d3c92ce84/660482648009855d3c92ce84_Images/660482648009855d3c92ce84_Image_15.jpeg,did not like,2.642157193,,,,,,,,,,,,,,,,,,,,
,,660482648009855d3c92ce84,2024-04-13_09h30.17.105,WTP_SM_Choice,2022.2.1,Win32,166.6666667,,,,,space,0.5154,NAN,,NAN,0.36,5.64,,0,15,15,15,1,16,Alex,Acc,Participant_Images/660482648009855d3c92ce84/660482648009855d3c92ce84_Images/660482648009855d3c92ce84_Image_20.jpeg,liked,4.456234322,,,,,,,,,,,,,,,,,,,,
,,660482648009855d3c92ce84,2024-04-13_09h30.17.105,WTP_SM_Choice,2022.2.1,Win32,166.6666667,,,,,space,0.7285,NAN,,NAN,0.36,5.64,,0,16,16,16,1,17,Alex,Acc,Participant_Images/660482648009855d3c92ce84/660482648009855d3c92ce84_Images/660482648009855d3c92ce84_Image_23.jpeg,liked,4.438512181,,,,,,,,,,,,,,,,,,,,
,,660482648009855d3c92ce84,2024-04-13_09h30.17.105,WTP_SM_Choice,2022.2.1,Win32,166.6666667,,,,,space,1.1552,NAN,,NAN,0.36,5.64,,0,17,17,17,1,18,Alex,Acc,Participant_Images/660482648009855d3c92ce84/660482648009855d3c92ce84_Images/660482648009855d3c92ce84_Image_18.jpeg,liked,2.682944783,,,,,,,,,,,,,,,,,,,,
,,660482648009855d3c92ce84,2024-04-13_09h30.17.105,WTP_SM_Choice,2022.2.1,Win32,166.6666667,,,,,space,0.9297,NAN,,NAN,0.36,5.64,,0,18,18,18,1,19,Alex,Acc,Participant_Images/660482648009855d3c92ce84/660482648009855d3c92ce84_Images/660482648009855d3c92ce84_Image_10.jpeg,liked,4.51984296,,,,,,,,,,,,,,,,,,,,
