endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,participant,STUDY_ID,SESSION_ID,date,expName,psychopyVersion,OS,frameRate,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,subtract_bonus,TOTAL_TASK_BONUS,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,WTP_ins_keys1.keys,WTP_ins_keys1.rt,WTP_ins_keys2.keys,WTP_ins_keys2.rt,responses.keys,WTPTaskLoop.thisRepN,WTPTaskLoop.thisTrialN,WTPTaskLoop.thisN,WTPTaskLoop.thisIndex,WTPTaskLoop.ran,right,left,leftmoney,rightmoney,WTP_ITI,social_left,decision_price,responses.rt,Resume_keys.keys,Resume_keys.rt,end_screen_keys.keys,end_screen_keys.rt
,,662a754842502c24dbb45384,6685aa9113c938e83b4f1ea0,66fee32265b467f14884b417,2024-10-03_14h32.44.084,WTP_SM_Choice,2022.2.1,Win32,59.52380952,,,,,space,4.0132,NAN,,NAN,0.25,5.75,,0,10,10,10,1,11,Alex,Acc,Participant_Images/662a754842502c24dbb45384/662a754842502c24dbb45384_Images/662a754842502c24dbb45384_Image_18.jpeg,liked,4.942172136,,,,,,,,,,,,,,,,,,,,,,
,,662a754842502c24dbb45384,6685aa9113c938e83b4f1ea0,66fee32265b467f14884b417,2024-10-03_14h32.44.084,WTP_SM_Choice,2022.2.1,Win32,59.52380952,,,,,space,0.7528,NAN,,NAN,0.25,5.75,,0,11,11,11,1,12,Alex,Acc,Participant_Images/662a754842502c24dbb45384/662a754842502c24dbb45384_Images/662a754842502c24dbb45384_Image_23.jpeg,liked,2.50187214,,,,,,,,,,,,,,,,,,,,,,
,,662a754842502c24dbb45384,6685aa9113c938e83b4f1ea0,66fee32265b467f14884b417,2024-10-03_14h32.44.084,WTP_SM_Choice,2022.2.1,Win32,59.52380952,,,,,space,1.0718,NAN,,NAN,0.25,5.75,,0,12,12,12,1,13,Alex,Acc,Participant_Images/662a754842502c24dbb45384/662a754842502c24dbb45384_Images/662a754842502c24dbb45384_Image_24.jpeg,liked,2.071164779,,,,,,,,,,,,,,,,,,,,,,
,,662a754842502c24dbb45384,6685aa9113c938e83b4f1ea0,66fee32265b467f14884b417,2024-10-03_14h32.44.084,WTP_SM_Choice,2022.2.1,Win32,59.52380952,,,,,space,1.3192,NAN,,NAN,0.25,5.75,,0,13,13,13,1,14,Alex,Acc,Participant_Images/662a754842502c24dbb45384/662a754842502c24dbb45384_Images/662a754842502c24dbb45384_Image_25.jpeg,did not like,5.336503566,,,,,,,,,,,,,,,,,,,,,,
,,662a754842502c24dbb45384,6685aa9113c938e83b4f1ea0,66fee32265b467f14884b417,2024-10-03_14h32.44.084,WTP_SM_Choice,2022.2.1,Win32,59.52380952,,,,,,,,,,,,,,,,,,11,,,,,,space,26.4561,space,2.456,1,0,0,0,0,1,Practice yoga in my bedroom with calming candles and essential oils,Join book club meetings with classmates on wednesday nights discussing our latest reads over wine,0.01,0.03,3.3,1,0.01,1.9514,,,,
,,662a754842502c24dbb45384,6685aa9113c938e83b4f1ea0,66fee32265b467f14884b417,2024-10-03_14h32.44.084,WTP_SM_Choice,2022.2.1,Win32,59.52380952,,,,,,,,,,,,,,,,,,12,,,,,,,,,,1,0,1,1,1,1,Organize my bookshelf in my home office while sipping on iced coffee,Volunteer at the local animal shelter with my coworkers on saturday afternoons,0.02,0.03,4.4,1,0.02,7.9494,,,,
,,662a754842502c24dbb45384,6685aa9113c938e83b4f1ea0,66fee32265b467f14884b417,2024-10-03_14h32.44.084,WTP_SM_Choice,2022.2.1,Win32,59.52380952,,,,,,,,,,,,,,,,,,13,,,,,,,,,,1,0,2,2,2,1,Organize my bookshelf in my home office while sipping on iced coffee,Go hiking on weekends with my family exploring new trails and taking in the views,0.03,0.03,1.1,1,0.03,5.9012,,,,
,,662a754842502c24dbb45384,6685aa9113c938e83b4f1ea0,66fee32265b467f14884b417,2024-10-03_14h32.44.084,WTP_SM_Choice,2022.2.1,Win32,59.52380952,,,,,,,,,,,,,,,,,,14,,,,,,,,,,2,0,3,3,3,1,Join book club meetings with classmates on wednesday nights discussing our latest reads over wine,Sketch nature scenes at a quiet park bench surrounded by autumn leaves,0.04,0.03,3.3,0,0.03,6.1469,,,,
,,662a754842502c24dbb45384,6685aa9113c938e83b4f1ea0,66fee32265b467f14884b417,2024-10-03_14h32.44.084,WTP_SM_Choice,2022.2.1,Win32,59.52380952,,,,,,,,,,,,,,,,,,15,,,,,,,,,,2,0,4,4,4,1,Journal my thoughts in a cozy cafe with a warm cup of tea,Volunteer at the local animal shelter with my coworkers on saturday afternoons,0.05,0.03,4.4,1,0.03,2.6334,,,,
,,662a754842502c24dbb45384,6685aa9113c938e83b4f1ea0,66fee32265b467f14884b417,2024-10-03_14h32.44.084,WTP_SM_Choice,2022.2.1,Win32,59.52380952,,,,,,,NAN,,NAN,0.37,5.63,,0,14,14,14,1,15,Alex,Acc,Participant_Images/662a754842502c24dbb45384/662a754842502c24dbb45384_Images/662a754842502c24dbb45384_Image_17.jpeg,did not like,2.642157193,,,,,,,,,,,,,,,,,,,,,,
