endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,participant,date,expName,psychopyVersion,OS,frameRate,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,subtract_bonus,TOTAL_TASK_BONUS,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,WTP_ins_keys1.keys,WTP_ins_keys1.rt,WTP_ins_keys2.keys,WTP_ins_keys2.rt,responses.keys,WTPTaskLoop.thisRepN,WTPTaskLoop.thisTrialN,WTPTaskLoop.thisN,WTPTaskLoop.thisIndex,WTPTaskLoop.ran,right,left,leftmoney,rightmoney,WTP_ITI,social_left,decision_price,responses.rt,Resume_keys.keys,Resume_keys.rt,end_screen_keys.keys,end_screen_keys.rt
,,66ce33a40ac4984adc2e18c8,2024-10-01_13h13.32.894,WTP_SM_Choice,2022.2.1,Win32,59.52380952,,,,,,,,,,,,,,,,,,5,,,,,,,,,,1,0,4,4,4,1,Write poetry at a local cafe with a cup of chai tea beside me,Going hiking with my family on crisp autumn mornings followed by a cozy campfire with smores,0.05,0.01,1.1,1,0.05,0.5985,,,,
,,66ce33a40ac4984adc2e18c8,2024-10-01_13h13.32.894,WTP_SM_Choice,2022.2.1,Win32,59.52380952,,,,,,,NAN,,NAN,0.12,5.88,,0,4,4,4,1,5,Alex,Rej,Participant_Images/66ce33a40ac4984adc2e18c8/66ce33a40ac4984adc2e18c8_Images/66ce33a40ac4984adc2e18c8_Image_18.jpeg,liked,2.455989137,,,,,,,,,,,,,,,,,,,,,,
,,66ce33a40ac4984adc2e18c8,2024-10-01_13h13.32.894,WTP_SM_Choice,2022.2.1,Win32,59.52380952,,,,,space,1.5193,NAN,,NAN,0.12,5.88,,0,5,5,5,1,6,Alex,Rej,Participant_Images/66ce33a40ac4984adc2e18c8/66ce33a40ac4984adc2e18c8_Images/66ce33a40ac4984adc2e18c8_Image_6.jpeg,did not like,3.79605092,,,,,,,,,,,,,,,,,,,,,,
,,66ce33a40ac4984adc2e18c8,2024-10-01_13h13.32.894,WTP_SM_Choice,2022.2.1,Win32,59.52380952,,,,,space,1.883,NAN,,NAN,0.12,5.88,,0,6,6,6,1,7,Alex,Rej,Participant_Images/66ce33a40ac4984adc2e18c8/66ce33a40ac4984adc2e18c8_Images/66ce33a40ac4984adc2e18c8_Image_2.jpeg,did not like,3.562416326,,,,,,,,,,,,,,,,,,,,,,
,,66ce33a40ac4984adc2e18c8,2024-10-01_13h13.32.894,WTP_SM_Choice,2022.2.1,Win32,59.52380952,,,,,space,0.9202,NAN,,NAN,0.12,5.88,,0,7,7,7,1,8,Alex,Rej,Participant_Images/66ce33a40ac4984adc2e18c8/66ce33a40ac4984adc2e18c8_Images/66ce33a40ac4984adc2e18c8_Image_21.jpeg,did not like,2.843822497,,,,,,,,,,,,,,,,,,,,,,
,,66ce33a40ac4984adc2e18c8,2024-10-01_13h13.32.894,WTP_SM_Choice,2022.2.1,Win32,59.52380952,,,,,space,1.1718,NAN,,NAN,0.12,5.88,,0,8,8,8,1,9,Alex,Rej,Participant_Images/66ce33a40ac4984adc2e18c8/66ce33a40ac4984adc2e18c8_Images/66ce33a40ac4984adc2e18c8_Image_10.jpeg,did not like,3.546495948,,,,,,,,,,,,,,,,,,,,,,
,,66ce33a40ac4984adc2e18c8,2024-10-01_13h13.32.894,WTP_SM_Choice,2022.2.1,Win32,59.52380952,,,,,,,,,,,,,,,,,,6,,,,,,space,6.6669,space,1.4403,1,0,0,0,0,1,Write poetry at a local cafe with a cup of chai tea beside me,Go to the movies with my siblings on a rainy weekend,0.01,0.02,3.3,1,0.01,3.5074,,,,
,,66ce33a40ac4984adc2e18c8,2024-10-01_13h13.32.894,WTP_SM_Choice,2022.2.1,Win32,59.52380952,,,,,,,,,,,,,,,,,,7,,,,,,,,,,2,0,1,1,1,1,Go to the movies with my siblings on a rainy weekend,Watch documentary films in the dim light of my living room on a sunday evening,0.02,0.02,1.1,0,0.02,3.3334,,,,
,,66ce33a40ac4984adc2e18c8,2024-10-01_13h13.32.894,WTP_SM_Choice,2022.2.1,Win32,59.52380952,,,,,,,,,,,,,,,,,,8,,,,,,,,,,2,0,2,2,2,1,Host game nights with friends on friday evenings featuring board games and homemade snacks,Craft handmade candles in my studio with scented essential oils filling the air,0.03,0.02,1.1,0,0.02,3.1167,,,,
,,66ce33a40ac4984adc2e18c8,2024-10-01_13h13.32.894,WTP_SM_Choice,2022.2.1,Win32,59.52380952,,,,,,,,,,,,,,,,,,9,,,,,,,,,,2,0,3,3,3,1,Bake artisan bread in my kitchen with soft jazz playing in the background,Take weekend road trips with my best friend nexploring small towns and unique eateriesd,0.04,0.02,4.4,1,0.02,5.8473,,,,
,,66ce33a40ac4984adc2e18c8,2024-10-01_13h13.32.894,WTP_SM_Choice,2022.2.1,Win32,59.52380952,,,,,,,,,,,,,,,,,,10,,,,,,,,,,2,0,4,4,4,1,Visit art museums with my sister on sunny weekends discussing our favorite pieces over coffee,Explore old vinyl records in my basement on a rainy weekend,0.05,0.02,1.1,0,0.02,1.9,,,,
,,66ce33a40ac4984adc2e18c8,2024-10-01_13h13.32.894,WTP_SM_Choice,2022.2.1,Win32,59.52380952,,,,,,,NAN,,NAN,0.21,5.79,,0,9,9,9,1,10,Alex,Rej,Participant_Images/66ce33a40ac4984adc2e18c8/66ce33a40ac4984adc2e18c8_Images/66ce33a40ac4984adc2e18c8_Image_11.jpeg,did not like,1.672012706,,,,,,,,,,,,,,,,,,,,,,
,,66ce33a40ac4984adc2e18c8,2024-10-01_13h13.32.894,WTP_SM_Choice,2022.2.1,Win32,59.52380952,,,,,space,1.7718,NAN,,NAN,0.21,5.79,,0,10,10,10,1,11,Alex,Rej,Participant_Images/66ce33a40ac4984adc2e18c8/66ce33a40ac4984adc2e18c8_Images/66ce33a40ac4984adc2e18c8_Image_13.jpeg,liked,4.942172136,,,,,,,,,,,,,,,,,,,,,,
,,66ce33a40ac4984adc2e18c8,2024-10-01_13h13.32.894,WTP_SM_Choice,2022.2.1,Win32,59.52380952,,,,,space,1.5863,NAN,,NAN,0.21,5.79,,0,11,11,11,1,12,Alex,Rej,Participant_Images/66ce33a40ac4984adc2e18c8/66ce33a40ac4984adc2e18c8_Images/66ce33a40ac4984adc2e18c8_Image_14.jpeg,did not like,2.50187214,,,,,,,,,,,,,,,,,,,,,,
,,66ce33a40ac4984adc2e18c8,2024-10-01_13h13.32.894,WTP_SM_Choice,2022.2.1,Win32,59.52380952,,,,,space,0.7001,NAN,,NAN,0.21,5.79,,0,12,12,12,1,13,Alex,Rej,Participant_Images/66ce33a40ac4984adc2e18c8/66ce33a40ac4984adc2e18c8_Images/66ce33a40ac4984adc2e18c8_Image_15.jpeg,did not like,2.071164779,,,,,,,,,,,,,,,,,,,,,,
,,66ce33a40ac4984adc2e18c8,2024-10-01_13h13.32.894,WTP_SM_Choice,2022.2.1,Win32,59.52380952,,,,,space,1.8852,NAN,,NAN,0.21,5.79,,0,13,13,13,1,14,Alex,Rej,Participant_Images/66ce33a40ac4984adc2e18c8/66ce33a40ac4984adc2e18c8_Images/66ce33a40ac4984adc2e18c8_Image_19.jpeg,did not like,5.336503566,,,,,,,,,,,,,,,,,,,,,,
,,66ce33a40ac4984adc2e18c8,2024-10-01_13h13.32.894,WTP_SM_Choice,2022.2.1,Win32,59.52380952,,,,,,,,,,,,,,,,,,11,,,,,,space,6.6347,space,1.8006,2,0,0,0,0,1, Play tennis with my neighbor at the community courts during late spring,Craft handmade candles in my studio with scented essential oils filling the air,0.01,0.03,3.3,0,0.03,3.5657,,,,
,,66ce33a40ac4984adc2e18c8,2024-10-01_13h13.32.894,WTP_SM_Choice,2022.2.1,Win32,59.52380952,,,,,,,,,,,,,,,,,,12,,,,,,,,,,1,0,1,1,1,1,Craft handmade candles in my studio with scented essential oils filling the air,Cook and try out new recipes with my roommate on lazy sunday afternoons,0.02,0.03,4.4,1,0.02,1.0508,,,,
,,66ce33a40ac4984adc2e18c8,2024-10-01_13h13.32.894,WTP_SM_Choice,2022.2.1,Win32,59.52380952,,,,,,,,,,,,,,,,,,13,,,,,,,,,,1,0,2,2,2,1,Bake artisan bread in my kitchen with soft jazz playing in the background,Plan and executing diy craft projects with my close friends on rainy saturday afternoons,0.03,0.03,1.1,1,0.03,1.8862,,,,
,,66ce33a40ac4984adc2e18c8,2024-10-01_13h13.32.894,WTP_SM_Choice,2022.2.1,Win32,59.52380952,,,,,,,,,,,,,,,,,,14,,,,,,,,,,1,0,3,3,3,1,Journal about personal reflections at a quiet coffee shop with minimal foot traffic,Cook and try out new recipes with my roommate on lazy sunday afternoons,0.04,0.03,3.3,1,0.04,2.5847,,,,
,,66ce33a40ac4984adc2e18c8,2024-10-01_13h13.32.894,WTP_SM_Choice,2022.2.1,Win32,59.52380952,,,,,,,,,,,,,,,,,,15,,,,,,,,,,2,0,4,4,4,1,Go to the movies with my siblings on a rainy weekend,Journal about personal reflections at a quiet coffee shop with minimal foot traffic,0.05,0.03,4.4,0,0.03,2.0344,,,,
,,66ce33a40ac4984adc2e18c8,2024-10-01_13h13.32.894,WTP_SM_Choice,2022.2.1,Win32,59.52380952,,,,,,,NAN,,NAN,0.36,5.64,,0,14,14,14,1,15,Alex,Rej,Participant_Images/66ce33a40ac4984adc2e18c8/66ce33a40ac4984adc2e18c8_Images/66ce33a40ac4984adc2e18c8_Image_20.jpeg,did not like,2.642157193,,,,,,,,,,,,,,,,,,,,,,
,,66ce33a40ac4984adc2e18c8,2024-10-01_13h13.32.894,WTP_SM_Choice,2022.2.1,Win32,59.52380952,,,,,space,2.7205,NAN,,NAN,0.36,5.64,,0,15,15,15,1,16,Alex,Rej,Participant_Images/66ce33a40ac4984adc2e18c8/66ce33a40ac4984adc2e18c8_Images/66ce33a40ac4984adc2e18c8_Image_1.jpeg,did not like,4.456234322,,,,,,,,,,,,,,,,,,,,,,
,,66ce33a40ac4984adc2e18c8,2024-10-01_13h13.32.894,WTP_SM_Choice,2022.2.1,Win32,59.52380952,,,,,space,0.7691,NAN,,NAN,0.36,5.64,,0,16,16,16,1,17,Alex,Rej,Participant_Images/66ce33a40ac4984adc2e18c8/66ce33a40ac4984adc2e18c8_Images/66ce33a40ac4984adc2e18c8_Image_12.jpeg,did not like,4.438512181,,,,,,,,,,,,,,,,,,,,,,
,,66ce33a40ac4984adc2e18c8,2024-10-01_13h13.32.894,WTP_SM_Choice,2022.2.1,Win32,59.52380952,,,,,space,2.2711,NAN,,NAN,0.36,5.64,,0,17,17,17,1,18,Alex,Rej,Participant_Images/66ce33a40ac4984adc2e18c8/66ce33a40ac4984adc2e18c8_Images/66ce33a40ac4984adc2e18c8_Image_9.jpeg,did not like,2.682944783,,,,,,,,,,,,,,,,,,,,,,
,,66ce33a40ac4984adc2e18c8,2024-10-01_13h13.32.894,WTP_SM_Choice,2022.2.1,Win32,59.52380952,,,,,space,1.0339,NAN,,NAN,0.36,5.64,,0,18,18,18,1,19,Alex,Rej,Participant_Images/66ce33a40ac4984adc2e18c8/66ce33a40ac4984adc2e18c8_Images/66ce33a40ac4984adc2e18c8_Image_8.jpeg,did not like,4.51984296,,,,,,,,,,,,,,,,,,,,,,
,,66ce33a40ac4984adc2e18c8,2024-10-01_13h13.32.894,WTP_SM_Choice,2022.2.1,Win32,59.52380952,,,,,,,,,,,,,,,,,,16,,,,,,space,9.35,space,0.7425,1,0,0,0,0,1,Do meditation on my balcony at sunrise,Go to the farmers market and picking out fresh produce with my partner on saturday mornings,0.01,0.04,1.1,1,0.01,1.317,,,,
,,66ce33a40ac4984adc2e18c8,2024-10-01_13h13.32.894,WTP_SM_Choice,2022.2.1,Win32,59.52380952,,,,,,,,,,,,,,,,,,17,,,,,,,,,,1,0,1,1,1,1, Play tennis with my neighbor at the community courts during late spring,Listen to classical music while organizing and cleaning my bookshelf,0.02,0.04,8.8,0,0.02,1.0134,,,,
,,66ce33a40ac4984adc2e18c8,2024-10-01_13h13.32.894,WTP_SM_Choice,2022.2.1,Win32,59.52380952,,,,,,,,,,,,,,,,,,18,,,,,,,,,,1,0,2,2,2,1,Write poetry at a local cafe with a cup of chai tea beside me,Take weekend road trips with my best friend nexploring small towns and unique eateriesd,0.03,0.04,3.3,1,0.03,1.8408,,,,
,,66ce33a40ac4984adc2e18c8,2024-10-01_13h13.32.894,WTP_SM_Choice,2022.2.1,Win32,59.52380952,,,,,,,,,,,,,,,,,,19,,,,,,,,,,1,0,3,3,3,1,Read science fiction novels in a cozy armchair by the window on a quiet afternoon,Host game nights with friends on friday evenings featuring board games and homemade snacks,0.04,0.04,3.3,1,0.04,3.1638,,,,
,,66ce33a40ac4984adc2e18c8,2024-10-01_13h13.32.894,WTP_SM_Choice,2022.2.1,Win32,59.52380952,,,,,,,,,,,,,,,,,,20,,,,,,,,,,2,0,4,4,4,1,Write poetry at a local cafe with a cup of chai tea beside me,Go to the farmers market and picking out fresh produce with my partner on saturday mornings,0.05,0.04,1.1,1,0.04,4.3622,,,,
,,66ce33a40ac4984adc2e18c8,2024-10-01_13h13.32.894,WTP_SM_Choice,2022.2.1,Win32,59.52380952,,,,,,,NAN,,NAN,0.5,5.5,,0,19,19,19,1,20,Alex,Rej,Participant_Images/66ce33a40ac4984adc2e18c8/66ce33a40ac4984adc2e18c8_Images/66ce33a40ac4984adc2e18c8_Image_3.jpeg,did not like,3.195382774,,,,,,,,,,,,,,,,,,,,,,
,,66ce33a40ac4984adc2e18c8,2024-10-01_13h13.32.894,WTP_SM_Choice,2022.2.1,Win32,59.52380952,,,,,space,7.1463,NAN,,NAN,0.5,5.5,,0,20,20,20,1,21,Alex,Rej,Participant_Images/66ce33a40ac4984adc2e18c8/66ce33a40ac4984adc2e18c8_Images/66ce33a40ac4984adc2e18c8_Image_25.jpeg,did not like,1.779333479,,,,,,,,,,,,,,,,,,,,,,
,,66ce33a40ac4984adc2e18c8,2024-10-01_13h13.32.894,WTP_SM_Choice,2022.2.1,Win32,59.52380952,,,,,space,2.0756,NAN,,NAN,0.5,5.5,,0,21,21,21,1,22,Alex,Rej,Participant_Images/66ce33a40ac4984adc2e18c8/66ce33a40ac4984adc2e18c8_Images/66ce33a40ac4984adc2e18c8_Image_23.jpeg,did not like,4.312468682,,,,,,,,,,,,,,,,,,,,,,
,,66ce33a40ac4984adc2e18c8,2024-10-01_13h13.32.894,WTP_SM_Choice,2022.2.1,Win32,59.52380952,,,,,space,1.2169,NAN,,NAN,0.5,5.5,,0,22,22,22,1,23,Alex,Rej,Participant_Images/66ce33a40ac4984adc2e18c8/66ce33a40ac4984adc2e18c8_Images/66ce33a40ac4984adc2e18c8_Image_5.jpeg,liked,4.940433059,,,,,,,,,,,,,,,,,,,,,,
,,66ce33a40ac4984adc2e18c8,2024-10-01_13h13.32.894,WTP_SM_Choice,2022.2.1,Win32,59.52380952,,,,,space,0.4852,NAN,,NAN,0.5,5.5,,0,23,23,23,1,24,Alex,Rej,Participant_Images/66ce33a40ac4984adc2e18c8/66ce33a40ac4984adc2e18c8_Images/66ce33a40ac4984adc2e18c8_Image_22.jpeg,did not like,2.7105123,,,,,,,,,,,,,,,,,,,,,,
,,66ce33a40ac4984adc2e18c8,2024-10-01_13h13.32.894,WTP_SM_Choice,2022.2.1,Win32,59.52380952,,,,,,,,,,,,,,,,,,21,,,,,,space,1.3538,space,1.7152,1,0,0,0,0,1,Watch documentary films in the dim light of my living room on a sunday evening,Participate in trivia nights with my coworkers at a local pub on wednesday evenings,0.01,0.05,8.8,1,0.01,1.2343,,,,
,,66ce33a40ac4984adc2e18c8,2024-10-01_13h13.32.894,WTP_SM_Choice,2022.2.1,Win32,59.52380952,,,,,,,,,,,,,,,,,,22,,,,,,,,,,1,0,1,1,1,1,Going hiking with my family on crisp autumn mornings followed by a cozy campfire with smores,Sketch urban landscapes at a secluded spot in the park during the early morning,0.02,0.05,4.4,0,0.02,1.852,,,,
,,66ce33a40ac4984adc2e18c8,2024-10-01_13h13.32.894,WTP_SM_Choice,2022.2.1,Win32,59.52380952,,,,,,,,,,,,,,,,,,23,,,,,,,,,,1,0,2,2,2,1,Take weekend road trips with my best friend nexploring small towns and unique eateriesd,Watch documentary films in the dim light of my living room on a sunday evening,0.03,0.05,1.1,0,0.03,1.2987,,,,
,,66ce33a40ac4984adc2e18c8,2024-10-01_13h13.32.894,WTP_SM_Choice,2022.2.1,Win32,59.52380952,,,,,,,,,,,,,,,,,,24,,,,,,,,,,1,0,3,3,3,1,Watch documentary films in the dim light of my living room on a sunday evening,Host game nights with friends on friday evenings featuring board games and homemade snacks,0.04,0.05,4.4,1,0.04,1.1676,,,,
,,66ce33a40ac4984adc2e18c8,2024-10-01_13h13.32.894,WTP_SM_Choice,2022.2.1,Win32,59.52380952,,,,,,,,,,,,,,,,,,25,,,,,,,,,,1,0,4,4,4,1,Participate in trivia nights with my coworkers at a local pub on wednesday evenings,Listen to classical music while organizing and cleaning my bookshelf,0.05,0.05,3.3,0,0.05,1.9061,,,,
,,66ce33a40ac4984adc2e18c8,2024-10-01_13h13.32.894,WTP_SM_Choice,2022.2.1,Win32,59.52380952,,,,,,,3,,5,0.65,5.35,,0,24,24,24,1,25,Alex,Rej,Participant_Images/66ce33a40ac4984adc2e18c8/66ce33a40ac4984adc2e18c8_Images/66ce33a40ac4984adc2e18c8_Image_4.jpeg,liked,3.602308302,,,,,,,,,,,,,,,,,,,space,1.0535,,
,,66ce33a40ac4984adc2e18c8,2024-10-01_13h13.32.894,WTP_SM_Choice,2022.2.1,Win32,59.52380952,,,space,5.7674,space,1.6004,NAN,,NAN,0.65,5.35,,0,25,25,25,1,26,Charlie,Acc,Participant_Images/66ce33a40ac4984adc2e18c8/66ce33a40ac4984adc2e18c8_Images/66ce33a40ac4984adc2e18c8_Image_6.jpeg,liked,4.106391878,,,,,,,,,,,,,,,,,,,,,,
,,66ce33a40ac4984adc2e18c8,2024-10-01_13h13.32.894,WTP_SM_Choice,2022.2.1,Win32,59.52380952,,,,,space,0.7935,NAN,,NAN,0.65,5.35,,0,26,26,26,1,27,Charlie,Acc,Participant_Images/66ce33a40ac4984adc2e18c8/66ce33a40ac4984adc2e18c8_Images/66ce33a40ac4984adc2e18c8_Image_1.jpeg,did not like,3.799433026,,,,,,,,,,,,,,,,,,,,,,
,,66ce33a40ac4984adc2e18c8,2024-10-01_13h13.32.894,WTP_SM_Choice,2022.2.1,Win32,59.52380952,,,,,space,0.8588,NAN,,NAN,0.65,5.35,,0,27,27,27,1,28,Charlie,Acc,Participant_Images/66ce33a40ac4984adc2e18c8/66ce33a40ac4984adc2e18c8_Images/66ce33a40ac4984adc2e18c8_Image_9.jpeg,liked,5.246980764,,,,,,,,,,,,,,,,,,,,,,
,,66ce33a40ac4984adc2e18c8,2024-10-01_13h13.32.894,WTP_SM_Choice,2022.2.1,Win32,59.52380952,,,,,space,3.3359,NAN,,NAN,0.65,5.35,,0,28,28,28,1,29,Charlie,Acc,Participant_Images/66ce33a40ac4984adc2e18c8/66ce33a40ac4984adc2e18c8_Images/66ce33a40ac4984adc2e18c8_Image_10.jpeg,liked,3.30081769,,,,,,,,,,,,,,,,,,,,,,
,,66ce33a40ac4984adc2e18c8,2024-10-01_13h13.32.894,WTP_SM_Choice,2022.2.1,Win32,59.52380952,,,,,,,,,,,,,,,,,,26,,,,,,space,1.2648,space,2.018,1,0,0,0,0,1,Do meditation on my balcony at sunrise,Visit art museums with my sister on sunny weekends discussing our favorite pieces over coffee,0.01,0.01,4.4,1,0.01,0.8911,,,,
,,66ce33a40ac4984adc2e18c8,2024-10-01_13h13.32.894,WTP_SM_Choice,2022.2.1,Win32,59.52380952,,,,,,,,,,,,,,,,,,27,,,,,,,,,,2,0,1,1,1,1,Read science fiction novels in a cozy armchair by the window on a quiet afternoon,Go to the farmers market and picking out fresh produce with my partner on saturday mornings,0.02,0.01,3.3,1,0.01,1.3811,,,,
,,66ce33a40ac4984adc2e18c8,2024-10-01_13h13.32.894,WTP_SM_Choice,2022.2.1,Win32,59.52380952,,,,,,,,,,,,,,,,,,28,,,,,,,,,,2,0,2,2,2,1,Explore old vinyl records in my basement on a rainy weekend,Host game nights with friends on friday evenings featuring board games and homemade snacks,0.03,0.01,3.3,1,0.01,1.4745,,,,
,,66ce33a40ac4984adc2e18c8,2024-10-01_13h13.32.894,WTP_SM_Choice,2022.2.1,Win32,59.52380952,,,,,,,,,,,,,,,,,,29,,,,,,,,,,2,0,3,3,3,1,Participate in trivia nights with my coworkers at a local pub on wednesday evenings,Explore old vinyl records in my basement on a rainy weekend,0.04,0.01,4.4,0,0.01,2.1038,,,,
,,66ce33a40ac4984adc2e18c8,2024-10-01_13h13.32.894,WTP_SM_Choice,2022.2.1,Win32,59.52380952,,,,,,,,,,,,,,,,,,30,,,,,,,,,,2,0,4,4,4,1,Explore old vinyl records in my basement on a rainy weekend,Take weekend road trips with my best friend nexploring small towns and unique eateriesd,0.05,0.01,8.8,1,0.01,1.7141,,,,
,,66ce33a40ac4984adc2e18c8,2024-10-01_13h13.32.894,WTP_SM_Choice,2022.2.1,Win32,59.52380952,,,,,,,NAN,,NAN,0.7,5.3,,0,29,29,29,1,30,Charlie,Acc,Participant_Images/66ce33a40ac4984adc2e18c8/66ce33a40ac4984adc2e18c8_Images/66ce33a40ac4984adc2e18c8_Image_5.jpeg,liked,1.661473164,,,,,,,,,,,,,,,,,,,,,,
,,66ce33a40ac4984adc2e18c8,2024-10-01_13h13.32.894,WTP_SM_Choice,2022.2.1,Win32,59.52380952,,,,,space,1.2471,NAN,,NAN,0.7,5.3,,0,30,30,30,1,31,Charlie,Acc,Participant_Images/66ce33a40ac4984adc2e18c8/66ce33a40ac4984adc2e18c8_Images/66ce33a40ac4984adc2e18c8_Image_11.jpeg,did not like,3.613205605,,,,,,,,,,,,,,,,,,,,,,
,,66ce33a40ac4984adc2e18c8,2024-10-01_13h13.32.894,WTP_SM_Choice,2022.2.1,Win32,59.52380952,,,,,space,0.5837,NAN,,NAN,0.7,5.3,,0,31,31,31,1,32,Charlie,Acc,Participant_Images/66ce33a40ac4984adc2e18c8/66ce33a40ac4984adc2e18c8_Images/66ce33a40ac4984adc2e18c8_Image_15.jpeg,did not like,4.988446431,,,,,,,,,,,,,,,,,,,,,,
,,66ce33a40ac4984adc2e18c8,2024-10-01_13h13.32.894,WTP_SM_Choice,2022.2.1,Win32,59.52380952,,,,,space,0.8537,NAN,,NAN,0.7,5.3,,0,32,32,32,1,33,Charlie,Acc,Participant_Images/66ce33a40ac4984adc2e18c8/66ce33a40ac4984adc2e18c8_Images/66ce33a40ac4984adc2e18c8_Image_4.jpeg,liked,3.470791822,,,,,,,,,,,,,,,,,,,,,,
