endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,participant,date,expName,psychopyVersion,OS,frameRate,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,subtract_bonus,TOTAL_TASK_BONUS,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,WTP_ins_keys1.keys,WTP_ins_keys1.rt,WTP_ins_keys2.keys,WTP_ins_keys2.rt,decision_price,responses.keys,responses.rt,WTPTaskLoop.thisRepN,WTPTaskLoop.thisTrialN,WTPTaskLoop.thisN,WTPTaskLoop.thisIndex,WTPTaskLoop.ran,right,left,leftmoney,rightmoney,WTP_ITI,social_left,Resume_keys.keys,Resume_keys.rt,end_screen_keys.keys,end_screen_keys.rt
,,66202163d9e5dba57c5e831d,2024-08-23_16h28.11.062,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,space,0.7167,NAN,,NAN,0.18,5.82,,0,11,11,11,1,12,Riley,Acc,Participant_Images/66202163d9e5dba57c5e831d/66202163d9e5dba57c5e831d_Images/66202163d9e5dba57c5e831d_Image_4.jpeg,did not like,2.50187214,,,,,,,,,,,,,,,,,,,,,,
,,66202163d9e5dba57c5e831d,2024-08-23_16h28.11.062,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,space,0.4726,NAN,,NAN,0.18,5.82,,0,12,12,12,1,13,Riley,Acc,Participant_Images/66202163d9e5dba57c5e831d/66202163d9e5dba57c5e831d_Images/66202163d9e5dba57c5e831d_Image_5.jpeg,liked,2.071164779,,,,,,,,,,,,,,,,,,,,,,
,,66202163d9e5dba57c5e831d,2024-08-23_16h28.11.062,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,space,0.4838,NAN,,NAN,0.18,5.82,,0,13,13,13,1,14,Riley,Acc,Participant_Images/66202163d9e5dba57c5e831d/66202163d9e5dba57c5e831d_Images/66202163d9e5dba57c5e831d_Image_14.jpeg,did not like,5.336503566,,,,,,,,,,,,,,,,,,,,,,
,,66202163d9e5dba57c5e831d,2024-08-23_16h28.11.062,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,11,,,,,,space,1.6284,space,1.1304,0.01,1,1.4931,0,0,0,0,1,Talk on the phone to my mom ,Go on a drive on a nice day,0.01,0.03,3.3,0,,,,
,,66202163d9e5dba57c5e831d,2024-08-23_16h28.11.062,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,12,,,,,,,,,,0.02,1,1.855,0,1,1,1,1,Lay on my bed listening to music ,Tattoo or get tattooed by my little sister,0.02,0.03,4.4,1,,,,
,,66202163d9e5dba57c5e831d,2024-08-23_16h28.11.062,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,13,,,,,,,,,,0.03,2,2.7309,0,2,2,2,1,Watch a movie with my friend,Play fetch on a sunny day with my dog roxie,0.03,0.03,1.1,0,,,,
,,66202163d9e5dba57c5e831d,2024-08-23_16h28.11.062,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,14,,,,,,,,,,0.03,2,4.4638,0,3,3,3,1,Play fetch on a sunny day with my dog roxie,Go gambling with my mom ,0.04,0.03,3.3,1,,,,
,,66202163d9e5dba57c5e831d,2024-08-23_16h28.11.062,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,15,,,,,,,,,,0.03,2,1.9569,0,4,4,4,1,watch a movie with my niece or nephew ,Lay on my bed listening to music ,0.05,0.03,4.4,0,,,,
,,66202163d9e5dba57c5e831d,2024-08-23_16h28.11.062,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,NAN,,NAN,0.3,5.7,,0,14,14,14,1,15,Riley,Acc,Participant_Images/66202163d9e5dba57c5e831d/66202163d9e5dba57c5e831d_Images/66202163d9e5dba57c5e831d_Image_9.jpeg,did not like,2.642157193,,,,,,,,,,,,,,,,,,,,,,
,,66202163d9e5dba57c5e831d,2024-08-23_16h28.11.062,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,space,0.5882,NAN,,NAN,0.3,5.7,,0,15,15,15,1,16,Riley,Acc,Participant_Images/66202163d9e5dba57c5e831d/66202163d9e5dba57c5e831d_Images/66202163d9e5dba57c5e831d_Image_22.jpeg,liked,4.456234322,,,,,,,,,,,,,,,,,,,,,,
