endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,participant,date,expName,psychopyVersion,OS,frameRate,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,subtract_bonus,TOTAL_TASK_BONUS,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,WTP_ins_keys1.keys,WTP_ins_keys1.rt,WTP_ins_keys2.keys,WTP_ins_keys2.rt,responses.keys,WTPTaskLoop.thisRepN,WTPTaskLoop.thisTrialN,WTPTaskLoop.thisN,WTPTaskLoop.thisIndex,WTPTaskLoop.ran,left,right,social_left,WTP_ITI,leftmoney,rightmoney,greenText,left_more_than_right,matching_prices,social_worthmore,Resume_keys.keys,decision_price,responses.rt,Resume_keys.rt
,,101,2024-04-24_18h48.11.915,WTP_SM_Choice,2022.2.1,MacIntel,135.1351351,,,,,space,0.7449,NAN,,NAN,0,6,,0,7,7,7,1,8,Alex,Acc,Participant_Images/101/101_Images/101_Image_25.jpeg,liked,2.843822497,,,,,,,,,,,,,,,,,,,,,,,,
,,101,2024-04-24_18h48.11.915,WTP_SM_Choice,2022.2.1,MacIntel,135.1351351,,,,,space,0.4956,NAN,,NAN,0,6,,0,8,8,8,1,9,Alex,Acc,Participant_Images/101/101_Images/101_Image_8.jpeg,did not like,3.546495948,,,,,,,,,,,,,,,,,,,,,,,,
,,101,2024-04-24_18h48.11.915,WTP_SM_Choice,2022.2.1,MacIntel,135.1351351,,,,,,,,,,,,,,,,,,,,,,,,space,0.3943,space,0.378,,0,0,0,0,1,two_1,two_1,0,5,0.01,0.02,green,0,0,1,,,,
,,101,2024-04-24_18h48.11.915,WTP_SM_Choice,2022.2.1,MacIntel,135.1351351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,two_2,two_2,0,1,0.02,0.02,green,0,1,1,,,,
,,101,2024-04-24_18h48.11.915,WTP_SM_Choice,2022.2.1,MacIntel,135.1351351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,1,two_3,two_3,0,2,0.03,0.02,green,1,0,0,,,,
,,101,2024-04-24_18h48.11.915,WTP_SM_Choice,2022.2.1,MacIntel,135.1351351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,3,1,two_4,two_4,0,4,0.04,0.02,green,1,0,0,,,,
,,101,2024-04-24_18h48.11.915,WTP_SM_Choice,2022.2.1,MacIntel,135.1351351,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,4,4,4,1,two_5,two_5,0,3,0.05,0.02,green,1,0,0,,0.05,5.9145,
,,101,2024-04-24_18h48.11.915,WTP_SM_Choice,2022.2.1,MacIntel,135.1351351,,,,,,,NAN,,NAN,0.05,5.95,,0,9,9,9,1,10,Alex,Acc,Participant_Images/101/101_Images/101_Image_7.jpeg,did not like,1.672012706,,,,,,,,,,,,,,,,,,,,,,,,
,,101,2024-04-24_18h48.11.915,WTP_SM_Choice,2022.2.1,MacIntel,135.1351351,,,,,space,2.6709,NAN,,NAN,0.05,5.95,,0,10,10,10,1,11,Alex,Acc,Participant_Images/101/101_Images/101_Image_10.jpeg,liked,2.50187214,,,,,,,,,,,,,,,,,,,,,,,,
,,101,2024-04-24_18h48.11.915,WTP_SM_Choice,2022.2.1,MacIntel,135.1351351,,,,,space,7.6576,NAN,,NAN,0.05,5.95,,0,11,11,11,1,12,Alex,Acc,Participant_Images/101/101_Images/101_Image_20.jpeg,liked,2.071164779,,,,,,,,,,,,,,,,,,,,,,,,
,,101,2024-04-24_18h48.11.915,WTP_SM_Choice,2022.2.1,MacIntel,135.1351351,,,,,space,1.8795,NAN,,NAN,0.05,5.95,,0,12,12,12,1,13,Alex,Acc,Participant_Images/101/101_Images/101_Image_14.jpeg,liked,5.336503566,,,,,,,,,,,,,,,,,,,,,,,,
,,101,2024-04-24_18h48.11.915,WTP_SM_Choice,2022.2.1,MacIntel,135.1351351,,,,,space,5.6055,NAN,,NAN,0.05,5.95,,0,13,13,13,1,14,Alex,Acc,Participant_Images/101/101_Images/101_Image_21.jpeg,liked,2.642157193,,,,,,,,,,,,,,,,,,,,,,,,
,,101,2024-04-24_18h48.11.915,WTP_SM_Choice,2022.2.1,MacIntel,135.1351351,,,,,,,,,,,,,,,,,,,,,,,,space,0.5324,space,0.2796,1,0,0,0,0,1,three_1,three_1,0,4,0.01,0.01,green,0,1,1,,0.01,0.9657,
,,101,2024-04-24_18h48.11.915,WTP_SM_Choice,2022.2.1,MacIntel,135.1351351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,three_2,three_2,0,5,0.02,0.01,green,1,0,0,,,,
,,101,2024-04-24_18h48.11.915,WTP_SM_Choice,2022.2.1,MacIntel,135.1351351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,1,three_3,three_3,0,6,0.03,0.01,green,1,0,0,,,,
,,101,2024-04-24_18h48.11.915,WTP_SM_Choice,2022.2.1,MacIntel,135.1351351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,3,1,three_4,three_4,0,1,0.04,0.01,green,1,0,0,,,,
,,101,2024-04-24_18h48.11.915,WTP_SM_Choice,2022.2.1,MacIntel,135.1351351,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,4,4,4,1,three_5,three_5,0,2,0.05,0.01,green,1,0,0,,0.01,5.2943,
,,101,2024-04-24_18h48.11.915,WTP_SM_Choice,2022.2.1,MacIntel,135.1351351,,,,,,,NAN,,NAN,0.07,5.93,,0,14,14,14,1,15,Alex,Acc,Participant_Images/101/101_Images/101_Image_5.jpeg,did not like,4.456234322,,,,,,,,,,,,,,,,,,,,,,,,
,,101,2024-04-24_18h48.11.915,WTP_SM_Choice,2022.2.1,MacIntel,135.1351351,,,,,space,1.5077,NAN,,NAN,0.07,5.93,,0,15,15,15,1,16,Alex,Acc,Participant_Images/101/101_Images/101_Image_17.jpeg,did not like,4.438512181,,,,,,,,,,,,,,,,,,,,,,,,
,,101,2024-04-24_18h48.11.915,WTP_SM_Choice,2022.2.1,MacIntel,135.1351351,,,,,space,1.4345,NAN,,NAN,0.07,5.93,,0,16,16,16,1,17,Alex,Acc,Participant_Images/101/101_Images/101_Image_23.jpeg,did not like,1.779333479,,,,,,,,,,,,,,,,,,,,,,,,
,,101,2024-04-24_18h48.11.915,WTP_SM_Choice,2022.2.1,MacIntel,135.1351351,,,,,space,0.7881,NAN,,NAN,0.07,5.93,,0,17,17,17,1,18,Alex,Acc,Participant_Images/101/101_Images/101_Image_16.jpeg,did not like,4.312468682,,,,,,,,,,,,,,,,,,,,,,,,
,,101,2024-04-24_18h48.11.915,WTP_SM_Choice,2022.2.1,MacIntel,135.1351351,,,,,space,2.6365,NAN,,NAN,0.07,5.93,,0,18,18,18,1,19,Alex,Acc,Participant_Images/101/101_Images/101_Image_22.jpeg,did not like,2.7105123,,,,,,,,,,,,,,,,,,,,,,,,
,,101,2024-04-24_18h48.11.915,WTP_SM_Choice,2022.2.1,MacIntel,135.1351351,,,,,,,,,,,,,,,,,,,,,,,,space,0.8491,space,0.3571,2,0,0,0,0,1,four_1,four_1,0,5,0.01,0.02,green,0,0,1,,0.02,0.6144,
,,101,2024-04-24_18h48.11.915,WTP_SM_Choice,2022.2.1,MacIntel,135.1351351,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,1,1,1,1,four_2,four_2,0,1,0.02,0.02,green,0,1,1,,0.02,4.4913,
,,101,2024-04-24_18h48.11.915,WTP_SM_Choice,2022.2.1,MacIntel,135.1351351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,1,four_3,four_3,0,2,0.03,0.02,green,1,0,0,,,,
,,101,2024-04-24_18h48.11.915,WTP_SM_Choice,2022.2.1,MacIntel,135.1351351,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,3,3,3,1,four_4,four_4,0,4,0.04,0.02,green,1,0,0,,0.02,4.511,
,,101,2024-04-24_18h48.11.915,WTP_SM_Choice,2022.2.1,MacIntel,135.1351351,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,4,4,4,1,four_5,four_5,0,3,0.05,0.02,green,1,0,0,,0.02,3.0677,
,,101,2024-04-24_18h48.11.915,WTP_SM_Choice,2022.2.1,MacIntel,135.1351351,,,,,,,NAN,,NAN,0.15,5.85,,0,19,19,19,1,20,Alex,Acc,Participant_Images/101/101_Images/101_Image_12.jpeg,did not like,3.602308302,,,,,,,,,,,,,,,,,,,,,,,,
,,101,2024-04-24_18h48.11.915,WTP_SM_Choice,2022.2.1,MacIntel,135.1351351,,,,,space,11.7976,NAN,,NAN,0.15,5.85,,0,20,20,20,1,21,Alex,Acc,Participant_Images/101/101_Images/101_Image_15.jpeg,liked,4.106391878,,,,,,,,,,,,,,,,,,,,,,,,
,,101,2024-04-24_18h48.11.915,WTP_SM_Choice,2022.2.1,MacIntel,135.1351351,,,,,space,1.3481,NAN,,NAN,0.15,5.85,,0,21,21,21,1,22,Alex,Acc,Participant_Images/101/101_Images/101_Image_19.jpeg,liked,3.799433026,,,,,,,,,,,,,,,,,,,,,,,,
,,101,2024-04-24_18h48.11.915,WTP_SM_Choice,2022.2.1,MacIntel,135.1351351,,,,,space,14.0184,NAN,,NAN,0.15,5.85,,0,22,22,22,1,23,Alex,Acc,Participant_Images/101/101_Images/101_Image_18.jpeg,liked,5.246980764,,,,,,,,,,,,,,,,,,,,,,,,
,,101,2024-04-24_18h48.11.915,WTP_SM_Choice,2022.2.1,MacIntel,135.1351351,,,,,space,0.9292,NAN,,NAN,0.15,5.85,,0,23,23,23,1,24,Alex,Acc,Participant_Images/101/101_Images/101_Image_6.jpeg,liked,3.30081769,,,,,,,,,,,,,,,,,,,,,,,,
,,101,2024-04-24_18h48.11.915,WTP_SM_Choice,2022.2.1,MacIntel,135.1351351,,,,,,,,,,,,,,,,,,,,,,,,space,0.6794,space,0.3083,1,0,0,0,0,1,five_1,five_1,0,4,0.01,0.01,green,0,1,1,,0.01,0.9761,
,,101,2024-04-24_18h48.11.915,WTP_SM_Choice,2022.2.1,MacIntel,135.1351351,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,1,1,1,1,five_2,five_2,0,5,0.02,0.01,green,1,0,0,,0.01,7.3204,
,,101,2024-04-24_18h48.11.915,WTP_SM_Choice,2022.2.1,MacIntel,135.1351351,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,2,2,2,1,five_3,five_3,0,6,0.03,0.01,green,1,0,0,,0.03,7.2842,
,,101,2024-04-24_18h48.11.915,WTP_SM_Choice,2022.2.1,MacIntel,135.1351351,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,3,3,3,1,five_4,five_4,0,1,0.04,0.01,green,1,0,0,,0.04,2.0113,
,,101,2024-04-24_18h48.11.915,WTP_SM_Choice,2022.2.1,MacIntel,135.1351351,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,4,4,4,1,five_5,five_5,0,2,0.05,0.01,green,1,0,0,,0.05,6.2528,
,,101,2024-04-24_18h48.11.915,WTP_SM_Choice,2022.2.1,MacIntel,135.1351351,,,,,,,3,,5,0.29,5.71,,0,24,24,24,1,25,Alex,Acc,Participant_Images/101/101_Images/101_Image_11.jpeg,did not like,1.661473164,,,,,,,,,,,,,,,,,,,,,space,,,6.2085
,,101,2024-04-24_18h48.11.915,WTP_SM_Choice,2022.2.1,MacIntel,135.1351351,,,space,8.3904,space,36.7574,NAN,,NAN,0.29,5.71,,0,25,25,25,1,26,Riley,Acc,Participant_Images/101/101_Images/101_Image_20.jpeg,liked,3.613205605,,,,,,,,,,,,,,,,,,,,,,,,
,,101,2024-04-24_18h48.11.915,WTP_SM_Choice,2022.2.1,MacIntel,135.1351351,,,,,space,5.7269,NAN,,NAN,0.29,5.71,,0,26,26,26,1,27,Riley,Acc,Participant_Images/101/101_Images/101_Image_22.jpeg,liked,3.470791822,,,,,,,,,,,,,,,,,,,,,,,,
,,101,2024-04-24_18h48.11.915,WTP_SM_Choice,2022.2.1,MacIntel,135.1351351,,,,,space,2.2667,NAN,,NAN,0.29,5.71,,0,27,27,27,1,28,Riley,Acc,Participant_Images/101/101_Images/101_Image_25.jpeg,did not like,2.455989137,,,,,,,,,,,,,,,,,,,,,,,,
,,101,2024-04-24_18h48.11.915,WTP_SM_Choice,2022.2.1,MacIntel,135.1351351,,,,,space,4.9799,NAN,,NAN,0.29,5.71,,0,28,28,28,1,29,Riley,Acc,Participant_Images/101/101_Images/101_Image_12.jpeg,liked,3.79605092,,,,,,,,,,,,,,,,,,,,,,,,
,,101,2024-04-24_18h48.11.915,WTP_SM_Choice,2022.2.1,MacIntel,135.1351351,,,,,,,,,,,,,,,,,,,,,,,,space,13.0071,space,0.1931,1,0,0,0,0,1,six_1,six_1,0,5,0.01,0.02,green,0,0,1,,0.01,0.6761,
,,101,2024-04-24_18h48.11.915,WTP_SM_Choice,2022.2.1,MacIntel,135.1351351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,six_2,six_2,0,1,0.02,0.02,green,0,1,1,,,,
,,101,2024-04-24_18h48.11.915,WTP_SM_Choice,2022.2.1,MacIntel,135.1351351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,1,six_3,six_3,0,2,0.03,0.02,green,1,0,0,,,,
,,101,2024-04-24_18h48.11.915,WTP_SM_Choice,2022.2.1,MacIntel,135.1351351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,3,1,six_4,six_4,0,4,0.04,0.02,green,1,0,0,,,,
,,101,2024-04-24_18h48.11.915,WTP_SM_Choice,2022.2.1,MacIntel,135.1351351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,4,1,six_5,six_5,0,3,0.05,0.02,green,1,0,0,,,,
,,101,2024-04-24_18h48.11.915,WTP_SM_Choice,2022.2.1,MacIntel,135.1351351,,,,,,,NAN,,NAN,0.3,5.7,,0,29,29,29,1,30,Riley,Acc,Participant_Images/101/101_Images/101_Image_9.jpeg,did not like,3.562416326,,,,,,,,,,,,,,,,,,,,,,,,
,,101,2024-04-24_18h48.11.915,WTP_SM_Choice,2022.2.1,MacIntel,135.1351351,,,,,space,1.245,NAN,,NAN,0.3,5.7,,0,30,30,30,1,31,Riley,Acc,Participant_Images/101/101_Images/101_Image_5.jpeg,liked,2.843822497,,,,,,,,,,,,,,,,,,,,,,,,
,,101,2024-04-24_18h48.11.915,WTP_SM_Choice,2022.2.1,MacIntel,135.1351351,,,,,space,5.306,NAN,,NAN,0.3,5.7,,0,31,31,31,1,32,Riley,Acc,Participant_Images/101/101_Images/101_Image_14.jpeg,liked,3.546495948,,,,,,,,,,,,,,,,,,,,,,,,
,,101,2024-04-24_18h48.11.915,WTP_SM_Choice,2022.2.1,MacIntel,135.1351351,,,,,space,6.8633,NAN,,NAN,0.3,5.7,,0,32,32,32,1,33,Riley,Acc,Participant_Images/101/101_Images/101_Image_18.jpeg,did not like,1.672012706,,,,,,,,,,,,,,,,,,,,,,,,
,,101,2024-04-24_18h48.11.915,WTP_SM_Choice,2022.2.1,MacIntel,135.1351351,,,,,space,7.7093,NAN,,NAN,0.3,5.7,,0,33,33,33,1,34,Riley,Acc,Participant_Images/101/101_Images/101_Image_10.jpeg,liked,4.942172136,,,,,,,,,,,,,,,,,,,,,,,,
,,101,2024-04-24_18h48.11.915,WTP_SM_Choice,2022.2.1,MacIntel,135.1351351,,,,,,,,,,,,,,,,,,,,,,,,space,4.35,space,0.1972,,0,0,0,0,1,seven_1,seven_1,0,4,0.01,0.01,green,0,1,1,,,,
,,101,2024-04-24_18h48.11.915,WTP_SM_Choice,2022.2.1,MacIntel,135.1351351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,seven_2,seven_2,0,5,0.02,0.01,green,1,0,0,,,,
,,101,2024-04-24_18h48.11.915,WTP_SM_Choice,2022.2.1,MacIntel,135.1351351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,1,seven_3,seven_3,0,6,0.03,0.01,green,1,0,0,,,,
,,101,2024-04-24_18h48.11.915,WTP_SM_Choice,2022.2.1,MacIntel,135.1351351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,3,1,seven_4,seven_4,0,1,0.04,0.01,green,1,0,0,,,,
,,101,2024-04-24_18h48.11.915,WTP_SM_Choice,2022.2.1,MacIntel,135.1351351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,4,1,seven_5,seven_5,0,2,0.05,0.01,green,1,0,0,,,,
,,101,2024-04-24_18h48.11.915,WTP_SM_Choice,2022.2.1,MacIntel,135.1351351,,,,,,,NAN,,NAN,0.3,5.7,,0,34,34,34,1,35,Riley,Acc,Participant_Images/101/101_Images/101_Image_16.jpeg,liked,2.50187214,,,,,,,,,,,,,,,,,,,,,,,,
,,101,2024-04-24_18h48.11.915,WTP_SM_Choice,2022.2.1,MacIntel,135.1351351,,,,,space,6.1381,NAN,,NAN,0.3,5.7,,0,35,35,35,1,36,Riley,Acc,Participant_Images/101/101_Images/101_Image_23.jpeg,liked,2.642157193,,,,,,,,,,,,,,,,,,,,,,,,
,,101,2024-04-24_18h48.11.915,WTP_SM_Choice,2022.2.1,MacIntel,135.1351351,,,,,space,40.4083,NAN,,NAN,0.3,5.7,,0,36,36,36,1,37,Riley,Acc,Participant_Images/101/101_Images/101_Image_4.jpeg,liked,4.456234322,,,,,,,,,,,,,,,,,,,,,,,,
,,101,2024-04-24_18h48.11.915,WTP_SM_Choice,2022.2.1,MacIntel,135.1351351,,,,,space,81.7048,NAN,,NAN,0.3,5.7,,0,37,37,37,1,38,Riley,Acc,Participant_Images/101/101_Images/101_Image_24.jpeg,liked,4.438512181,,,,,,,,,,,,,,,,,,,,,,,,
,,101,2024-04-24_18h48.11.915,WTP_SM_Choice,2022.2.1,MacIntel,135.1351351,,,,,space,1097.0343,NAN,,NAN,0.3,5.7,,0,38,38,38,1,39,Riley,Acc,Participant_Images/101/101_Images/101_Image_15.jpeg,liked,2.682944783,,,,,,,,,,,,,,,,,,,,,,,,
,,101,2024-04-24_18h48.11.915,WTP_SM_Choice,2022.2.1,MacIntel,135.1351351,,,,,,,,,,,,,,,,,,,,,,,,space,36.7056,space,0.2307,1,0,0,0,0,1,eight_1,eight_1,0,5,0.01,0.02,green,0,0,1,,0.01,1.1887,
,,101,2024-04-24_18h48.11.915,WTP_SM_Choice,2022.2.1,MacIntel,135.1351351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,eight_2,eight_2,0,1,0.02,0.02,green,0,1,1,,,,
,,101,2024-04-24_18h48.11.915,WTP_SM_Choice,2022.2.1,MacIntel,135.1351351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,1,eight_3,eight_3,0,2,0.03,0.02,green,1,0,0,,,,
,,101,2024-04-24_18h48.11.915,WTP_SM_Choice,2022.2.1,MacIntel,135.1351351,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,3,3,3,1,eight_4,eight_4,0,4,0.04,0.02,green,1,0,0,,0.04,7.4913,
,,101,2024-04-24_18h48.11.915,WTP_SM_Choice,2022.2.1,MacIntel,135.1351351,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,4,4,4,1,eight_5,eight_5,0,3,0.05,0.02,green,1,0,0,,0.05,3.6482,
,,101,2024-04-24_18h48.11.915,WTP_SM_Choice,2022.2.1,MacIntel,135.1351351,,,,,,,NAN,,NAN,0.4,5.6,,0,39,39,39,1,40,Riley,Acc,Participant_Images/101/101_Images/101_Image_6.jpeg,liked,4.51984296,,,,,,,,,,,,,,,,,,,,,,,,
,,101,2024-04-24_18h48.11.915,WTP_SM_Choice,2022.2.1,MacIntel,135.1351351,,,,,space,1.6217,NAN,,NAN,0.4,5.6,,0,40,40,40,1,41,Riley,Acc,Participant_Images/101/101_Images/101_Image_19.jpeg,liked,3.195382774,,,,,,,,,,,,,,,,,,,,,,,,
,,101,2024-04-24_18h48.11.915,WTP_SM_Choice,2022.2.1,MacIntel,135.1351351,,,,,space,157.2639,NAN,,NAN,0.4,5.6,,0,41,41,41,1,42,Riley,Acc,Participant_Images/101/101_Images/101_Image_3.jpeg,did not like,1.779333479,,,,,,,,,,,,,,,,,,,,,,,,
,,101,2024-04-24_18h48.11.915,WTP_SM_Choice,2022.2.1,MacIntel,135.1351351,,,,,space,1.7955,NAN,,NAN,0.4,5.6,,0,42,42,42,1,43,Riley,Acc,Participant_Images/101/101_Images/101_Image_7.jpeg,liked,4.312468682,,,,,,,,,,,,,,,,,,,,,,,,
,,101,2024-04-24_18h48.11.915,WTP_SM_Choice,2022.2.1,MacIntel,135.1351351,,,,,space,2.4015,NAN,,NAN,0.4,5.6,,0,43,43,43,1,44,Riley,Acc,Participant_Images/101/101_Images/101_Image_8.jpeg,did not like,4.940433059,,,,,,,,,,,,,,,,,,,,,,,,
,,101,2024-04-24_18h48.11.915,WTP_SM_Choice,2022.2.1,MacIntel,135.1351351,,,,,,,,,,,,,,,,,,,,,,,,space,1.1522,space,0.0691,1,0,0,0,0,1,nine_1,nine_1,0,4,0.01,0.01,green,0,1,1,,0.01,0.9665,
,,101,2024-04-24_18h48.11.915,WTP_SM_Choice,2022.2.1,MacIntel,135.1351351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,nine_2,nine_2,0,5,0.02,0.01,green,1,0,0,,,,
,,101,2024-04-24_18h48.11.915,WTP_SM_Choice,2022.2.1,MacIntel,135.1351351,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,2,2,1,nine_3,nine_3,0,6,0.03,0.01,green,1,0,0,,0.01,2.589,
