endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,participant,date,expName,psychopyVersion,OS,frameRate,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,subtract_bonus,TOTAL_TASK_BONUS,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,WTP_ins_keys1.keys,WTP_ins_keys1.rt,WTP_ins_keys2.keys,WTP_ins_keys2.rt,decision_price,responses.keys,responses.rt,WTPTaskLoop.thisRepN,WTPTaskLoop.thisTrialN,WTPTaskLoop.thisN,WTPTaskLoop.thisIndex,WTPTaskLoop.ran,right,left,leftmoney,rightmoney,WTP_ITI,Resume_keys.keys,Resume_keys.rt,end_screen_keys.keys,end_screen_keys.rt,social_left
,,6676fab6295042ff191ead64,2024-07-04_10h01.29.139,WTP_SM_Choice,2022.2.1,MacIntel,62.89308176,,,,,space,1.6508,NAN,,NAN,0.26,5.74,,0,17,17,17,1,18,Alex,Acc,Participant_Images/6676fab6295042ff191ead64/6676fab6295042ff191ead64_Images/6676fab6295042ff191ead64_Image_1.jpeg,liked,2.682944783,,,,,,,,,,,,,,,,,,,,,,
,,6676fab6295042ff191ead64,2024-07-04_10h01.29.139,WTP_SM_Choice,2022.2.1,MacIntel,62.89308176,,,,,space,1.8837,NAN,,NAN,0.26,5.74,,0,18,18,18,1,19,Alex,Acc,Participant_Images/6676fab6295042ff191ead64/6676fab6295042ff191ead64_Images/6676fab6295042ff191ead64_Image_8.jpeg,liked,4.51984296,,,,,,,,,,,,,,,,,,,,,,
,,6676fab6295042ff191ead64,2024-07-04_10h01.29.139,WTP_SM_Choice,2022.2.1,MacIntel,62.89308176,,,,,,,,,,,,,,,,,,16,,,,,,space,2.5417,space,0.46,0.01,1,2.1265,0,0,0,0,1,Swim in the pool on a nice summer day,Playchess with a friend,0.01,0.04,1.1,,,,,1
,,6676fab6295042ff191ead64,2024-07-04_10h01.29.139,WTP_SM_Choice,2022.2.1,MacIntel,62.89308176,,,,,,,,,,,,,,,,,,17,,,,,,,,,,0.02,1,2.8153,0,1,1,1,1,Play chess online against other people,Drive around blasting music with my friends,0.02,0.04,8.8,,,,,1
,,6676fab6295042ff191ead64,2024-07-04_10h01.29.139,WTP_SM_Choice,2022.2.1,MacIntel,62.89308176,,,,,,,,,,,,,,,,,,18,,,,,,,,,,0.03,1,2.7808,0,2,2,2,1,Clean my room after not cleaning it for a long time,Playchess with a friend,0.03,0.04,3.3,,,,,1
,,6676fab6295042ff191ead64,2024-07-04_10h01.29.139,WTP_SM_Choice,2022.2.1,MacIntel,62.89308176,,,,,,,,,,,,,,,,,,19,,,,,,,,,,0.04,1,7.3487,0,3,3,3,1,Listen to music in the car with the windows down,Drive around blasting music with my friends,0.04,0.04,3.3,,,,,1
,,6676fab6295042ff191ead64,2024-07-04_10h01.29.139,WTP_SM_Choice,2022.2.1,MacIntel,62.89308176,,,,,,,,,,,,,,,,,,20,,,,,,,,,,0.04,2,3.6052,0,4,4,4,1,Lay down on the sand at the beach,Play board games with my friends,0.05,0.04,1.1,,,,,1
,,6676fab6295042ff191ead64,2024-07-04_10h01.29.139,WTP_SM_Choice,2022.2.1,MacIntel,62.89308176,,,,,,,NAN,,NAN,0.4,5.6,,0,19,19,19,1,20,Alex,Acc,Participant_Images/6676fab6295042ff191ead64/6676fab6295042ff191ead64_Images/6676fab6295042ff191ead64_Image_17.jpeg,liked,3.195382774,,,,,,,,,,,,,,,,,,,,,,
,,6676fab6295042ff191ead64,2024-07-04_10h01.29.139,WTP_SM_Choice,2022.2.1,MacIntel,62.89308176,,,,,space,7.9502,NAN,,NAN,0.4,5.6,,0,20,20,20,1,21,Alex,Acc,Participant_Images/6676fab6295042ff191ead64/6676fab6295042ff191ead64_Images/6676fab6295042ff191ead64_Image_19.jpeg,liked,1.779333479,,,,,,,,,,,,,,,,,,,,,,
,,6676fab6295042ff191ead64,2024-07-04_10h01.29.139,WTP_SM_Choice,2022.2.1,MacIntel,62.89308176,,,,,space,4.4003,NAN,,NAN,0.4,5.6,,0,21,21,21,1,22,Alex,Acc,Participant_Images/6676fab6295042ff191ead64/6676fab6295042ff191ead64_Images/6676fab6295042ff191ead64_Image_12.jpeg,liked,4.312468682,,,,,,,,,,,,,,,,,,,,,,
