endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,participant,date,expName,psychopyVersion,OS,frameRate,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,subtract_bonus,TOTAL_TASK_BONUS,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,WTP_ins_keys1.keys,WTP_ins_keys1.rt,WTP_ins_keys2.keys,WTP_ins_keys2.rt,decision_price,responses.keys,responses.rt,WTPTaskLoop.thisRepN,WTPTaskLoop.thisTrialN,WTPTaskLoop.thisN,WTPTaskLoop.thisIndex,WTPTaskLoop.ran,right,left,leftmoney,rightmoney,WTP_ITI,social_left,Resume_keys.keys,Resume_keys.rt,end_screen_keys.keys,end_screen_keys.rt
,,66f0bbf2ad2ccf85f492cbcb,2024-10-21_13h40.57.418,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,space,0.724,NAN,,NAN,0.19,5.81,,0,10,10,10,1,11,Sam,Rej,Participant_Images/66f0bbf2ad2ccf85f492cbcb/66f0bbf2ad2ccf85f492cbcb_Images/66f0bbf2ad2ccf85f492cbcb_Image_19.jpeg,liked,4.942172136,,,,,,,,,,,,,,,,,,,,,,
,,66f0bbf2ad2ccf85f492cbcb,2024-10-21_13h40.57.418,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,space,1.0809,NAN,,NAN,0.19,5.81,,0,11,11,11,1,12,Sam,Rej,Participant_Images/66f0bbf2ad2ccf85f492cbcb/66f0bbf2ad2ccf85f492cbcb_Images/66f0bbf2ad2ccf85f492cbcb_Image_18.jpeg,did not like,2.50187214,,,,,,,,,,,,,,,,,,,,,,
,,66f0bbf2ad2ccf85f492cbcb,2024-10-21_13h40.57.418,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,space,1.001,NAN,,NAN,0.19,5.81,,0,12,12,12,1,13,Sam,Rej,Participant_Images/66f0bbf2ad2ccf85f492cbcb/66f0bbf2ad2ccf85f492cbcb_Images/66f0bbf2ad2ccf85f492cbcb_Image_17.jpeg,liked,2.071164779,,,,,,,,,,,,,,,,,,,,,,
,,66f0bbf2ad2ccf85f492cbcb,2024-10-21_13h40.57.418,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,space,0.6705,NAN,,NAN,0.19,5.81,,0,13,13,13,1,14,Sam,Rej,Participant_Images/66f0bbf2ad2ccf85f492cbcb/66f0bbf2ad2ccf85f492cbcb_Images/66f0bbf2ad2ccf85f492cbcb_Image_6.jpeg,did not like,5.336503566,,,,,,,,,,,,,,,,,,,,,,
,,66f0bbf2ad2ccf85f492cbcb,2024-10-21_13h40.57.418,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,11,,,,,,space,1.1709,space,0.7319,0.01,1,3.1887,0,0,0,0,1,Read on my bed,Go skiing or ice skating with my partner,0.01,0.03,3.3,1,,,,
,,66f0bbf2ad2ccf85f492cbcb,2024-10-21_13h40.57.418,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,12,,,,,,,,,,0.02,1,2.1639,0,1,1,1,1,run,Have a picnic with my family,0.02,0.03,4.4,1,,,,
,,66f0bbf2ad2ccf85f492cbcb,2024-10-21_13h40.57.418,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,13,,,,,,,,,,0.03,2,2.2112,0,2,2,2,1,Play fetch with my dogs and teaching them tricks,Go to the bar to have some drinks with friends,0.03,0.03,1.1,1,,,,
,,66f0bbf2ad2ccf85f492cbcb,2024-10-21_13h40.57.418,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,14,,,,,,,,,,0.03,2,5.2408,0,3,3,3,1,Read on my bed,Have a picnic with my family,0.04,0.03,3.3,1,,,,
,,66f0bbf2ad2ccf85f492cbcb,2024-10-21_13h40.57.418,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,15,,,,,,,,,,0.03,2,2.46,0,4,4,4,1,Take a drive ,Attending a concert with my partner,0.05,0.03,4.4,1,,,,
,,66f0bbf2ad2ccf85f492cbcb,2024-10-21_13h40.57.418,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,NAN,,NAN,0.31,5.69,,0,14,14,14,1,15,Sam,Rej,Participant_Images/66f0bbf2ad2ccf85f492cbcb/66f0bbf2ad2ccf85f492cbcb_Images/66f0bbf2ad2ccf85f492cbcb_Image_11.jpeg,did not like,2.642157193,,,,,,,,,,,,,,,,,,,,,,
