endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,participant,STUDY_ID,SESSION_ID,date,expName,psychopyVersion,OS,frameRate,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,subtract_bonus,TOTAL_TASK_BONUS,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,WTP_ins_keys1.keys,WTP_ins_keys1.rt,WTP_ins_keys2.keys,WTP_ins_keys2.rt,decision_price,responses.keys,responses.rt,WTPTaskLoop.thisRepN,WTPTaskLoop.thisTrialN,WTPTaskLoop.thisN,WTPTaskLoop.thisIndex,WTPTaskLoop.ran,right,left,leftmoney,rightmoney,WTP_ITI,social_left,Resume_keys.keys,Resume_keys.rt,entiretaskloop.order
,,66ed6bba745fee41cbe32310,6685aa9113c938e83b4f1ea0,670041a6574c320edf262918,2024-10-04_15h30.06.228,WTP_SM_Choice,2022.2.1,Win32,60.97560976,,,,,,,,,,,,,,,,,,5,,,,,,,,,,0.01,2,2.3003,0,4,4,4,1,try new unique restaurants with my significant other,listen to music while i ride the train,0.05,0.01,1.1,0,,,
,,66ed6bba745fee41cbe32310,6685aa9113c938e83b4f1ea0,670041a6574c320edf262918,2024-10-04_15h30.06.228,WTP_SM_Choice,2022.2.1,Win32,60.97560976,,,,,,,NAN,,NAN,0.08,5.92,,0,4,4,4,1,5,Alex,Acc,Participant_Images/66ed6bba745fee41cbe32310/66ed6bba745fee41cbe32310_Images/66ed6bba745fee41cbe32310_Image_2.jpeg,liked,2.455989137,,,,,,,,,,,,,,,,,,,,,
,,66ed6bba745fee41cbe32310,6685aa9113c938e83b4f1ea0,670041a6574c320edf262918,2024-10-04_15h30.06.228,WTP_SM_Choice,2022.2.1,Win32,60.97560976,,,,,space,0.669,NAN,,NAN,0.08,5.92,,0,5,5,5,1,6,Alex,Acc,Participant_Images/66ed6bba745fee41cbe32310/66ed6bba745fee41cbe32310_Images/66ed6bba745fee41cbe32310_Image_25.jpeg,liked,3.79605092,,,,,,,,,,,,,,,,,,,,,
,,66ed6bba745fee41cbe32310,6685aa9113c938e83b4f1ea0,670041a6574c320edf262918,2024-10-04_15h30.06.228,WTP_SM_Choice,2022.2.1,Win32,60.97560976,,,,,space,0.6003,NAN,,NAN,0.08,5.92,,0,6,6,6,1,7,Alex,Acc,Participant_Images/66ed6bba745fee41cbe32310/66ed6bba745fee41cbe32310_Images/66ed6bba745fee41cbe32310_Image_19.jpeg,liked,3.562416326,,,,,,,,,,,,,,,,,,,,,
,,66ed6bba745fee41cbe32310,6685aa9113c938e83b4f1ea0,670041a6574c320edf262918,2024-10-04_15h30.06.228,WTP_SM_Choice,2022.2.1,Win32,60.97560976,,,,,space,0.6358,NAN,,NAN,0.08,5.92,,0,7,7,7,1,8,Alex,Acc,Participant_Images/66ed6bba745fee41cbe32310/66ed6bba745fee41cbe32310_Images/66ed6bba745fee41cbe32310_Image_22.jpeg,liked,2.843822497,,,,,,,,,,,,,,,,,,,,,
,,66ed6bba745fee41cbe32310,6685aa9113c938e83b4f1ea0,670041a6574c320edf262918,2024-10-04_15h30.06.228,WTP_SM_Choice,2022.2.1,Win32,60.97560976,,,,,space,0.9327,NAN,,NAN,0.08,5.92,,0,8,8,8,1,9,Alex,Acc,Participant_Images/66ed6bba745fee41cbe32310/66ed6bba745fee41cbe32310_Images/66ed6bba745fee41cbe32310_Image_7.jpeg,did not like,3.546495948,,,,,,,,,,,,,,,,,,,,,
,,66ed6bba745fee41cbe32310,6685aa9113c938e83b4f1ea0,670041a6574c320edf262918,2024-10-04_15h30.06.228,WTP_SM_Choice,2022.2.1,Win32,60.97560976,,,,,,,,,,,,,,,,,,6,,,,,,space,4.6056,space,2.7091,0.01,1,3.8549,0,0,0,0,1,talk on the phone for hours with my mom,collect colorful fall leaves in central park ,0.01,0.02,3.3,0,,,
,,66ed6bba745fee41cbe32310,6685aa9113c938e83b4f1ea0,670041a6574c320edf262918,2024-10-04_15h30.06.228,WTP_SM_Choice,2022.2.1,Win32,60.97560976,,,,,,,,,,,,,,,,,,7,,,,,,,,,,0.02,1,3.0428,0,1,1,1,1,go to happy hour after work with coworkers,watch tv in my bedroom with the air conditioning on,0.02,0.02,1.1,0,,,
,,66ed6bba745fee41cbe32310,6685aa9113c938e83b4f1ea0,670041a6574c320edf262918,2024-10-04_15h30.06.228,WTP_SM_Choice,2022.2.1,Win32,60.97560976,,,,,,,,,,,,,,,,,,8,,,,,,,,,,0.02,2,2.6601,0,2,2,2,1,take my dog and little brother to play at the park,take a walk down the walking trails behind my parents house,0.03,0.02,1.1,0,,,
,,66ed6bba745fee41cbe32310,6685aa9113c938e83b4f1ea0,670041a6574c320edf262918,2024-10-04_15h30.06.228,WTP_SM_Choice,2022.2.1,Win32,60.97560976,,,,,,,,,,,,,,,,,,9,,,,,,,,,,0.04,1,1.5266,0,3,3,3,1,ride my bike to work on a breezy spring day,try new unique restaurants with my significant other,0.04,0.02,4.4,1,,,
,,66ed6bba745fee41cbe32310,6685aa9113c938e83b4f1ea0,670041a6574c320edf262918,2024-10-04_15h30.06.228,WTP_SM_Choice,2022.2.1,Win32,60.97560976,,,,,,,,,,,,,,,,,,10,,,,,,,,,,0.05,1,3.3634,0,4,4,4,1,take my dog and little brother to play at the park,sit on soft green grass in a park on a sunny weekend morning,0.05,0.02,1.1,0,,,
,,66ed6bba745fee41cbe32310,6685aa9113c938e83b4f1ea0,670041a6574c320edf262918,2024-10-04_15h30.06.228,WTP_SM_Choice,2022.2.1,Win32,60.97560976,,,,,,,NAN,,NAN,0.22,5.78,,0,9,9,9,1,10,Alex,Acc,Participant_Images/66ed6bba745fee41cbe32310/66ed6bba745fee41cbe32310_Images/66ed6bba745fee41cbe32310_Image_3.jpeg,liked,1.672012706,,,,,,,,,,,,,,,,,,,,,
,,66ed6bba745fee41cbe32310,6685aa9113c938e83b4f1ea0,670041a6574c320edf262918,2024-10-04_15h30.06.228,WTP_SM_Choice,2022.2.1,Win32,60.97560976,,,,,space,0.4528,NAN,,NAN,0.22,5.78,,0,10,10,10,1,11,Alex,Acc,Participant_Images/66ed6bba745fee41cbe32310/66ed6bba745fee41cbe32310_Images/66ed6bba745fee41cbe32310_Image_8.jpeg,liked,4.942172136,,,,,,,,,,,,,,,,,,,,,
,,66ed6bba745fee41cbe32310,6685aa9113c938e83b4f1ea0,670041a6574c320edf262918,2024-10-04_15h30.06.228,WTP_SM_Choice,2022.2.1,Win32,60.97560976,,,,,space,1.423,NAN,,NAN,0.22,5.78,,0,11,11,11,1,12,Alex,Acc,Participant_Images/66ed6bba745fee41cbe32310/66ed6bba745fee41cbe32310_Images/66ed6bba745fee41cbe32310_Image_14.jpeg,did not like,2.50187214,,,,,,,,,,,,,,,,,,,,,
,,66ed6bba745fee41cbe32310,6685aa9113c938e83b4f1ea0,670041a6574c320edf262918,2024-10-04_15h30.06.228,WTP_SM_Choice,2022.2.1,Win32,60.97560976,,,,,space,0.4867,NAN,,NAN,0.22,5.78,,0,12,12,12,1,13,Alex,Acc,Participant_Images/66ed6bba745fee41cbe32310/66ed6bba745fee41cbe32310_Images/66ed6bba745fee41cbe32310_Image_13.jpeg,liked,2.071164779,,,,,,,,,,,,,,,,,,,,,
,,66ed6bba745fee41cbe32310,6685aa9113c938e83b4f1ea0,670041a6574c320edf262918,2024-10-04_15h30.06.228,WTP_SM_Choice,2022.2.1,Win32,60.97560976,,,,,space,0.6667,NAN,,NAN,0.22,5.78,,0,13,13,13,1,14,Alex,Acc,Participant_Images/66ed6bba745fee41cbe32310/66ed6bba745fee41cbe32310_Images/66ed6bba745fee41cbe32310_Image_18.jpeg,liked,5.336503566,,,,,,,,,,,,,,,,,,,,,
,,66ed6bba745fee41cbe32310,6685aa9113c938e83b4f1ea0,670041a6574c320edf262918,2024-10-04_15h30.06.228,WTP_SM_Choice,2022.2.1,Win32,60.97560976,,,,,,,,,,,,,,,,,,11,,,,,,space,3.2548,space,1.0021,0.01,1,3.35,0,0,0,0,1,listen to music while i ride the train,take my dog and little brother to play at the park,0.01,0.03,3.3,1,,,
,,66ed6bba745fee41cbe32310,6685aa9113c938e83b4f1ea0,670041a6574c320edf262918,2024-10-04_15h30.06.228,WTP_SM_Choice,2022.2.1,Win32,60.97560976,,,,,,,,,,,,,,,,,,12,,,,,,,,,,0.02,1,1.9661,0,1,1,1,1,go to happy hour after work with coworkers,listen to music while i ride the train,0.02,0.03,4.4,0,,,
,,66ed6bba745fee41cbe32310,6685aa9113c938e83b4f1ea0,670041a6574c320edf262918,2024-10-04_15h30.06.228,WTP_SM_Choice,2022.2.1,Win32,60.97560976,,,,,,,,,,,,,,,,,,13,,,,,,,,,,0.03,2,2.8768,0,2,2,2,1,stream reality tv shows with my best friends,watch tv in my bedroom with the air conditioning on,0.03,0.03,1.1,0,,,
,,66ed6bba745fee41cbe32310,6685aa9113c938e83b4f1ea0,670041a6574c320edf262918,2024-10-04_15h30.06.228,WTP_SM_Choice,2022.2.1,Win32,60.97560976,,,,,,,,,,,,,,,,,,14,,,,,,,,,,0.04,1,3.5491,0,3,3,3,1,stream reality tv shows with my best friends,collect colorful fall leaves in central park ,0.04,0.03,3.3,0,,,
,,66ed6bba745fee41cbe32310,6685aa9113c938e83b4f1ea0,670041a6574c320edf262918,2024-10-04_15h30.06.228,WTP_SM_Choice,2022.2.1,Win32,60.97560976,,,,,,,,,,,,,,,,,,15,,,,,,,,,,0.03,2,2.3202,0,4,4,4,1,listen to music while i ride the train,help my little siblings with homework,0.05,0.03,4.4,1,,,
,,66ed6bba745fee41cbe32310,6685aa9113c938e83b4f1ea0,670041a6574c320edf262918,2024-10-04_15h30.06.228,WTP_SM_Choice,2022.2.1,Win32,60.97560976,,,,,,,NAN,,NAN,0.35,5.65,,0,14,14,14,1,15,Alex,Acc,Participant_Images/66ed6bba745fee41cbe32310/66ed6bba745fee41cbe32310_Images/66ed6bba745fee41cbe32310_Image_11.jpeg,liked,2.642157193,,,,,,,,,,,,,,,,,,,,,
,,66ed6bba745fee41cbe32310,6685aa9113c938e83b4f1ea0,670041a6574c320edf262918,2024-10-04_15h30.06.228,WTP_SM_Choice,2022.2.1,Win32,60.97560976,,,,,space,0.5839,NAN,,NAN,0.35,5.65,,0,15,15,15,1,16,Alex,Acc,Participant_Images/66ed6bba745fee41cbe32310/66ed6bba745fee41cbe32310_Images/66ed6bba745fee41cbe32310_Image_6.jpeg,liked,4.456234322,,,,,,,,,,,,,,,,,,,,,
,,66ed6bba745fee41cbe32310,6685aa9113c938e83b4f1ea0,670041a6574c320edf262918,2024-10-04_15h30.06.228,WTP_SM_Choice,2022.2.1,Win32,60.97560976,,,,,space,2.6729,NAN,,NAN,0.35,5.65,,0,16,16,16,1,17,Alex,Acc,Participant_Images/66ed6bba745fee41cbe32310/66ed6bba745fee41cbe32310_Images/66ed6bba745fee41cbe32310_Image_4.jpeg,did not like,4.438512181,,,,,,,,,,,,,,,,,,,,,
,,66ed6bba745fee41cbe32310,6685aa9113c938e83b4f1ea0,670041a6574c320edf262918,2024-10-04_15h30.06.228,WTP_SM_Choice,2022.2.1,Win32,60.97560976,,,,,space,1.3673,NAN,,NAN,0.35,5.65,,0,17,17,17,1,18,Alex,Acc,Participant_Images/66ed6bba745fee41cbe32310/66ed6bba745fee41cbe32310_Images/66ed6bba745fee41cbe32310_Image_17.jpeg,liked,2.682944783,,,,,,,,,,,,,,,,,,,,,
,,66ed6bba745fee41cbe32310,6685aa9113c938e83b4f1ea0,670041a6574c320edf262918,2024-10-04_15h30.06.228,WTP_SM_Choice,2022.2.1,Win32,60.97560976,,,,,space,0.467,NAN,,NAN,0.35,5.65,,0,18,18,18,1,19,Alex,Acc,Participant_Images/66ed6bba745fee41cbe32310/66ed6bba745fee41cbe32310_Images/66ed6bba745fee41cbe32310_Image_20.jpeg,liked,4.51984296,,,,,,,,,,,,,,,,,,,,,
,,66ed6bba745fee41cbe32310,6685aa9113c938e83b4f1ea0,670041a6574c320edf262918,2024-10-04_15h30.06.228,WTP_SM_Choice,2022.2.1,Win32,60.97560976,,,,,,,,,,,,,,,,,,16,,,,,,space,2.5768,space,1.2581,0.04,2,2.064,0,0,0,0,1,listen to music while i ride the train,work out at the gym with my boyfriend,0.01,0.04,1.1,1,,,
,,66ed6bba745fee41cbe32310,6685aa9113c938e83b4f1ea0,670041a6574c320edf262918,2024-10-04_15h30.06.228,WTP_SM_Choice,2022.2.1,Win32,60.97560976,,,,,,,,,,,,,,,,,,17,,,,,,,,,,0.02,1,1.9003,0,1,1,1,1,work out at the gym with my boyfriend,watch tv in my bedroom with the air conditioning on,0.02,0.04,8.8,0,,,
,,66ed6bba745fee41cbe32310,6685aa9113c938e83b4f1ea0,670041a6574c320edf262918,2024-10-04_15h30.06.228,WTP_SM_Choice,2022.2.1,Win32,60.97560976,,,,,,,,,,,,,,,,,,18,,,,,,,,,,0.03,1,2.3888,0,2,2,2,1,ride my bike to work on a breezy spring day,help my little siblings with homework,0.03,0.04,3.3,1,,,
,,66ed6bba745fee41cbe32310,6685aa9113c938e83b4f1ea0,670041a6574c320edf262918,2024-10-04_15h30.06.228,WTP_SM_Choice,2022.2.1,Win32,60.97560976,,,,,,,,,,,,,,,,,,19,,,,,,,,,,0.04,2,1.861,0,3,3,3,1,watch tv in my bedroom with the air conditioning on,talk on the phone for hours with my mom,0.04,0.04,3.3,1,,,
,,66ed6bba745fee41cbe32310,6685aa9113c938e83b4f1ea0,670041a6574c320edf262918,2024-10-04_15h30.06.228,WTP_SM_Choice,2022.2.1,Win32,60.97560976,,,,,,,,,,,,,,,,,,20,,,,,,,,,,0.04,2,2.1442,0,4,4,4,1,watch tv in my bedroom with the air conditioning on,take my dog and little brother to play at the park,0.05,0.04,1.1,1,,,
,,66ed6bba745fee41cbe32310,6685aa9113c938e83b4f1ea0,670041a6574c320edf262918,2024-10-04_15h30.06.228,WTP_SM_Choice,2022.2.1,Win32,60.97560976,,,,,,,NAN,,NAN,0.52,5.48,,0,19,19,19,1,20,Alex,Acc,Participant_Images/66ed6bba745fee41cbe32310/66ed6bba745fee41cbe32310_Images/66ed6bba745fee41cbe32310_Image_15.jpeg,did not like,3.195382774,,,,,,,,,,,,,,,,,,,,,
,,66ed6bba745fee41cbe32310,6685aa9113c938e83b4f1ea0,670041a6574c320edf262918,2024-10-04_15h30.06.228,WTP_SM_Choice,2022.2.1,Win32,60.97560976,,,,,space,0.4401,NAN,,NAN,0.52,5.48,,0,20,20,20,1,21,Alex,Acc,Participant_Images/66ed6bba745fee41cbe32310/66ed6bba745fee41cbe32310_Images/66ed6bba745fee41cbe32310_Image_1.jpeg,liked,1.779333479,,,,,,,,,,,,,,,,,,,,,
,,66ed6bba745fee41cbe32310,6685aa9113c938e83b4f1ea0,670041a6574c320edf262918,2024-10-04_15h30.06.228,WTP_SM_Choice,2022.2.1,Win32,60.97560976,,,,,space,0.571,NAN,,NAN,0.52,5.48,,0,21,21,21,1,22,Alex,Acc,Participant_Images/66ed6bba745fee41cbe32310/66ed6bba745fee41cbe32310_Images/66ed6bba745fee41cbe32310_Image_24.jpeg,liked,4.312468682,,,,,,,,,,,,,,,,,,,,,
,,66ed6bba745fee41cbe32310,6685aa9113c938e83b4f1ea0,670041a6574c320edf262918,2024-10-04_15h30.06.228,WTP_SM_Choice,2022.2.1,Win32,60.97560976,,,,,space,0.7752,NAN,,NAN,0.52,5.48,,0,22,22,22,1,23,Alex,Acc,Participant_Images/66ed6bba745fee41cbe32310/66ed6bba745fee41cbe32310_Images/66ed6bba745fee41cbe32310_Image_9.jpeg,liked,4.940433059,,,,,,,,,,,,,,,,,,,,,
,,66ed6bba745fee41cbe32310,6685aa9113c938e83b4f1ea0,670041a6574c320edf262918,2024-10-04_15h30.06.228,WTP_SM_Choice,2022.2.1,Win32,60.97560976,,,,,space,0.5409,NAN,,NAN,0.52,5.48,,0,23,23,23,1,24,Alex,Acc,Participant_Images/66ed6bba745fee41cbe32310/66ed6bba745fee41cbe32310_Images/66ed6bba745fee41cbe32310_Image_16.jpeg,liked,2.7105123,,,,,,,,,,,,,,,,,,,,,
,,66ed6bba745fee41cbe32310,6685aa9113c938e83b4f1ea0,670041a6574c320edf262918,2024-10-04_15h30.06.228,WTP_SM_Choice,2022.2.1,Win32,60.97560976,,,,,,,,,,,,,,,,,,21,,,,,,space,1.404,space,2.0359,0.01,1,1.9091,0,0,0,0,1,talk on the phone for hours with my mom,take a walk down the walking trails behind my parents house,0.01,0.05,8.8,0,,,
,,66ed6bba745fee41cbe32310,6685aa9113c938e83b4f1ea0,670041a6574c320edf262918,2024-10-04_15h30.06.228,WTP_SM_Choice,2022.2.1,Win32,60.97560976,,,,,,,,,,,,,,,,,,22,,,,,,,,,,0.02,1,2.8943,0,1,1,1,1,watch tv in my bedroom with the air conditioning on,eat appetizers and gossiping with my best friend,0.02,0.05,4.4,1,,,
,,66ed6bba745fee41cbe32310,6685aa9113c938e83b4f1ea0,670041a6574c320edf262918,2024-10-04_15h30.06.228,WTP_SM_Choice,2022.2.1,Win32,60.97560976,,,,,,,,,,,,,,,,,,23,,,,,,,,,,0.03,1,1.9974,0,2,2,2,1,do laundry right before the laundromat closes when its super quiet and empty,eat appetizers and gossiping with my best friend,0.03,0.05,1.1,1,,,
,,66ed6bba745fee41cbe32310,6685aa9113c938e83b4f1ea0,670041a6574c320edf262918,2024-10-04_15h30.06.228,WTP_SM_Choice,2022.2.1,Win32,60.97560976,,,,,,,,,,,,,,,,,,24,,,,,,,,,,0.05,2,4.0494,0,3,3,3,1,talk on the phone for hours with my mom,drive on the highway and cranking my music as loud as i want it,0.04,0.05,4.4,0,,,
,,66ed6bba745fee41cbe32310,6685aa9113c938e83b4f1ea0,670041a6574c320edf262918,2024-10-04_15h30.06.228,WTP_SM_Choice,2022.2.1,Win32,60.97560976,,,,,,,,,,,,,,,,,,25,,,,,,,,,,0.05,1,2.5104,0,4,4,4,1,work out at the gym with my boyfriend,do laundry right before the laundromat closes when its super quiet and empty,0.05,0.05,3.3,0,,,
,,66ed6bba745fee41cbe32310,6685aa9113c938e83b4f1ea0,670041a6574c320edf262918,2024-10-04_15h30.06.228,WTP_SM_Choice,2022.2.1,Win32,60.97560976,,,,,,,2,,4,0.68,5.32,,0,24,24,24,1,25,Alex,Acc,Participant_Images/66ed6bba745fee41cbe32310/66ed6bba745fee41cbe32310_Images/66ed6bba745fee41cbe32310_Image_10.jpeg,liked,3.602308302,,,,,,,,,,,,,,,,,,,space,1.8046,
,,66ed6bba745fee41cbe32310,6685aa9113c938e83b4f1ea0,670041a6574c320edf262918,2024-10-04_15h30.06.228,WTP_SM_Choice,2022.2.1,Win32,60.97560976,,,space,1.3961,space,1.1269,NAN,,NAN,0.68,5.32,,0,25,25,25,1,26,Sam,Acc,Participant_Images/66ed6bba745fee41cbe32310/66ed6bba745fee41cbe32310_Images/66ed6bba745fee41cbe32310_Image_23.jpeg,did not like,4.106391878,,,,,,,,,,,,,,,,,,,,,
,,66ed6bba745fee41cbe32310,6685aa9113c938e83b4f1ea0,670041a6574c320edf262918,2024-10-04_15h30.06.228,WTP_SM_Choice,2022.2.1,Win32,60.97560976,,,,,space,0.9176,NAN,,NAN,0.68,5.32,,0,26,26,26,1,27,Sam,Acc,Participant_Images/66ed6bba745fee41cbe32310/66ed6bba745fee41cbe32310_Images/66ed6bba745fee41cbe32310_Image_9.jpeg,liked,3.799433026,,,,,,,,,,,,,,,,,,,,,
,,66ed6bba745fee41cbe32310,6685aa9113c938e83b4f1ea0,670041a6574c320edf262918,2024-10-04_15h30.06.228,WTP_SM_Choice,2022.2.1,Win32,60.97560976,,,,,space,1.6666,NAN,,NAN,0.68,5.32,,0,27,27,27,1,28,Sam,Acc,Participant_Images/66ed6bba745fee41cbe32310/66ed6bba745fee41cbe32310_Images/66ed6bba745fee41cbe32310_Image_16.jpeg,liked,5.246980764,,,,,,,,,,,,,,,,,,,,,
,,66ed6bba745fee41cbe32310,6685aa9113c938e83b4f1ea0,670041a6574c320edf262918,2024-10-04_15h30.06.228,WTP_SM_Choice,2022.2.1,Win32,60.97560976,,,,,space,0.6232,NAN,,NAN,0.68,5.32,,0,28,28,28,1,29,Sam,Acc,Participant_Images/66ed6bba745fee41cbe32310/66ed6bba745fee41cbe32310_Images/66ed6bba745fee41cbe32310_Image_12.jpeg,liked,3.30081769,,,,,,,,,,,,,,,,,,,,,
,,66ed6bba745fee41cbe32310,6685aa9113c938e83b4f1ea0,670041a6574c320edf262918,2024-10-04_15h30.06.228,WTP_SM_Choice,2022.2.1,Win32,60.97560976,,,,,,,,,,,,,,,,,,26,,,,,,space,20.3195,space,3.9169,0.01,1,3.6204,0,0,0,0,1,do laundry right before the laundromat closes when its super quiet and empty,stream reality tv shows with my best friends,0.01,0.01,4.4,1,,,
,,66ed6bba745fee41cbe32310,6685aa9113c938e83b4f1ea0,670041a6574c320edf262918,2024-10-04_15h30.06.228,WTP_SM_Choice,2022.2.1,Win32,60.97560976,,,,,,,,,,,,,,,,,,27,,,,,,,,,,0.01,2,1.8478,0,1,1,1,1,explore new walking trails with my family,ride my bike to work on a breezy spring day,0.02,0.01,3.3,0,,,
,,66ed6bba745fee41cbe32310,6685aa9113c938e83b4f1ea0,670041a6574c320edf262918,2024-10-04_15h30.06.228,WTP_SM_Choice,2022.2.1,Win32,60.97560976,,,,,,,,,,,,,,,,,,28,,,,,,,,,,0.01,2,2.1796,0,2,2,2,1,explore new walking trails with my family,do laundry right before the laundromat closes when its super quiet and empty,0.03,0.01,3.3,0,,,
,,66ed6bba745fee41cbe32310,6685aa9113c938e83b4f1ea0,670041a6574c320edf262918,2024-10-04_15h30.06.228,WTP_SM_Choice,2022.2.1,Win32,60.97560976,,,,,,,,,,,,,,,,,,29,,,,,,,,,,0.01,2,3.6605,0,3,3,3,1,work out at the gym with my boyfriend,drive on the highway and cranking my music as loud as i want it,0.04,0.01,4.4,0,,,
,,66ed6bba745fee41cbe32310,6685aa9113c938e83b4f1ea0,670041a6574c320edf262918,2024-10-04_15h30.06.228,WTP_SM_Choice,2022.2.1,Win32,60.97560976,,,,,,,,,,,,,,,,,,30,,,,,,,,,,0.05,1,2.7165,0,4,4,4,1,read in a quiet library that smells like old dusty books and has chairs in the aisles,help my little siblings with homework,0.05,0.01,8.8,1,,,
