endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,participant,STUDY_ID,SESSION_ID,date,expName,psychopyVersion,OS,frameRate,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,subtract_bonus,TOTAL_TASK_BONUS,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,WTP_ins_keys1.keys,WTP_ins_keys1.rt,WTP_ins_keys2.keys,WTP_ins_keys2.rt,decision_price,responses.keys,responses.rt,WTPTaskLoop.thisRepN,WTPTaskLoop.thisTrialN,WTPTaskLoop.thisN,WTPTaskLoop.thisIndex,WTPTaskLoop.ran,right,left,leftmoney,rightmoney,WTP_ITI,Resume_keys.keys
,,665fc69fe8d5562ac1294f30,6685aa9113c938e83b4f1ea0,6685b65bc1a1d31152aa091e,2024-07-03_16h36.59.118,WTP_SM_Choice,2022.2.1,MacIntel,133.3333333,,,,,,,,,,,,,,,,,,5,,,,,,,,,,0.05,1,2.5209,0,4,4,4,1,go on long walks by the train tracks,cuddle on the couch with my girlfriend,0.05,0.01,1.1,
,,665fc69fe8d5562ac1294f30,6685aa9113c938e83b4f1ea0,6685b65bc1a1d31152aa091e,2024-07-03_16h36.59.118,WTP_SM_Choice,2022.2.1,MacIntel,133.3333333,,,,,,,NAN,,NAN,0.14,5.86,,0,4,4,4,1,5,Alex,Rej,Participant_Images/665fc69fe8d5562ac1294f30/665fc69fe8d5562ac1294f30_Images/665fc69fe8d5562ac1294f30_Image_23.jpeg,did not like,2.455989137,,,,,,,,,,,,,,,,,,
,,665fc69fe8d5562ac1294f30,6685aa9113c938e83b4f1ea0,6685b65bc1a1d31152aa091e,2024-07-03_16h36.59.118,WTP_SM_Choice,2022.2.1,MacIntel,133.3333333,,,,,space,1.344,NAN,,NAN,0.14,5.86,,0,5,5,5,1,6,Alex,Rej,Participant_Images/665fc69fe8d5562ac1294f30/665fc69fe8d5562ac1294f30_Images/665fc69fe8d5562ac1294f30_Image_24.jpeg,liked,3.79605092,,,,,,,,,,,,,,,,,,
,,665fc69fe8d5562ac1294f30,6685aa9113c938e83b4f1ea0,6685b65bc1a1d31152aa091e,2024-07-03_16h36.59.118,WTP_SM_Choice,2022.2.1,MacIntel,133.3333333,,,,,space,1.2119,NAN,,NAN,0.14,5.86,,0,6,6,6,1,7,Alex,Rej,Participant_Images/665fc69fe8d5562ac1294f30/665fc69fe8d5562ac1294f30_Images/665fc69fe8d5562ac1294f30_Image_20.jpeg,liked,3.562416326,,,,,,,,,,,,,,,,,,
,,665fc69fe8d5562ac1294f30,6685aa9113c938e83b4f1ea0,6685b65bc1a1d31152aa091e,2024-07-03_16h36.59.118,WTP_SM_Choice,2022.2.1,MacIntel,133.3333333,,,,,space,2.3951,NAN,,NAN,0.14,5.86,,0,7,7,7,1,8,Alex,Rej,Participant_Images/665fc69fe8d5562ac1294f30/665fc69fe8d5562ac1294f30_Images/665fc69fe8d5562ac1294f30_Image_25.jpeg,did not like,2.843822497,,,,,,,,,,,,,,,,,,
,,665fc69fe8d5562ac1294f30,6685aa9113c938e83b4f1ea0,6685b65bc1a1d31152aa091e,2024-07-03_16h36.59.118,WTP_SM_Choice,2022.2.1,MacIntel,133.3333333,,,,,space,1.8866,NAN,,NAN,0.14,5.86,,0,8,8,8,1,9,Alex,Rej,Participant_Images/665fc69fe8d5562ac1294f30/665fc69fe8d5562ac1294f30_Images/665fc69fe8d5562ac1294f30_Image_8.jpeg,did not like,3.546495948,,,,,,,,,,,,,,,,,,
,,665fc69fe8d5562ac1294f30,6685aa9113c938e83b4f1ea0,6685b65bc1a1d31152aa091e,2024-07-03_16h36.59.118,WTP_SM_Choice,2022.2.1,MacIntel,133.3333333,,,,,,,,,,,,,,,,,,6,,,,,,space,26.2369,space,3.0975,0.01,1,3.2845,0,0,0,0,1,take my dog to the park to play fetch,play kickball with my co-workers,0.01,0.02,3.3,
,,665fc69fe8d5562ac1294f30,6685aa9113c938e83b4f1ea0,6685b65bc1a1d31152aa091e,2024-07-03_16h36.59.118,WTP_SM_Choice,2022.2.1,MacIntel,133.3333333,,,,,,,,,,,,,,,,,,7,,,,,,,,,,0.02,2,3.3821,0,1,1,1,1,shoot basketball free throws,dance with my brother and his friends,0.02,0.02,1.1,
,,665fc69fe8d5562ac1294f30,6685aa9113c938e83b4f1ea0,6685b65bc1a1d31152aa091e,2024-07-03_16h36.59.118,WTP_SM_Choice,2022.2.1,MacIntel,133.3333333,,,,,,,,,,,,,,,,,,8,,,,,,,,,,0.02,2,2.0818,0,2,2,2,1,re-organize my closet and throw out or donate old things,cuddle on the couch with my girlfriend,0.03,0.02,1.1,
,,665fc69fe8d5562ac1294f30,6685aa9113c938e83b4f1ea0,6685b65bc1a1d31152aa091e,2024-07-03_16h36.59.118,WTP_SM_Choice,2022.2.1,MacIntel,133.3333333,,,,,,,,,,,,,,,,,,9,,,,,,,,,,0.02,2,4.5188,0,3,3,3,1,eat ice cream in my back yard on a hot day,dance with my brother and his friends,0.04,0.02,4.4,
,,665fc69fe8d5562ac1294f30,6685aa9113c938e83b4f1ea0,6685b65bc1a1d31152aa091e,2024-07-03_16h36.59.118,WTP_SM_Choice,2022.2.1,MacIntel,133.3333333,,,,,,,,,,,,,,,,,,10,,,,,,,,,,0.02,2,1.9433,0,4,4,4,1,Browse old vintage tee shirts at the thrift store,cuddle on the couch with my girlfriend,0.05,0.02,1.1,
,,665fc69fe8d5562ac1294f30,6685aa9113c938e83b4f1ea0,6685b65bc1a1d31152aa091e,2024-07-03_16h36.59.118,WTP_SM_Choice,2022.2.1,MacIntel,133.3333333,,,,,,,NAN,,NAN,0.23,5.77,,0,9,9,9,1,10,Alex,Rej,Participant_Images/665fc69fe8d5562ac1294f30/665fc69fe8d5562ac1294f30_Images/665fc69fe8d5562ac1294f30_Image_6.jpeg,did not like,1.672012706,,,,,,,,,,,,,,,,,,
