endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,participant,date,expName,psychopyVersion,OS,frameRate,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,subtract_bonus,TOTAL_TASK_BONUS,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,WTP_ins_keys1.keys,WTP_ins_keys1.rt,WTP_ins_keys2.keys,WTP_ins_keys2.rt,decision_price,responses.keys,responses.rt,WTPTaskLoop.thisRepN,WTPTaskLoop.thisTrialN,WTPTaskLoop.thisN,WTPTaskLoop.thisIndex,WTPTaskLoop.ran,right,left,leftmoney,rightmoney,WTP_ITI,Resume_keys.keys,Resume_keys.rt,key_resp.rt,end_screen_keys.keys,end_screen_keys.rt,social_left
,,64c0a2d8031339ab6ec5e54a,2024-07-02_22h33.58.222,WTP_SM_Choice,2022.2.1,Win32,238.0952381,,,,,,,,,,,,,,,,,,5,,,,,,,,,,0.01,2,5.2082,0,4,4,4,1,Edit videos using Premiere Pro,Play basketball with this one friend on Fridays,0.05,0.01,1.1,,,,,,1
,,64c0a2d8031339ab6ec5e54a,2024-07-02_22h33.58.222,WTP_SM_Choice,2022.2.1,Win32,238.0952381,,,,,,,NAN,,NAN,0.11,5.89,,0,4,4,4,1,5,Charlie,Acc,Participant_Images/64c0a2d8031339ab6ec5e54a/64c0a2d8031339ab6ec5e54a_Images/64c0a2d8031339ab6ec5e54a_Image_5.jpeg,liked,2.455989137,,,,,,,,,,,,,,,,,,,,,,,
,,64c0a2d8031339ab6ec5e54a,2024-07-02_22h33.58.222,WTP_SM_Choice,2022.2.1,Win32,238.0952381,,,,,space,4.0613,NAN,,NAN,0.11,5.89,,0,5,5,5,1,6,Charlie,Acc,Participant_Images/64c0a2d8031339ab6ec5e54a/64c0a2d8031339ab6ec5e54a_Images/64c0a2d8031339ab6ec5e54a_Image_21.jpeg,liked,3.79605092,,,,,,,,,,,,,,,,,,,,,,,
,,64c0a2d8031339ab6ec5e54a,2024-07-02_22h33.58.222,WTP_SM_Choice,2022.2.1,Win32,238.0952381,,,,,space,2.8086,NAN,,NAN,0.11,5.89,,0,6,6,6,1,7,Charlie,Acc,Participant_Images/64c0a2d8031339ab6ec5e54a/64c0a2d8031339ab6ec5e54a_Images/64c0a2d8031339ab6ec5e54a_Image_9.jpeg,liked,3.562416326,,,,,,,,,,,,,,,,,,,,,,,
,,64c0a2d8031339ab6ec5e54a,2024-07-02_22h33.58.222,WTP_SM_Choice,2022.2.1,Win32,238.0952381,,,,,space,1.1497,NAN,,NAN,0.11,5.89,,0,7,7,7,1,8,Charlie,Acc,Participant_Images/64c0a2d8031339ab6ec5e54a/64c0a2d8031339ab6ec5e54a_Images/64c0a2d8031339ab6ec5e54a_Image_23.jpeg,liked,2.843822497,,,,,,,,,,,,,,,,,,,,,,,
,,64c0a2d8031339ab6ec5e54a,2024-07-02_22h33.58.222,WTP_SM_Choice,2022.2.1,Win32,238.0952381,,,,,space,9.107,NAN,,NAN,0.11,5.89,,0,8,8,8,1,9,Charlie,Acc,Participant_Images/64c0a2d8031339ab6ec5e54a/64c0a2d8031339ab6ec5e54a_Images/64c0a2d8031339ab6ec5e54a_Image_16.jpeg,did not like,3.546495948,,,,,,,,,,,,,,,,,,,,,,,
,,64c0a2d8031339ab6ec5e54a,2024-07-02_22h33.58.222,WTP_SM_Choice,2022.2.1,Win32,238.0952381,,,,,,,,,,,,,,,,,,6,,,,,,space,30.1659,space,1.7955,0.01,1,3.7959,0,0,0,0,1,Read twitter threads and arguments,Talk to each other about future business ventures and moves for the rest of the day.,0.01,0.02,3.3,,,,,,1
,,64c0a2d8031339ab6ec5e54a,2024-07-02_22h33.58.222,WTP_SM_Choice,2022.2.1,Win32,238.0952381,,,,,,,,,,,,,,,,,,7,,,,,,,,,,0.02,1,3.0091,0,1,1,1,1,Ride an electric scooter by myself and listening to music,Watch hockey with my friend,0.02,0.02,1.1,,,,,,1
,,64c0a2d8031339ab6ec5e54a,2024-07-02_22h33.58.222,WTP_SM_Choice,2022.2.1,Win32,238.0952381,,,,,,,,,,,,,,,,,,8,,,,,,,,,,0.02,2,3.8989,0,2,2,2,1,Ride an electric scooter by myself and listening to music,Send memes to start a conversation,0.03,0.02,1.1,,,,,,1
,,64c0a2d8031339ab6ec5e54a,2024-07-02_22h33.58.222,WTP_SM_Choice,2022.2.1,Win32,238.0952381,,,,,,,,,,,,,,,,,,9,,,,,,,,,,0.04,1,3.7329,0,3,3,3,1,ride on my skateboard if my electric scooter is not available,Joyride with my friends on electric scooters,0.04,0.02,4.4,,,,,,1
,,64c0a2d8031339ab6ec5e54a,2024-07-02_22h33.58.222,WTP_SM_Choice,2022.2.1,Win32,238.0952381,,,,,,,,,,,,,,,,,,10,,,,,,,,,,0.02,2,2.1615,0,4,4,4,1,Edit videos using Premiere Pro,Go to the movies biweekly ,0.05,0.02,1.1,,,,,,1
,,64c0a2d8031339ab6ec5e54a,2024-07-02_22h33.58.222,WTP_SM_Choice,2022.2.1,Win32,238.0952381,,,,,,,NAN,,NAN,0.22,5.78,,0,9,9,9,1,10,Charlie,Acc,Participant_Images/64c0a2d8031339ab6ec5e54a/64c0a2d8031339ab6ec5e54a_Images/64c0a2d8031339ab6ec5e54a_Image_14.jpeg,did not like,1.672012706,,,,,,,,,,,,,,,,,,,,,,,
,,64c0a2d8031339ab6ec5e54a,2024-07-02_22h33.58.222,WTP_SM_Choice,2022.2.1,Win32,238.0952381,,,,,space,1.9834,NAN,,NAN,0.22,5.78,,0,10,10,10,1,11,Charlie,Acc,Participant_Images/64c0a2d8031339ab6ec5e54a/64c0a2d8031339ab6ec5e54a_Images/64c0a2d8031339ab6ec5e54a_Image_12.jpeg,liked,4.942172136,,,,,,,,,,,,,,,,,,,,,,,
,,64c0a2d8031339ab6ec5e54a,2024-07-02_22h33.58.222,WTP_SM_Choice,2022.2.1,Win32,238.0952381,,,,,space,14.0234,NAN,,NAN,0.22,5.78,,0,11,11,11,1,12,Charlie,Acc,Participant_Images/64c0a2d8031339ab6ec5e54a/64c0a2d8031339ab6ec5e54a_Images/64c0a2d8031339ab6ec5e54a_Image_6.jpeg,liked,2.50187214,,,,,,,,,,,,,,,,,,,,,,,
,,64c0a2d8031339ab6ec5e54a,2024-07-02_22h33.58.222,WTP_SM_Choice,2022.2.1,Win32,238.0952381,,,,,space,1.8686,NAN,,NAN,0.22,5.78,,0,12,12,12,1,13,Charlie,Acc,Participant_Images/64c0a2d8031339ab6ec5e54a/64c0a2d8031339ab6ec5e54a_Images/64c0a2d8031339ab6ec5e54a_Image_4.jpeg,liked,2.071164779,,,,,,,,,,,,,,,,,,,,,,,
,,64c0a2d8031339ab6ec5e54a,2024-07-02_22h33.58.222,WTP_SM_Choice,2022.2.1,Win32,238.0952381,,,,,space,9.9823,NAN,,NAN,0.22,5.78,,0,13,13,13,1,14,Charlie,Acc,Participant_Images/64c0a2d8031339ab6ec5e54a/64c0a2d8031339ab6ec5e54a_Images/64c0a2d8031339ab6ec5e54a_Image_20.jpeg,liked,5.336503566,,,,,,,,,,,,,,,,,,,,,,,
,,64c0a2d8031339ab6ec5e54a,2024-07-02_22h33.58.222,WTP_SM_Choice,2022.2.1,Win32,238.0952381,,,,,,,,,,,,,,,,,,11,,,,,,space,12.3884,space,8.7867,0.01,1,2.548,0,0,0,0,1,Listen to any type of music out there,Play video games with my friends,0.01,0.03,3.3,,,,,,1
,,64c0a2d8031339ab6ec5e54a,2024-07-02_22h33.58.222,WTP_SM_Choice,2022.2.1,Win32,238.0952381,,,,,,,,,,,,,,,,,,12,,,,,,,,,,0.02,1,3.2955,0,1,1,1,1,Boot up Twitch and watch of my followed channels,Play basketball with this one friend on Fridays,0.02,0.03,4.4,,,,,,1
,,64c0a2d8031339ab6ec5e54a,2024-07-02_22h33.58.222,WTP_SM_Choice,2022.2.1,Win32,238.0952381,,,,,,,,,,,,,,,,,,13,,,,,,,,,,0.03,1,2.4924,0,2,2,2,1,Play video games by myself,Go to the movies biweekly ,0.03,0.03,1.1,,,,,,1
,,64c0a2d8031339ab6ec5e54a,2024-07-02_22h33.58.222,WTP_SM_Choice,2022.2.1,Win32,238.0952381,,,,,,,,,,,,,,,,,,14,,,,,,,,,,0.03,2,2.5373,0,3,3,3,1,ride on my skateboard if my electric scooter is not available,Play basketball with this one friend on Fridays,0.04,0.03,3.3,,,,,,1
,,64c0a2d8031339ab6ec5e54a,2024-07-02_22h33.58.222,WTP_SM_Choice,2022.2.1,Win32,238.0952381,,,,,,,,,,,,,,,,,,15,,,,,,,,,,0.05,1,3.0897,0,4,4,4,1,ride on my skateboard if my electric scooter is not available,Watch hockey with my friend,0.05,0.03,4.4,,,,,,1
,,64c0a2d8031339ab6ec5e54a,2024-07-02_22h33.58.222,WTP_SM_Choice,2022.2.1,Win32,238.0952381,,,,,,,NAN,,NAN,0.36,5.64,,0,14,14,14,1,15,Charlie,Acc,Participant_Images/64c0a2d8031339ab6ec5e54a/64c0a2d8031339ab6ec5e54a_Images/64c0a2d8031339ab6ec5e54a_Image_22.jpeg,did not like,2.642157193,,,,,,,,,,,,,,,,,,,,,,,
,,64c0a2d8031339ab6ec5e54a,2024-07-02_22h33.58.222,WTP_SM_Choice,2022.2.1,Win32,238.0952381,,,,,space,7.0107,NAN,,NAN,0.36,5.64,,0,15,15,15,1,16,Charlie,Acc,Participant_Images/64c0a2d8031339ab6ec5e54a/64c0a2d8031339ab6ec5e54a_Images/64c0a2d8031339ab6ec5e54a_Image_19.jpeg,liked,4.456234322,,,,,,,,,,,,,,,,,,,,,,,
,,64c0a2d8031339ab6ec5e54a,2024-07-02_22h33.58.222,WTP_SM_Choice,2022.2.1,Win32,238.0952381,,,,,space,4.7253,NAN,,NAN,0.36,5.64,,0,16,16,16,1,17,Charlie,Acc,Participant_Images/64c0a2d8031339ab6ec5e54a/64c0a2d8031339ab6ec5e54a_Images/64c0a2d8031339ab6ec5e54a_Image_2.jpeg,liked,4.438512181,,,,,,,,,,,,,,,,,,,,,,,
,,64c0a2d8031339ab6ec5e54a,2024-07-02_22h33.58.222,WTP_SM_Choice,2022.2.1,Win32,238.0952381,,,,,space,0.4309,NAN,,NAN,0.36,5.64,,0,17,17,17,1,18,Charlie,Acc,Participant_Images/64c0a2d8031339ab6ec5e54a/64c0a2d8031339ab6ec5e54a_Images/64c0a2d8031339ab6ec5e54a_Image_1.jpeg,liked,2.682944783,,,,,,,,,,,,,,,,,,,,,,,
,,64c0a2d8031339ab6ec5e54a,2024-07-02_22h33.58.222,WTP_SM_Choice,2022.2.1,Win32,238.0952381,,,,,space,10.5112,NAN,,NAN,0.36,5.64,,0,18,18,18,1,19,Charlie,Acc,Participant_Images/64c0a2d8031339ab6ec5e54a/64c0a2d8031339ab6ec5e54a_Images/64c0a2d8031339ab6ec5e54a_Image_7.jpeg,did not like,4.51984296,,,,,,,,,,,,,,,,,,,,,,,
,,64c0a2d8031339ab6ec5e54a,2024-07-02_22h33.58.222,WTP_SM_Choice,2022.2.1,Win32,238.0952381,,,,,,,,,,,,,,,,,,16,,,,,,space,14.6847,space,2.2341,0.01,1,3.4238,0,0,0,0,1,Boot up Twitch and watch of my followed channels,Go to the movies biweekly ,0.01,0.04,1.1,,,,,,1
,,64c0a2d8031339ab6ec5e54a,2024-07-02_22h33.58.222,WTP_SM_Choice,2022.2.1,Win32,238.0952381,,,,,,,,,,,,,,,,,,17,,,,,,,,,,0.04,2,3.2166,0,1,1,1,1,Ride an electric scooter by myself and listening to music,Call my friend and talk about nothing for hours,0.02,0.04,8.8,,,,,,1
,,64c0a2d8031339ab6ec5e54a,2024-07-02_22h33.58.222,WTP_SM_Choice,2022.2.1,Win32,238.0952381,,,,,,,,,,,,,,,,,,18,,,,,,,,,,0.03,1,4.2929,0,2,2,2,1,Edit videos using Premiere Pro,Edit with my partner and best friend,0.03,0.04,3.3,,,,,,1
,,64c0a2d8031339ab6ec5e54a,2024-07-02_22h33.58.222,WTP_SM_Choice,2022.2.1,Win32,238.0952381,,,,,,,,,,,,,,,,,,19,,,,,,,,,,0.04,1,6.6786,0,3,3,3,1,ride on my skateboard if my electric scooter is not available,Go to the movies biweekly ,0.04,0.04,3.3,,,,,,1
,,64c0a2d8031339ab6ec5e54a,2024-07-02_22h33.58.222,WTP_SM_Choice,2022.2.1,Win32,238.0952381,,,,,,,,,,,,,,,,,,20,,,,,,,,,,0.05,1,5.1177,0,4,4,4,1,Use ChatGPT and enhance my workflow while making me learn something new,Walk around town and beyond for the entire da  talking about anything and eating anything with friends,0.05,0.04,1.1,,,,,,1
,,64c0a2d8031339ab6ec5e54a,2024-07-02_22h33.58.222,WTP_SM_Choice,2022.2.1,Win32,238.0952381,,,,,,,NAN,,NAN,0.53,5.47,,0,19,19,19,1,20,Charlie,Acc,Participant_Images/64c0a2d8031339ab6ec5e54a/64c0a2d8031339ab6ec5e54a_Images/64c0a2d8031339ab6ec5e54a_Image_11.jpeg,liked,3.195382774,,,,,,,,,,,,,,,,,,,,,,,
,,64c0a2d8031339ab6ec5e54a,2024-07-02_22h33.58.222,WTP_SM_Choice,2022.2.1,Win32,238.0952381,,,,,space,13.9059,NAN,,NAN,0.53,5.47,,0,20,20,20,1,21,Charlie,Acc,Participant_Images/64c0a2d8031339ab6ec5e54a/64c0a2d8031339ab6ec5e54a_Images/64c0a2d8031339ab6ec5e54a_Image_3.jpeg,did not like,1.779333479,,,,,,,,,,,,,,,,,,,,,,,
,,64c0a2d8031339ab6ec5e54a,2024-07-02_22h33.58.222,WTP_SM_Choice,2022.2.1,Win32,238.0952381,,,,,space,17.9041,NAN,,NAN,0.53,5.47,,0,21,21,21,1,22,Charlie,Acc,Participant_Images/64c0a2d8031339ab6ec5e54a/64c0a2d8031339ab6ec5e54a_Images/64c0a2d8031339ab6ec5e54a_Image_15.jpeg,liked,4.312468682,,,,,,,,,,,,,,,,,,,,,,,
,,64c0a2d8031339ab6ec5e54a,2024-07-02_22h33.58.222,WTP_SM_Choice,2022.2.1,Win32,238.0952381,,,,,space,8.2393,NAN,,NAN,0.53,5.47,,0,22,22,22,1,23,Charlie,Acc,Participant_Images/64c0a2d8031339ab6ec5e54a/64c0a2d8031339ab6ec5e54a_Images/64c0a2d8031339ab6ec5e54a_Image_24.jpeg,liked,4.940433059,,,,,,,,,,,,,,,,,,,,,,,
,,64c0a2d8031339ab6ec5e54a,2024-07-02_22h33.58.222,WTP_SM_Choice,2022.2.1,Win32,238.0952381,,,,,space,7.1445,NAN,,NAN,0.53,5.47,,0,23,23,23,1,24,Charlie,Acc,Participant_Images/64c0a2d8031339ab6ec5e54a/64c0a2d8031339ab6ec5e54a_Images/64c0a2d8031339ab6ec5e54a_Image_18.jpeg,liked,2.7105123,,,,,,,,,,,,,,,,,,,,,,,
,,64c0a2d8031339ab6ec5e54a,2024-07-02_22h33.58.222,WTP_SM_Choice,2022.2.1,Win32,238.0952381,,,,,,,,,,,,,,,,,,21,,,,,,space,20.4557,space,1.3773,0.01,1,3.4743,0,0,0,0,1,look at art especially manga/anime art,Play video games with my friends,0.01,0.05,8.8,,,,,,1
,,64c0a2d8031339ab6ec5e54a,2024-07-02_22h33.58.222,WTP_SM_Choice,2022.2.1,Win32,238.0952381,,,,,,,,,,,,,,,,,,22,,,,,,,,,,0.05,2,2.0975,0,1,1,1,1,look at art especially manga/anime art,Joyride with my friends on electric scooters,0.02,0.05,4.4,,,,,,1
,,64c0a2d8031339ab6ec5e54a,2024-07-02_22h33.58.222,WTP_SM_Choice,2022.2.1,Win32,238.0952381,,,,,,,,,,,,,,,,,,23,,,,,,,,,,0.05,2,4.909,0,2,2,2,1,look at art especially manga/anime art,Edit with my partner and best friend,0.03,0.05,1.1,,,,,,1
,,64c0a2d8031339ab6ec5e54a,2024-07-02_22h33.58.222,WTP_SM_Choice,2022.2.1,Win32,238.0952381,,,,,,,,,,,,,,,,,,24,,,,,,,,,,0.04,1,4.8347,0,3,3,3,1,ride on my skateboard if my electric scooter is not available,Walk around town and beyond for the entire da  talking about anything and eating anything with friends,0.04,0.05,4.4,,,,,,1
,,64c0a2d8031339ab6ec5e54a,2024-07-02_22h33.58.222,WTP_SM_Choice,2022.2.1,Win32,238.0952381,,,,,,,,,,,,,,,,,,25,,,,,,,,,,0.05,1,6.7022,0,4,4,4,1,Listen to any type of music out there,Talk to each other about future business ventures and moves for the rest of the day.,0.05,0.05,3.3,,,,,,1
,,64c0a2d8031339ab6ec5e54a,2024-07-02_22h33.58.222,WTP_SM_Choice,2022.2.1,Win32,238.0952381,,,,,,,3,space,9,0.73,5.27,,0,24,24,24,1,25,Charlie,Acc,Participant_Images/64c0a2d8031339ab6ec5e54a/64c0a2d8031339ab6ec5e54a_Images/64c0a2d8031339ab6ec5e54a_Image_13.jpeg,did not like,3.602308302,,,,,,,,,,,,,,,,,,space,17.8396,10.8756,,,
,,64c0a2d8031339ab6ec5e54a,2024-07-02_22h33.58.222,WTP_SM_Choice,2022.2.1,Win32,238.0952381,,,space,7.818,space,11.6124,NAN,,NAN,0.73,5.27,,0,25,25,25,1,26,Alex,Rej,Participant_Images/64c0a2d8031339ab6ec5e54a/64c0a2d8031339ab6ec5e54a_Images/64c0a2d8031339ab6ec5e54a_Image_17.jpeg,did not like,4.106391878,,,,,,,,,,,,,,,,,,,,,,,
,,64c0a2d8031339ab6ec5e54a,2024-07-02_22h33.58.222,WTP_SM_Choice,2022.2.1,Win32,238.0952381,,,,,space,8.0422,NAN,,NAN,0.73,5.27,,0,26,26,26,1,27,Alex,Rej,Participant_Images/64c0a2d8031339ab6ec5e54a/64c0a2d8031339ab6ec5e54a_Images/64c0a2d8031339ab6ec5e54a_Image_13.jpeg,did not like,3.799433026,,,,,,,,,,,,,,,,,,,,,,,
,,64c0a2d8031339ab6ec5e54a,2024-07-02_22h33.58.222,WTP_SM_Choice,2022.2.1,Win32,238.0952381,,,,,space,3.2336,NAN,,NAN,0.73,5.27,,0,27,27,27,1,28,Alex,Rej,Participant_Images/64c0a2d8031339ab6ec5e54a/64c0a2d8031339ab6ec5e54a_Images/64c0a2d8031339ab6ec5e54a_Image_24.jpeg,did not like,5.246980764,,,,,,,,,,,,,,,,,,,,,,,
,,64c0a2d8031339ab6ec5e54a,2024-07-02_22h33.58.222,WTP_SM_Choice,2022.2.1,Win32,238.0952381,,,,,space,0.7025,NAN,,NAN,0.73,5.27,,0,28,28,28,1,29,Alex,Rej,Participant_Images/64c0a2d8031339ab6ec5e54a/64c0a2d8031339ab6ec5e54a_Images/64c0a2d8031339ab6ec5e54a_Image_8.jpeg,did not like,3.30081769,,,,,,,,,,,,,,,,,,,,,,,
,,64c0a2d8031339ab6ec5e54a,2024-07-02_22h33.58.222,WTP_SM_Choice,2022.2.1,Win32,238.0952381,,,,,,,,,,,,,,,,,,26,,,,,,space,8.2675,space,0.6667,0.01,2,2.4667,0,0,0,0,1,Draw,Talk to each other about future business ventures and moves for the rest of the day.,0.01,0.01,4.4,,,,,,1
,,64c0a2d8031339ab6ec5e54a,2024-07-02_22h33.58.222,WTP_SM_Choice,2022.2.1,Win32,238.0952381,,,,,,,,,,,,,,,,,,27,,,,,,,,,,0.01,2,4.9658,0,1,1,1,1,Read twitter threads and arguments,Send memes to start a conversation,0.02,0.01,3.3,,,,,,1
,,64c0a2d8031339ab6ec5e54a,2024-07-02_22h33.58.222,WTP_SM_Choice,2022.2.1,Win32,238.0952381,,,,,,,,,,,,,,,,,,28,,,,,,,,,,0.01,2,7.3197,0,2,2,2,1,Listen to any type of music out there,Go to the movies biweekly ,0.03,0.01,3.3,,,,,,1
,,64c0a2d8031339ab6ec5e54a,2024-07-02_22h33.58.222,WTP_SM_Choice,2022.2.1,Win32,238.0952381,,,,,,,,,,,,,,,,,,29,,,,,,,,,,0.01,2,5.8414,0,3,3,3,1,look at art especially manga/anime art,Go to the movies biweekly ,0.04,0.01,4.4,,,,,,1
,,64c0a2d8031339ab6ec5e54a,2024-07-02_22h33.58.222,WTP_SM_Choice,2022.2.1,Win32,238.0952381,,,,,,,,,,,,,,,,,,30,,,,,,,,,,0.05,1,3.0482,0,4,4,4,1,Boot up Twitch and watch of my followed channels,Joyride with my friends on electric scooters,0.05,0.01,8.8,,,,,,1
,,64c0a2d8031339ab6ec5e54a,2024-07-02_22h33.58.222,WTP_SM_Choice,2022.2.1,Win32,238.0952381,,,,,,,NAN,,NAN,0.82,5.18,,0,29,29,29,1,30,Alex,Rej,Participant_Images/64c0a2d8031339ab6ec5e54a/64c0a2d8031339ab6ec5e54a_Images/64c0a2d8031339ab6ec5e54a_Image_12.jpeg,liked,1.661473164,,,,,,,,,,,,,,,,,,,,,,,
,,64c0a2d8031339ab6ec5e54a,2024-07-02_22h33.58.222,WTP_SM_Choice,2022.2.1,Win32,238.0952381,,,,,space,4.8004,NAN,,NAN,0.82,5.18,,0,30,30,30,1,31,Alex,Rej,Participant_Images/64c0a2d8031339ab6ec5e54a/64c0a2d8031339ab6ec5e54a_Images/64c0a2d8031339ab6ec5e54a_Image_2.jpeg,liked,3.613205605,,,,,,,,,,,,,,,,,,,,,,,
,,64c0a2d8031339ab6ec5e54a,2024-07-02_22h33.58.222,WTP_SM_Choice,2022.2.1,Win32,238.0952381,,,,,space,1.6921,NAN,,NAN,0.82,5.18,,0,31,31,31,1,32,Alex,Rej,Participant_Images/64c0a2d8031339ab6ec5e54a/64c0a2d8031339ab6ec5e54a_Images/64c0a2d8031339ab6ec5e54a_Image_3.jpeg,did not like,4.988446431,,,,,,,,,,,,,,,,,,,,,,,
,,64c0a2d8031339ab6ec5e54a,2024-07-02_22h33.58.222,WTP_SM_Choice,2022.2.1,Win32,238.0952381,,,,,space,1.8332,NAN,,NAN,0.82,5.18,,0,32,32,32,1,33,Alex,Rej,Participant_Images/64c0a2d8031339ab6ec5e54a/64c0a2d8031339ab6ec5e54a_Images/64c0a2d8031339ab6ec5e54a_Image_7.jpeg,did not like,3.470791822,,,,,,,,,,,,,,,,,,,,,,,
,,64c0a2d8031339ab6ec5e54a,2024-07-02_22h33.58.222,WTP_SM_Choice,2022.2.1,Win32,238.0952381,,,,,space,9.4941,NAN,,NAN,0.82,5.18,,0,33,33,33,1,34,Alex,Rej,Participant_Images/64c0a2d8031339ab6ec5e54a/64c0a2d8031339ab6ec5e54a_Images/64c0a2d8031339ab6ec5e54a_Image_6.jpeg,did not like,3.820572462,,,,,,,,,,,,,,,,,,,,,,,
,,64c0a2d8031339ab6ec5e54a,2024-07-02_22h33.58.222,WTP_SM_Choice,2022.2.1,Win32,238.0952381,,,,,,,,,,,,,,,,,,31,,,,,,space,4.3894,space,0.847,0.01,1,2.8406,0,0,0,0,1,Use ChatGPT and enhance my workflow while making me learn something new,Send memes to start a conversation,0.01,0.02,8.8,,,,,,1
