participant,condition_recode,salience_mean,choice,stress_mean,stress_mean,rej-acc,ifnegvalue,choicertmean,timebetween,age,sex,order,overallaffect,prop_socialchoice,social_left,social_decisionprice_mean,nonsocial_decisionprice_mean
65412ca42e0e2fbb27b8a7b2,2,2.0,1.36,9.0,9.0,0.0,,2.2,,,,,9.0,0.64,,0.024375,0.02222222222222222
655e0b698915e40faa8002f2,1,2.5,1.3571428571428572,5.0,5.0,0.0,,1.880952380952381,,,,,5.0,0.4523809523809524,,0.023157894736842106,0.02521739130434783
655e0b698915e40faa8002f2,2,3.0,1.457142857142857,5.0,5.0,0.0,,2.5142857142857142,,,,,5.0,0.47368421052631576,,0.024285714285714282,0.018823529411764708
6560aa71bf5cc31f1c99ca34,1,1.5,1.5714285714285714,9.0,9.0,0.0,,2.693877551020408,,,,,9.0,0.42857142857142855,,0.038571428571428576,0.036071428571428574
6560aa71bf5cc31f1c99ca34,2,2.0,1.4489795918367347,9.0,9.0,0.0,,2.816326530612245,,,,,9.0,0.5,,0.034583333333333334,0.03833333333333334
65624dbc33b93e2696f06d1f,1,3.5,1.44,9.0,9.0,0.0,,2.62,,,,,9.0,0.3,,0.026666666666666665,0.030285714285714287
65624dbc33b93e2696f06d1f,2,5.0,1.46,9.0,9.0,0.0,,2.08,,,,,9.0,0.34,,0.02705882352941177,0.0296969696969697
65779c4bde34621ce896b77d,1,1.0,1.3,2.5,2.5,-6.0,,2.62,,,,,5.5,0.7,,0.030571428571428572,0.02866666666666667
65779c4bde34621ce896b77d,2,3.5,1.2708333333333333,8.5,8.5,-6.0,,2.0,,,,,5.5,0.7291666666666666,,0.031142857142857146,0.02846153846153846
659cc63ff59c72a20e2b7688,1,2.5,1.48,4.5,4.5,-1.0,,0.74,,,,,5.0,0.54,,0.01925925925925926,0.02521739130434783
659cc63ff59c72a20e2b7688,2,3.0,1.52,5.5,5.5,-1.0,,0.72,,,,,5.0,0.38,,0.02052631578947369,0.0235483870967742
65b7ba948f5c3052140c24f8,1,1.0,1.489795918367347,5.0,5.0,2.5,,3.2448979591836733,,,,,3.75,0.8163265306122449,,0.029250000000000005,0.024444444444444446
65b7ba948f5c3052140c24f8,2,2.5,1.46,2.5,2.5,2.5,,3.54,,,,,3.75,0.66,,0.03151515151515152,0.027058823529411767
65c14027646a9bbfa89584c8,1,1.0,1.38,7.0,7.0,0.0,,2.18,,,,,7.0,0.38,,0.025263157894736845,0.03290322580645162
65c14027646a9bbfa89584c8,2,3.5,1.44,7.0,7.0,0.0,,2.34,,,,,7.0,0.46,,0.030000000000000006,0.03185185185185185
65d65821b5e4f4fb6de9076c,1,2.0,1.38,2.0,2.0,0.0,,0.82,,,,,2.0,0.46,,0.02347826086956522,0.02481481481481482
65d65821b5e4f4fb6de9076c,2,2.5,1.4285714285714286,2.0,2.0,0.0,,1.2653061224489797,,,,,2.0,0.46,,0.03136363636363637,0.030370370370370374
65d659edd2fb402f9170d123,1,1.5,1.54,3.0,3.0,0.0,,2.28,,,,,3.0,0.32,,0.02875,0.026764705882352944
65d659edd2fb402f9170d123,2,3.0,1.52,3.0,3.0,0.0,,2.28,,,,,3.0,0.44,,0.02500000000000001,0.026428571428571433
65e4124826438fd6dc97bd7e,1,2.5,1.46,4.0,4.0,0.5,,2.7,,,,,3.75,0.5,,0.037200000000000004,0.0284
65e4124826438fd6dc97bd7e,2,4.0,1.42,3.5,3.5,0.5,,3.0,,,,,3.75,0.5,,0.032400000000000005,0.032400000000000005
65f54bfd77f3db0d47887b37,1,2.0,1.565217391304348,5.0,5.0,-1.0,,3.391304347826087,,,,,5.5,0.2608695652173913,,0.03333333333333333,0.031764705882352945
65f54bfd77f3db0d47887b37,2,2.0,1.5813953488372092,6.0,6.0,-1.0,,2.302325581395349,,,,,5.5,0.4318181818181818,,0.028947368421052635,0.02863636363636364
65f7fbb178b358ac91094fec,1,4.5,1.58,8.0,8.0,0.0,,2.14,,,,,8.0,0.42,,0.02190476190476191,0.028620689655172424
65f7fbb178b358ac91094fec,2,3.0,1.4285714285714286,8.0,8.0,0.0,,1.4285714285714286,,,,,8.0,0.5714285714285714,,0.023571428571428577,0.02047619047619048
65fb2f8291cf16104e63effc,1,1.0,1.58,5.0,5.0,0.0,,2.9,,,,,5.0,0.88,,0.025909090909090913,0.03166666666666667
